file,page,text
output_mixed_1a_redacted.pdf_ocr_output.csv,1,"EARLY BOOKS AND EARLY READERS AT NOSTELL PRIORY second-hand, originally inscribed by one John Duckenfield. Winn was keen to make it his own: it is inscribed '[Ge]orge Wynn owneth this booke', the ownership also witnessed by one George Stinton. George Winn's son, the 2nd Baronet, was equally keen to assert ownership on inheriting the same book, signing it 'Edmund Winn: Liber hic meus testis est.' By I October 1695 the book had changed hands again, signed by Edmund's brother, George Winn (b.c.1645), then later still it was signed by Rowland Winn, 3rd Baronet. The 1695 date of George Winn's inscription is pertinent, coming the year after the death of his father, and other inscriptions indicate that this transfer may have been part of a wider dispersal of books. A group of nine books were all marked in 1696 by Edmund Winn of Acton (1678-1743), the second son of the 2nd Baronet, perhaps an inheritance from his father, although none bear his mark. Alongside these few books marked by various early members of the Winn family are several hundred other contemporary books of a similar type, bound in unremarkable English bindings and acquired in the 17th century, many on the second-hand market and with earlier Yorkshire owners. We have no reason not to assume that these share a common provenance. Building a Library: The Acquisition of the Ludlam Family Books This accretion of family books represents the first stirrings of a dynastic family library at Nostell. The growing belief that a landed family should have a library and that it represented their wealth, status and pedigree is apparent from the numerous early armorial bookplates commissioned in the period 1690-1710. These reflect a series of contemporary changes in taste and fashion in book collect- ing, library use and library design. With a few notable exceptions, mostearly 17th-century private libraries were 'closet' libraries, small collections of practical books kept in a locked chest or in a closet off a bedchamber, and as such wholly private spaces for study, devotion and contemplation. With the increase in printed output in the 16th and 17th centuries, books became more affordable and more widely accessible. Libraries began to outgrow the closet. The Winn family in the 17th century were certainly not bib- liophiles, but the changing cultural trends in book ownership 55"
output_mixed_1a_redacted.pdf_ocr_output.csv,2,"LOOKING BACK What, where and why? What have I gained from this workbook? What am I going to change because of the things I have learned? Can I do it all by myself or should I be asking someone else to help me? Who should I talk to? Realistically, when can I achieve this by? Actions What are the first things I will do to achieve my goal? Long term action plan What will I do to make sure I stick to my plan? 76 Long Covid Workbook"
output_mixed_1a_redacted.pdf_ocr_output.csv,3,"WORKING TOOLS ALMOST DAILY IN DEMAND scenery and delightful moral sentiments'. 47 Her 'favourite and most rational amusement' was reading, and she wished Sarah had been with her last winter when she read all of Pope's works. They could have commented on them together. She had read scraps of Pope when young but now greatly enjoyed the beauties of the verse and prose of this charming author.48 In March 1812 she thanked Sarah for books she had sent with her last letter, noting that her comments would induce her to read them.49 Anne Nichols, who married the cleric and antiquary John Pridden, did not share her sister's tastes, urging her in 1802 not to read any more of Joanna Baillie's tragedies or anything dismal but rather such books as would make her mer- ry 50 but Sarah's nephew, Samuel Bentley, loved to discuss books with her, sending her a copy of his Excerpta Historica, or Illustrations of English History in 1831.51 This shared love of books between John Nichols and his daugh- ters proved crucial for the future of his library. When he died in 1826, Nichols bequeathed his 'private topographical library and Prints' to his son and divided his other books, prints and pictures between him and his sisters. 52 There is no inventory of titles in his will, SO it sheds little light on his library. Sotheby's sale of his books in 1828 included the property of 'another gentleman and SO until recently we could only guess which books might have belonged to Nichols; but, tucked away on a shelf above the door in the private library, I found a manuscript catalogue which Anne and Isabella Nichols had made after their father's death. The 1,464 titles were valued by Joseph Arnould, bookseller of Spring Gardens, using a code where capital letters spelling ""KINDBROTHE' signify 47. Private Collection, PC1/25/fos. 5-6, NAD4166, Anna Francesca Cradock to Sarah Nichols, 4 December 1800. 48. Private Collection, PC1/25/fo.7 NAD4167 Anna Francesca Cradock to Sarah Nichols, 1801. 49. Private Collection, PC1/25/fo.108 NAD4339, Anna Francesca Cradock to Sarah Nichols, 27 March 1812. 50. Private Collection, PC4/2/f0.119/1-2 NAD3855, Anne Pridden to Sarah Nichols, I2 September 1802. 51. Private Collection, PC1/Library NAD11068, Samuel Bentley to Sarah Nichols, c.1831. 52. London Metropolitan Archives, will of John Nichols, 27 April 1822, proved in the Consistory Court of London, 21 Dec 1826. 101"
output_mixed_1a_redacted.pdf_ocr_output.csv,4,"22 Lambeth 2030 Our Future, Our Lambeth Lambeth 2030 Our Future, Our Lambeth 23 Our 2030 1 - Making Lambeth Neighbourhoods Fit for the Future ambition By 2030, Lambeth will be a clean, vibrant and climate resilient borough where people can lead healthier, happier lives. The on-going and lasting impacts of the climate learning from this was key to the development of emergency, the cost-of-living crisis and the covid-19 Lambeth's first climate partnership, overseeing the pandemic mean that we must radically change the implementation of the Lambeth Climate Action Plan. way we think and act in Lambeth. From continued These are momentous actions that will help guide us lobbying for environmental and fairer legislative to achieving our collective goal of a more sustainable changes and investment at national level, to and just future - ensuring that everything we do will adapting the way we travel, design buildings and make Lambeth a more sustainable, climate resilient public spaces, and make local, healthy and more borough for everyone. sustainable choices, we all have a role to play in improving the health, wellbeing and environment of Backed by our residents to act now, we are others in Lambeth now and for future generations. committing to tackling the climate and ecological NET-ZERO emergency together. We will reduce greenhouse gas The people of Lambeth are proud of their local emissions from all sources we control or influence 2030 area and have already taken steps to tackle climate and build our resilience to the impacts of climate change, but there is a desire and urgency within our change through sustainable development and communities for further decisive, collaborative action. technologies. This will require a range of interventions Residents share that their health, carbon footprint and adaptations including improving flood prevention, and their streets matter to them, and they want to more tree cover, sustainable urban drainage solutions WELLBEING commit to improving our shared environment, ensuring and efficiency of water use. Based on the Citizens' that everyone knows how they can contribute, Assembly recommendations we also know the need however small. to retrofit at scale to significantly improve energy efficiency of our buildings and focus on decarbonising Climate resilience our transport network to lower emissions, and we will continue to lobby the government tirelessly for funding for a national retrofit programme. We face a global climate emergency, and we know that inaction or insufficient responses will have Our hyperconnected inner London, highly urbanised consequences of an irreversible nature. location requires us to continue to be led by design that reduces traffic and enables people to walk, cycle In January 2019, Lambeth became the first London and use public transport to experience the borough Borough to declare a climate and ecological safely and accessibly. This means coming together emergency and commit to becoming carbon neutral and rethinking our transport systems to be inclusive, across our council buildings and operations by enabling healthier, more affordable and sustainable 2030. The Council reached out to residents through ways to get around the borough including improving the Citizens' Assembly on the climate crisis and our existing network, electric car clubs, e-scooters"
output_mixed_1a_redacted.pdf_ocr_output.csv,5,"Lambeth 2030 Our Future, Our Lambeth I 03 Lambeth 2030 Contents Forewords 04 Introduction 06 ELL 20 State of the Borough 10 Our Previous Borough Plan 12 Our Shared Vision for Lambeth 2030 14 Our Ambitions for Lambeth 2030 18 The Lambeth Golden Thread - A Borough of Equity and Justice 20 Ambition 1 - Making Lambeth Neighbourhoods Fit for the Future 22 Ambition 2 - Making Lambeth One of the Safest Boroughs in London 28 Ambition 3 - Making Lambeth A Place We Can All Call Home 32 Our Lambeth 2030 Outcomes 38"
output_mixed_1a_redacted.pdf_ocr_output.csv,6,"FOR THE ENCOURAGEMENT OF BENEFACTIONS The concept extended beyond universities and across the Atlantic: when John Sharp, Archbishop of York, proposed that the Society for the Propagation of the Gospel (SPG) should help establish a library in New York in 1713, he saw fit to stipulate 'that a Book of Benefactions and Subscriptions shall lye on the Table where it may be lawfull for others to subscribe books or money'.5 Sharp also appreciated the importance of catalogues as mobile representations of the library, portable artefacts that could signify material realities an ocean away. He specified that a 'Catalogue of this Library signed by the Governour the Mayor of the City for the time being and one of the Clergy shall be lodged with the Keeper of His Grace the Archbishop of Canterburys Library at St Martins as also Catalogues of all the parochial Librarys'.6 Likewise, in 17I5, members of the SPG sought donations of books to augment the library of Codrington College in Barbados. Dudley Woodbridge, judge-advocate of Barbados and an active member of the SPG, so- licited gifts of books while in England; he returned to Barbados with 'a Catalogue of Books, contributed in England to the same Purpose, which he was ordered to carry over with him'. The members ap- preciated the value that circulating the list would have in soliciting further donations, as St. George Ashe's sermon reported that 'this Catalogue has been proposed to be printed, for the Encouragement of Benefactions, and Advancement of the said Library'. By the early 1720s, library catalogues circulated in England with this more explicit purpose. Notable among them was the catalogue of Sion College Library, prepared by William Reading, according to its 1721 printed subscription proposal, 'that the Learned may be fully inform'd at their own Studies what the Library affords upon any Subject, and that such as are disposed to be Benefactors to it, 5. 'Dr Sharp's Proposal', Oxford, Bodleian Libraries, Papers of the United Society for the Propagation of the Gospel, A.10.246. 6. 'Dr Sharp's Proposal', Oxford, Bodleian Libraries. 7. St. George Ashe, A Sermon Preached before the Incorporated Society for the Propagation of the Gospel 18th of February 1714 (London: Printed and Sold by J. Downing, 1715), p. 56. The proposed catalogue appears never to have been printed: see David McKitterick, 'Books for Barbados and the British Atlantic Colonies in the Early Eighteenth Century: ""A Catalogue of Books to be Sold by Mr. Zouch"", Proceedings of the American Antiquarian Society, 118 (2009), pp- 448-49. 65"
output_mixed_1a_redacted.pdf_ocr_output.csv,7,"How to use the activity diary? Keep a note of the activities and rest periods that you have taken during each time period. Mark this in the column that says 'Activity'. Score your fatigue or worsening of symptoms at the end of each time period using the first scale below. Put this in the column that says 'Fatigue'. Score how hard you find the activity using the second scale, The Borg Scale below. Put this in the column that says 'Borg' Fatigue Scale 5 0 1 2 3 4 6 7 8 9 10 No Extreme Fatigue Fatigue Borg Scale 6 No exertion 7 8 Very light 9 10 Breathing a bit deeper, but still comfortable 11 Light Breathing harder, but still able to hold a 12 conversation 13 Somewhat hard 14 15 Hard Starting to breathe hard and uncomfortable 16 17 Very Hard 18 19 Extremely hard 20 Maximal exertion 18 Long Covid Workbook"
output_mixed_1a_redacted.pdf_ocr_output.csv,8,"16 Lambeth 2030 Our Future, Our Lambeth Lambeth 2030 Our Future, Our Lambeth 17 DIVERSE SAFE BOROUGH AREAS VIBRANT PARKS Our Future, Our Lambeth CARE FAIR FRIENDLY INCLUSIVE PEOPLE Our Vision Statement WELCOMING THRIVING Lambeth - a borough with social and climate justice at its heart. By harnessing the power and pride of our GREEN SPACES PARKS LAMBETH people and partnerships, we will proactively tackle SPACES inequalities so that children and young people can have the best start in life and so everyone can feel safe and SUSTAINABLE AFFORDABLE SHOPS thrive in a place of opportunity. LOCAL OPPORTUNITY Our Commitments Our 2030 Ambitions The vision Our Commitments for Lambeth The Golden Thread - A Borough of Equity and Justice for Lambeth 1. We get the basics right and deliver great Through listening and building on what we already public services that fit what people need know, we've created a vision for the future of 1. Making Lambeth Neighbourhoods To deliver this vision requires individual and collective - Lambeth that's rooted in what people want. This is a We will take a one borough approach to deliver Fit for the Future vision that belongs to everyone. commitment and action. This means the Council and our services consistently and well Lambeth's communities and organisations coming 2. Making Lambeth One of the Safest Achieving this future vision of Lambeth comes down together and standing as one to transform the ways 2. People have a say and stake in the decisions Boroughs in London to all of us. We are all connected, and we all have a we work. that matter stake in Lambeth to make it the best place to live, - We will be a listening and open borough that 3. Making Lambeth A Place We Can All work and visit in the UK. By listening to our communities, understanding their recognises and values our community voices Call Home experiences, and aligning our priorities with theirs, we From our conversations we know people agree with a can build confidence between Lambeth's institutions, 3. We work together in partnership, to harness group of core priorities and ambitions for the future of businesses, community groups and organisations, what makes Lambeth special Lambeth. They are ready to come together and bring and residents, and we can ensure that the changes - We will collaborate with our people and partners this vision to life, and there is also strong support in we make, and the partnerships we form, are all to innovate and implement together the shift towards taking a longer-term view, SO that we contributing to improving the lives of those who live, are ready for the unforeseen challenges of the future. work, learn and visit our borough. 4. We are accessible, transparent and we stand up to challenges - We will focus on what our residents want and be honest about what we can and can't do, whilst being courageous to take bold action"
output_mixed_1a_redacted.pdf_ocr_output.csv,9,"CSM FLIGHT PLAN 137:00 SIM EXP STATUS 137:30 SIM EXP STATUS UPDATE: SET HGA: MAN, WIDE, P -10, Y 25 FOR AOS (+0100) (P20) TEI 38 PAD (P20) (+0100) (0.5°08) SOLAR CORONA PHOTO PAD (137:33) (00200) (0.5°DB) (00200) FLIGHT PLAN (11101) (11101) (_1111) (_1111) SOLAR CORONA PHOTO PAD (SR) SOLAR CORONA (SUNRISE) T-START: (SR -7 MIN) :10 :40 PCM BIT RATE - LOW (NEXT 7 MIN) (159°W) 02 FUEL CELL PURGE CONFIGURE FOR URINE DUMP LS WASTE WATER DUMP LS VHF VHF CMDS: (AOS +61 MIN) DSE REWIND REV 26 PCM BIT RATE - HIGH (180°W) :20 :50 SAMPLE BUSS (1) - STOW SAMPLE (1) DUMP URINE FROM BUSS (1) - STOW CSM EXP/EVA CHECKLIST SOLAR CORONA (SR) PAGE X/2-9 MAG (99) CMDS: (AOS +69 MIN) DSE RECORD 137:30 VERIFY DSE TAPE MOTION (HBR/RCD/FWD/CMD RESET) 138:00 MISSION EDITION DATE PAGE APOLIO 17 FINAL (12/6) 10/23/72 3-175"
output_mixed_1a_redacted.pdf_ocr_output.csv,10,"LOI BURN TABLE P OR Y ATT SHUTDOWN RESIDUALS RATES DEVIATION TIME 10°/SEC +10° TAKEOVER & TAKEOVER & BT + 10 SEC DO NOT TRIM COMPLETE COMPLETE BALL VLV FAILURE - START ON GOOD BANK (LM AVAIL) Shut down good bank 10 sec before nominal C/O. EARLY C/O - RESTART IF NO LIMITS EXCEEDED G&N IS GO AND VG0>50 CSM 4-1(b). - L01 mode IDPS abort. (LD: Dec 7 G.m.t.) Launch day dependent 9/26/72 Final Mission profile dependent Burntime AVM Mode SPS limits Procedure 0:00 0:28 0 183 I TIGHT DPS at 2 hr (RTCC) 0:28 0:53 183 348 I TIGHT DPS at 30 min (crew chart) 0:53 1:31 348 613 I LOOSE DPS at 30 min to depletion + APS at 2 1/2 hr (RTCC); loss of comm, DPS followed immediately by APS (crewchart) 1:31 2:03 613 833 II LOOSE DPS at 2 hr + DPS to depletion at perilune + APS at 2 hr after DPS depletion (RTCC) 2:03 2:54 833 1200 II LOOSE DPS at 2 hr + DPS at perilune (RTCC) 2:54 3:40 1200 1543 III LOOSE DPS at perilune (RTCC) 3:40 4:30 1543 1930 III TIGHT DPS at perilune (RTCC) 4:30 Cutoff 1930 2980 III TIGHT DPS to depletion at perilune + APS at 2 hr after DPS depletion (RTCC) THE PU VALVE SHOULD BE USED TO MAINTAIN IGN <3 MIN 40 SEC LATE THE INDICATED UNBALANCE TO WITHIN +50 LB SHUTDOWN TIMES OF THE STABILIZED READING (TIG +25 SEC) UNTIL CROSSOVER. AFTER CROSSOVER THE VALVE 0 TO 1 MIN 20 SEC - 10 SEC SHOULD BE USED TO CONTROL THE GREEN BAND 1 MIN 20 SEC TO 2 MIN - 5 SEC (0+100 LB). THE APPROXIMATE TIME OF CROSS- 2 MIN TO 3 MIN 40 SEC - 0 SEC OVER IS 4 MIN 20 SEC INTO THE LOI BURN APOLLO 17 FINAL (12/6) 10/23/72 S/TLC 3-82"
