page,text,left,top,width,height
1,EARLY BOOKS AND EARLY READERS AT NOSTELL PRIORY,198,119,702,16
1,"second-hand, originally inscribed by one John Duckenfield. Winn",150,172,799,33
1,was keen to make it his own: it is inscribed '[Ge]orge Wynn owneth,151,209,798,32
1,"this booke', the ownership also witnessed by one George Stinton.",151,247,796,33
1,"George Winn's son, the 2nd Baronet, was equally keen to assert",152,284,798,33
1,"ownership on inheriting the same book, signing it 'Edmund Winn:",151,322,796,34
1,Liber hic meus testis est.' By I October 1695 the book had changed,150,359,798,33
1,"hands again, signed by Edmund's brother, George Winn (b.c.1645),",151,397,797,33
1,"then later still it was signed by Rowland Winn, 3rd Baronet. The",151,434,798,33
1,"1695 date of George Winn's inscription is pertinent, coming the",152,472,796,33
1,"year after the death of his father, and other inscriptions indicate that",151,509,798,33
1,this transfer may have been part of a wider dispersal of books. A,151,547,798,33
1,group of nine books were all marked in 1696 by Edmund Winn of,151,585,803,33
1,"Acton (1678-1743), the second son of the 2nd Baronet, perhaps an",151,622,798,34
1,"inheritance from his father, although none bear his mark. Alongside",151,659,798,33
1,these few books marked by various early members of the Winn,151,697,798,32
1,family are several hundred other contemporary books of a similar,151,734,798,33
1,"type, bound in unremarkable English bindings and acquired in the",151,772,798,34
1,"17th century, many on the second-hand market and with earlier",153,809,796,33
1,Yorkshire owners. We have no reason not to assume that these share,150,847,799,25
1,a common provenance.,150,894,280,22
1,Building a Library: The Acquisition of the Ludlam Family Books,152,959,722,34
1,This accretion of family books represents the first stirrings of a,150,997,798,33
1,dynastic family library at Nostell. The growing belief that a landed,151,1034,798,33
1,"family should have a library and that it represented their wealth,",151,1072,796,33
1,status and pedigree is apparent from the numerous early armorial,150,1109,799,33
1,bookplates commissioned in the period 1690-1710. These reflect a,151,1147,798,33
1,series of contemporary changes in taste and fashion in book collect-,150,1183,799,34
1,"ing, library use and library design. With a few notable exceptions,",150,1222,797,34
1,"mostearly 17th-century private libraries were 'closet' libraries, small",152,1259,797,33
1,collections of practical books kept in a locked chest or in a closet off a,151,1297,798,33
1,"bedchamber, and as such wholly private spaces for study, devotion",151,1334,798,33
1,and contemplation. With the increase in printed output in the 16th,150,1372,798,34
1,"and 17th centuries, books became more affordable and more widely",150,1409,799,32
1,accessible. Libraries began to outgrow the closet.,151,1447,577,34
1,The Winn family in the 17th century were certainly not bib-,177,1484,771,33
1,"liophiles, but the changing cultural trends in book ownership",150,1522,798,34
