page,text,left,top,width,height
1,CSM FLIGHT PLAN,207,932,29,313
1,166:00,285,1898,16,59
1,SIM EXP STATUS,284,1170,16,142
1,166:30,282,1009,16,58
1,SIM EXP STATUS,280,278,16,142
1,(*0100),303,1212,19,67
1,(1111),315,1899,20,66
1,(11111),307,1006,20,67
1,(*0100),299,319,20,67
1,(_111),335,1900,19,62
1,(00300),325,1213,19,67
1,(_1111),330,1006,20,66
1,(00300),320,319,19,67
1,UPDATE:,367,1729,15,68
1,LUNAR SOUNDER PAD (166:40),386,1515,20,260
1,FLIGHT PLAN,408,1666,16,110
1,(11101),472,1005,19,67
1,V48 (11101),474,804,18,110
1,LS,475,327,14,20
1,(_1111),492,1006,20,66
1,(_iii),493,803,21,66
1,RCV,495,317,14,30
1,ONLY,515,317,15,41
1,(SEP-ON),535,299,19,76
1,LUNAR SOUNDER PAD,629,573,16,173
1,T-START:,669,668,15,78
1,:,664,444,17,9
1,:10,693,1899,16,28
1,:40,693,1008,15,28
1,T-STOP:,709,676,16,70
1,(45°W TO 60°W),737,510,19,137
1,LS OPERATE - OPERATE (T START),822,611,19,302
1,LS,848,1221,15,20
1,S,868,1857,15,9
1,RCV,868,1211,14,30
1,ONLY,888,1210,15,42
1,D,910,1856,16,11
1,(SEP-ON),907,1192,19,77
1,LS,904,327,16,20
1,D,916,963,15,10
1,N,931,1856,14,10
1,HF,925,327,15,20
1,N,937,964,14,10
1,(MARIUS HILLS),945,269,19,136
1,ORBITAL SCIENCE VISUAL,980,1577,15,220
1,LANDING SITE (CM5),1019,1627,20,178
1,LS OPERATE - STBY (T STOP),1026,651,19,261
1,WAIT 1 MIN,1047,791,16,104
1,RCDR OFF,1068,812,15,101
1,X,1083,1854,17,14
1,:20,1102,1899,15,28
1,:50,1099,1008,16,28
1,LS,1252,327,15,20
1,RCV,1273,318,14,30
1,ONLY,1293,318,15,41
1,(SEP-ON),1313,300,19,76
1,ORBITAL SCIENCE VISUAL,1347,1575,16,220
1,D-CALDERA (CM5),1387,1656,19,148
1,RCDR ON,1458,1713,15,90
1,166:30,1508,1898,16,59
1,167:00,1506,1009,15,59
1,MISSION,1556,1349,17,93
1,EDITION,1557,1141,17,90
1,DATE,1558,907,16,55
1,PAGE,1557,756,16,60
1,APOLLO 17,1587,1348,16,91
1,FINAL (12/6),1586,1124,20,119
1,10/23/72,1586,897,17,79
1,3-233,1588,764,15,49
2,"08 | Lambeth 2030 Our Future, Our Lambeth",78,70,455,28
2,"Lambeth 2030 Our Future, Our Lambeth 09",2771,71,456,31
2,Lambeth 2030,165,270,1030,133
2,Vision Statement,152,418,1263,137
2,Lambeth - a borough,159,739,856,93
2,SUSTAINABLE,1732,712,640,65
2,with social and climate,155,838,927,81
2,justice at its heart.,151,941,742,83
2,By harnessing the power and pride of,159,1071,1166,82
2,"our people and partnerships, we will",157,1157,1118,78
2,proactively tackle inequalities SO that,157,1241,1127,75
2,children and young people can have the,159,1321,1237,79
2,best start in life and SO everyone can feel,159,1405,1256,79
2,safe and thrive in a place of opportunity.,158,1489,1228,80
2,SAFER,2518,1576,259,60
3,Managing Breathing Difficulties,480,113,692,46
3,WHY DO I FEEL BREATHLESS?,117,201,570,33
3,It is common for people who have had Covid-19 to feel breathless. Some of your breathing difficulties,117,264,1374,35
3,"may not have got better yet. You may be taking quicker, shorter and shallower breaths. You may",118,302,1313,34
3,notice that your shoulders are raised as you tense up and try and take in more air. Breathlessness can,117,339,1379,35
3,also be made worse by anxiety.,117,376,415,31
3,If you feel anxious and worried about being breathless this can make your muscles tense and cause your,117,436,1412,34
3,heart to beat faster. This can then make you breathe faster and make your breathlessness and anxiety,118,473,1387,33
3,worse. That is why it is important to stay in control of your breathing.,116,510,938,33
3,Some of the reasons why you still feel breathless are:,117,581,707,32
3,You may be producing too much mucus (fluid that coats and protects the inside of your airways).,171,633,1315,35
3,You may have a chesty cough.,171,688,404,31
3,You may be less fit than you used to be because you're not moving about and exercising as much.,171,740,1325,34
3,Covid-19 may have caused some damage to your lungs.,172,794,754,32
3,Your blood is pooling in the lower part of your body making you feel short of breath when you stand,171,847,1371,35
3,up.,173,892,41,24
3,You have residual inflammation in your lungs and/or,170,938,710,32
3,If your breathlessness gets,1029,926,421,31
3,blood vessels.,173,975,185,25
3,"worse suddenly, for no",1064,967,351,31
3,"apparent reason, you should",1020,1009,439,32
3,You may be anxious.,171,1029,280,31
3,speak to your GP or call 111,1008,1050,463,32
3,Let's take a moment and have a think about what normal,118,1089,772,27
3,breathing should look like.,117,1126,352,32
3,"Normal breathing should be something you do without even thinking about it, it should be easy to do",118,1182,1379,35
3,and you should breathe in through your nose. When we breathe in this way the air is filtered to remove,117,1219,1399,35
3,any bacteria and dust. It's warmed up so it's the right temperature for your lungs and it becomes wet,117,1256,1364,34
3,in your nose. Normal breathing should be quiet. Your breath out should be slightly longer than your,118,1293,1358,34
3,breath in.,118,1332,131,25
3,"The diaphragm is the main muscle that controls your breathing. When we breathe in, the diaphragm",116,1382,1358,35
3,"pulls your ribcage down, sucking air into your lungs. When you breathe out, the diaphragm relaxes and",118,1419,1406,35
3,you let go of the air. Breathing out should require no effort whatsoever. When you don't breathe like,116,1456,1365,35
3,this you use up more energy and can get tired easily.,116,1494,703,32
3,Inspiration,363,1572,88,17
3,Expiration,756,1569,83,17
3,Automatic,970,1631,249,44
3,Effortless,1295,1631,228,44
3,Thoracic cavity,124,1832,116,17
3,Thoracic cavity,537,1829,116,17
3,expands,124,1850,65,17
3,reduces,537,1846,62,15
3,Quiet,1032,1831,132,44
3,Nasal,1340,1830,138,44
3,External intercostal,125,1888,146,15
3,External intercostal,538,1884,147,14
3,muscles contract,124,1907,135,14
3,muscles relax,537,1902,111,14
3,Diaphragm,125,1965,83,16
3,Diaphragm,329,2093,76,16
3,contracts,329,2112,63,12
3,Diaphragm,715,2107,76,16
3,relaxes,715,2125,50,13
3,Image Credit: OpenStax College,571,2169,354,26
3,Long Covid Workbook 27,1218,2229,323,29
4,LM FLIGHT PLAN,106,830,43,397
4,MCC-H,164,1767,26,99
4,1253 CST,154,1532,25,122
4,CDR,165,1135,25,61
4,LMP,165,666,26,58
4,NOTES,163,250,27,104
4,136:00,202,1535,24,90
4,POST SLEEP (CONT),217,1108,30,255
4,:10,388,1533,24,43
4,UPDATE TO LM,436,1774,24,186
4,LIFT-OFF TIMES FOR,466,1684,24,277
4,REVS 26-32,496,1778,23,151
4,:20,572,1533,24,42
4,S,712,1451,23,14
4,T,743,1450,23,15
4,136:30,758,1533,23,90
4,D,774,1450,22,15
4,N,806,1450,22,14
4,EAT PERIOD,933,874,23,153
4,:40,944,1531,24,41
4,:50,1129,1530,24,43
4,GDS 210' AOS,1183,249,24,181
4,137:00,1313,1529,24,90
4,MISSION,1353,1573,25,132
4,EDITION,1354,1342,25,124
4,DATE,1353,1076,24,77
4,TIME,1352,738,24,71
4,DAY/REV,1353,385,27,140
4,PAGE,1354,215,25,85
4,APOLLO 17,1389,1567,24,136
4,FINAL (12/6),1390,1316,31,178
4,10/23/72,1381,1059,28,118
4,136:00 - 137:00,1391,661,24,225
4,7/25,1394,416,26,61
4,3-172,1395,219,23,74
4,FLIGHT PLANNING BRANCH,1432,791,26,425
4,SIGNATURE,1566,192,49,80
5,Hearing,118,113,132,32
5,Listening to music,172,168,234,31
5,"Listening to the sound of nature, such as waves or bird sounds",172,220,817,33
5,Listening to an audio-book or a guided imagery exercise,172,274,725,32
5,Listen your favourite TV show or movie,173,328,509,31
5,Smell,117,385,93,26
5,Smell scented candles,172,439,286,25
5,"Favourite perfume, body mist, body cream",173,493,550,32
5,Cook a meal that smells delicious,172,546,427,26
5,"Go to a place where you might enjoy the smell (park, flower shop, perfume shop, bakery, restaurant)",172,598,1310,34
5,Taste,116,658,93,25
5,Cook or buy your favourite meal and eat it slowly,172,711,634,32
5,Make a cup of coffee/tea/smoothie,173,764,456,32
5,Chewing gum with your favourite flavour,172,818,558,32
5,Eat some fruit,173,871,179,26
5,Touch,116,930,103,25
5,Cuddle your pet,173,983,217,31
5,Hug someone who you care about,173,1036,443,32
5,Cuddle under a blanket,172,1090,303,26
5,"Touch/wear any fabric that seems soothing to you (something smooth, velvety, fluffy)",170,1142,1112,34
5,Hot/cold showers,172,1197,230,30
5,Hot water bottle,173,1250,211,26
5,Think about what you find relaxing and try to do those activities when feeling stressed. It can be helpful to use,116,1308,1392,33
5,techniques that have worked before by making you feel safe and relaxed.,116,1345,917,32
5,Feel free to ask friends and family for their own ideas but remember that what works for one person does not,118,1405,1377,33
5,work for others.,116,1443,207,26
5,Long Covid Workbook 51,1218,2229,323,29
6,THE BOOK COLLECTOR,396,120,308,16
6,"The Society grew out of the Ex Libris Society, founded in 1891. Ex",178,190,771,29
6,"Libris ran for eighteen years with a well-illustrated journal, something its",150,223,799,29
6,"descendant follows today. Out of it sprang The Bookplate Exchange Club,",151,257,796,29
6,"which survived for eighty years until 1972 when the late Brian North Lee,",151,290,797,29
6,"the doyen of bookplate studies, and its last secretary, Peter Summers FSA,",150,323,798,29
6,founded The Bookplate Society. Fifty years on the Society actively pro-,151,357,798,30
6,"motes, explores and explains these miniature signs of ownership, focusing",151,390,799,29
6,"as much on designers as on owners. The humble bookplate, often not even",150,423,799,29
