page,text,left,top,width,height
1,6-t,1511,138,57,63
2,Covid-19 And Emotions,564,125,522,36
2,"In a crisis, support is available from:",134,227,715,40
2,Samaritans - Telephone 116 123 (UK) free to call with 24-hour support or online at,154,281,1133,32
2,https://www.samaritans.org/?nation=scotland,370,318,626,32
2,Breathing Space - Telephone 0800 83 85 87,155,388,623,32
2,Opening hours: Weekdays: Monday -Thursday 6pm to 2am,430,425,802,32
2,Weekend: Friday 6pm - Monday 6am,656,463,494,31
2,"Contact your GP, or ring NHS 24 by dialling 111 - medical help and advice from fully trained",154,530,1262,33
2,advisers supported by experienced nurses and paramedics. Available over the phone 24 hours a day.,154,566,1307,33
2,MIND - Visit https://www.mind.org.uk/ for information and support on mental health.,156,635,1249,33
2,"Living with the lasting effects of Covid-19 can be scary, especially when your symptoms don't go away or",125,736,1419,34
2,"are changing. You might need to change the way you used to do things, and the amount of things you can",124,773,1443,34
2,"do because of Long Covid. This can be a difficult adjustment, and getting used to managing your",124,811,1310,33
2,"symptoms can be quite lonely, isolating, and frustrating which can affect your mood.",124,847,1140,34
2,"Many people who are living with Long Covid have a 'grieving period' to process these changes, and to",125,917,1372,34
2,work through any negative emotions they may have. These negative moods and emotions are a part of,124,953,1398,34
2,"the journey for some people, and like the other symptoms of Long Covid, may last a long time for some,",123,991,1410,34
2,and be short lived for others.,124,1029,389,26
2,"If you experience a low mood or negative emotions that feel out of control, or will not go away, get in",124,1098,1378,33
2,touch with your GP or Healthcare professional.,124,1136,625,32
2,There are many ways in which Covid-19 may have changed your mood. Here are some of the ways:,123,1205,1351,33
2,Stress and a feeling of worry,242,1281,444,33
2,Low Mood,1103,1282,154,25
2,- Around your recovery,314,1321,311,31
2,- Not meeting your friends and family,913,1320,506,32
2,- Your future,314,1359,169,25
2,- Feeling alone,913,1360,196,31
2,- Another infection,314,1399,250,25
2,- Not wanting to do things you used to like,913,1398,579,32
2,"- Work, money",314,1438,198,31
2,Anger and Frustration,289,1523,349,31
2,Trauma,1115,1523,131,25
2,- Wanting to recover faster,314,1561,356,31
2,- Nightmares and flashbacks from the,934,1561,508,33
2,- Why me?,314,1601,142,30
2,time youhave been unwell,1011,1600,350,32
2,How can I help my emotions?,119,1719,577,39
