image,page,label,color,xmin,ymin,xmax,ymax,text
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_0.png,1,ADDRESS,"(0, 0, 0)",1366.0,749.0,1451.0,786.0,U.S.
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_1.png,2,ADDRESS,"(0, 0, 0)",901.0,621.0,983.0,659.0,U.S.
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_1.png,2,ADDRESS,"(0, 0, 0)",1988.0,670.0,2074.0,713.0,U.S.
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_2.png,3,EMAIL,"(0, 0, 0)",1140.0,2581.0,1653.0,2628.0,akaplan@sister-cities.org
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_2.png,3,PHONE,"(0, 0, 0)",2065.0,2581.0,2166.0,2625.0,(202)
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_2.png,3,PHONE,"(0, 0, 0)",299.0,2635.0,505.0,2672.0,347-8630
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",1247.0,1429.0,1568.0,1466.0,ABU DHABI
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",983.0,1557.0,1512.0,1603.0,"HOUSTON, TEXAS"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",1571.0,1557.0,1744.0,1602.0,U.S.A
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",1363.0,1961.0,1567.0,1992.0,Abu Dhabi
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",1661.0,1961.0,1828.0,1996.0,Houston
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",861.0,2144.0,1029.0,2179.0,Houston
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,ADDRESS,"(0, 0, 0)",565.0,2145.0,766.0,2176.0,Abu Dhabi
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,SIGNATURE,"(0, 0, 0)",1751.0,2472.0,2316.0,2618.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,NAME,"(0, 0, 0)",1751.0,2477.0,2304.0,2623.0,LulBron
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,SIGNATURE,"(0, 0, 0)",876.0,2527.0,1099.0,2633.0,SIGNATURE
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,HANDWRITING,"(0, 0, 0)",874.0,2540.0,1094.0,2631.0,to
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,NAME,"(0, 0, 0)",1859.0,2660.0,2161.0,2694.0,Lee P.Brown
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_3.png,4,NAME,"(0, 0, 0)",626.0,2661.0,1560.0,2697.0,Sheikh Mohammed bin Butti AI Hamed
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1473.0,865.0,1732.0,895.0,NEW YORK
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1174.0,966.0,1676.0,998.0,"NEW YORK, N.Y. 10007"
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",800.0,1176.0,1084.0,1212.0,NEW YORK
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1252.0,1326.0,1463.0,1361.0,New York
/tmp/gradio/2ad3cb8c45feb2bb13ebe68e51e37b613a9d049df254a88fef8cde84ef6eabe1/Partnership-Agreement-Toolkit_0_0_page_4.png,5,ADDRESS,"(0, 0, 0)",1929.0,1584.0,2242.0,1628.0,New York City
