page,text,left,top,width,height,line,conf
1,Partnership Agreement,0.517647,0.027273,0.441176,0.032727,1,96.0
1,SisterCities,0.169804,0.033939,0.238824,0.02697,2,91.0
1,INTERNATIONAL,0.172549,0.067273,0.234902,0.007576,3,90.0
1,Toolkit,0.830588,0.071818,0.12902,0.026364,4,94.0
1,Connect glob . [Thrive locally.,0.170196,0.087576,0.237255,0.011212,5,66.0
1,Types of Affiliations,0.116863,0.157576,0.240392,0.019697,6,96.0
1,Sister City Relationship,0.118431,0.187273,0.195686,0.013939,7,96.0
1,"A Sister City relationship is formed when the mayor or highest elected official (or, if elections",0.117647,0.210909,0.737255,0.013636,8,96.0
1,"do not take place, highest appointed official) from a U.S. community and a community in",0.118431,0.227576,0.707451,0.013333,9,94.0
1,another country or territory sign a formal agreement on behalf of their communities endorsing a,0.118431,0.243333,0.76,0.013333,10,96.0
1,"""sister city/sister cities"" relationship. Sister city agreements shall be considered active/valid",0.118824,0.259394,0.730196,0.013636,11,94.0
1,unless otherwise indicated by one or both of the respective communities.,0.118824,0.276061,0.584314,0.013333,12,96.0
1,Sister Cities International shall formally recognize only those relationships by cities/members in,0.118431,0.299394,0.757647,0.013333,13,95.0
1,good standing (i.e. who are current on membership dues) in its Membership Directory or on its,0.118431,0.315758,0.752941,0.013333,14,95.0
1,"website. However, Sister Cities International shall not assert as invalid or otherwise impugn the",0.118039,0.332121,0.758039,0.013333,15,96.0
1,legitimacy of those relationships formed by non-members.,0.118824,0.348182,0.464706,0.013333,16,95.0
1,Friendship City,0.118824,0.371818,0.126275,0.013939,17,96.0
1,"A Friendship City or Friendship Cities relationship is often formed by cities as a ""stepping",0.117647,0.395758,0.712941,0.013636,18,96.0
1,"stone"" to a more formal ""Sister City"" agreement. Typically Friendship City agreements are",0.117647,0.412121,0.719216,0.013333,19,96.0
1,referred to as such in the formal documents that are signed. Sister Cities International shall,0.118824,0.427879,0.725098,0.013333,20,96.0
1,recognize Friendship City relationships by members in its Membership Directory and website.,0.118824,0.444242,0.746275,0.013333,21,93.0
1,As per Sister Cities International Board of Directors:,0.117647,0.467879,0.412549,0.013333,22,96.0
1,Sister Cities International will recognize a new sister cities affiliation between a,0.169804,0.492121,0.625098,0.013333,23,96.0
1,"U.S. and an international community, even though another affiliation may exist",0.170196,0.507879,0.625098,0.013636,24,93.0
1,"between that international community and a different U.S. community, only if a",0.170196,0.524242,0.627059,0.013333,25,92.0
1,cooperative agreement among all involved communities Is filed with Sister Cities,0.169412,0.540606,0.641569,0.013333,26,95.0
1,"International. If a cooperative agreement is denied, or no response to the request",0.170196,0.556364,0.648235,0.013636,27,95.0
1,"is received within a reasonable amount of time, Sister Cities International will",0.170196,0.572727,0.61098,0.012121,28,93.0
1,recognize the partnership as a fnendship city and it will be delineated as such,0.170196,0.588485,0.619608,0.014242,29,91.0
1,with a symbol in the membership directories.,0.169412,0.605152,0.357647,0.013333,30,95.0
1,The cooperative agreement must be sent bythe Mayor/County,0.168627,0.628788,0.508627,0.013939,31,95.0
1,"Executive/Governor of the requesting community, and must be sent to the",0.170196,0.644848,0.593725,0.014242,32,95.0
1,Mayor/County Executive/Governor of each of the existing partnership,0.170196,0.660909,0.554118,0.014242,33,95.0
1,communities. Although the Mayor/County Executive/Governor may request input,0.169412,0.677273,0.647843,0.014242,34,94.0
1,"from, or may be given input by, the sister cities program, it is up to the discretion",0.169412,0.693636,0.64549,0.013333,35,92.0
1,of the Mayor/County Executive/Governorto sign the cooperative agreement.,0.169412,0.709697,0.611765,0.013333,36,89.0
1,Although Sister Cities International will help with the cooperative agreement,0.16902,0.726061,0.605882,0.013333,37,93.0
1,"process, it is up to the requesting community to get the agreement signed. Sister",0.170196,0.742121,0.649804,0.013333,38,95.0
1,"Cities International will not, in any way, force a community to ""share"" and sign",0.169412,0.758788,0.622745,0.013333,39,96.0
1,the cooperative agreement.,0.169412,0.774545,0.218431,0.013333,40,96.0
1,"To place a relationship into Emeritus status, the mayor or highest elected official of the U.S.",0.117255,0.798485,0.735686,0.013636,41,96.0
1,community must write a letter to the mayor of the foreign city indicating that they wish to,0.118431,0.814545,0.707451,0.013333,42,95.0
1,"remain sister cities, but understand that the relationship will remain inactive until such time as",0.118824,0.830909,0.74549,0.013333,43,96.0
1,both cities are able to sustain an active relationship. Sister Cities International should be,0.118824,0.84697,0.703922,0.013333,44,96.0
1,informed in writing by the mayor of the U.S. city of the situation. Sister Cities International will,0.118824,0.86303,0.744706,0.013333,45,94.0
