page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,Partnership,0.517647,0.027273,0.731373,0.06,96.0,,,,,,96.0
1,1,Agreement,0.747843,0.028182,0.958824,0.059697,95.0,,,,,,96.0
1,2,SisterCities,0.169804,0.033939,0.408627,0.060909,91.0,,,,,,91.0
1,3,INTERNATIONAL,0.172549,0.067273,0.407451,0.074848,90.0,,,,,,90.0
1,4,Toolkit,0.830588,0.071818,0.959608,0.098182,94.0,,,,,,94.0
1,5,Connect,0.170196,0.087576,0.233725,0.096667,96.0,,,,,,66.0
1,5,glob,0.241569,0.090606,0.271765,0.098788,36.0,,,,,,66.0
1,5,.,0.292157,0.090606,0.3,0.097879,77.0,,,,,,66.0
1,5,[,0.308627,0.087576,0.314958,0.096667,28.0,,,,,,66.0
1,5,Thrive,0.314958,0.087576,0.352941,0.096667,28.0,,,,,,66.0
1,5,locally,0.363529,0.088182,0.401961,0.097879,94.0,,,,,,66.0
1,5,.,0.401961,0.088182,0.407451,0.097879,94.0,,,,,,66.0
1,6,Types,0.116863,0.157879,0.188627,0.177273,96.0,,,,,,96.0
1,6,of,0.200392,0.157576,0.223922,0.173636,95.0,,,,,,96.0
1,6,Affiliations,0.231373,0.157576,0.357255,0.173636,96.0,,,,,,96.0
1,7,Sister,0.118431,0.187273,0.166275,0.198485,96.0,,,,,,96.0
1,7,City,0.172157,0.187273,0.204706,0.201212,96.0,,,,,,96.0
1,7,Relationship,0.212157,0.187273,0.314118,0.201212,96.0,,,,,,96.0
1,8,A,0.117647,0.211515,0.127843,0.221515,95.0,,,,,,96.0
1,8,Sister,0.134902,0.210909,0.18,0.221515,95.0,,,,,,96.0
1,8,City,0.186275,0.210909,0.216471,0.224242,95.0,,,,,,96.0
1,8,relationship,0.223529,0.210909,0.312941,0.224242,96.0,,,,,,96.0
1,8,is,0.321176,0.210909,0.330588,0.221515,96.0,,,,,,96.0
1,8,formed,0.338039,0.210909,0.392549,0.221515,96.0,,,,,,96.0
1,8,when,0.400392,0.210909,0.441569,0.221515,96.0,,,,,,96.0
1,8,the,0.448627,0.210909,0.472549,0.221515,95.0,,,,,,96.0
1,8,mayor,0.48,0.213939,0.52902,0.224545,95.0,,,,,,96.0
1,8,or,0.53451,0.213939,0.550196,0.221818,95.0,,,,,,96.0
1,8,highest,0.556471,0.210909,0.613725,0.224242,96.0,,,,,,96.0
1,8,elected,0.62,0.210909,0.675294,0.221515,96.0,,,,,,96.0
1,8,official,0.683529,0.210909,0.733725,0.221515,95.0,,,,,,96.0
1,8,(,0.741176,0.210909,0.746961,0.22303,96.0,,,,,,96.0
1,8,or,0.746961,0.210909,0.758529,0.22303,96.0,,,,,,96.0
1,8,",",0.758529,0.210909,0.764314,0.22303,96.0,,,,,,96.0
1,8,if,0.772549,0.210909,0.780784,0.221515,96.0,,,,,,96.0
1,8,elections,0.785882,0.210909,0.854902,0.221515,95.0,,,,,,96.0
1,9,do,0.118431,0.227576,0.136863,0.238182,96.0,,,,,,94.0
1,9,not,0.144706,0.228182,0.169412,0.237879,96.0,,,,,,94.0
1,9,take,0.174902,0.227576,0.207843,0.238182,96.0,,,,,,94.0
1,9,place,0.214902,0.227576,0.25281,0.240909,96.0,,,,,,94.0
1,9,",",0.25281,0.227576,0.260392,0.240909,96.0,,,,,,94.0
1,9,highest,0.268627,0.227576,0.32549,0.240909,96.0,,,,,,94.0
1,9,appointed,0.331765,0.227576,0.409804,0.240909,95.0,,,,,,94.0
1,9,official,0.417647,0.227576,0.467495,0.239697,95.0,,,,,,94.0
1,9,),0.467495,0.227576,0.473725,0.239697,95.0,,,,,,94.0
1,9,from,0.479216,0.227576,0.51451,0.238182,65.0,,,,,,94.0
1,9,a,0.521961,0.230303,0.52902,0.238182,95.0,,,,,,94.0
1,9,U.S,0.536863,0.227879,0.560392,0.238182,96.0,,,,,,94.0
1,9,.,0.560392,0.227879,0.568235,0.238182,96.0,,,,,,94.0
1,9,community,0.576078,0.227576,0.663922,0.240909,96.0,,,,,,94.0
1,9,and,0.670588,0.227576,0.697647,0.238182,96.0,,,,,,94.0
1,9,a,0.70549,0.230303,0.712549,0.238182,95.0,,,,,,94.0
1,9,community,0.72,0.227576,0.808235,0.240909,95.0,,,,,,94.0
1,9,in,0.814902,0.227576,0.825882,0.237879,95.0,,,,,,94.0
1,10,another,0.118431,0.243333,0.179216,0.253939,96.0,,,,,,96.0
1,10,country,0.184706,0.244242,0.244314,0.256667,96.0,,,,,,96.0
1,10,or,0.250196,0.246364,0.265882,0.254242,96.0,,,,,,96.0
1,10,territory,0.270588,0.243333,0.332157,0.256667,96.0,,,,,,96.0
1,10,sign,0.338824,0.243333,0.369804,0.256667,95.0,,,,,,96.0
1,10,a,0.376863,0.246364,0.383922,0.254242,95.0,,,,,,96.0
1,10,formal,0.39098,0.243333,0.439608,0.253939,96.0,,,,,,96.0
1,10,agreement,0.447059,0.244242,0.532157,0.256667,95.0,,,,,,96.0
1,10,on,0.537647,0.246364,0.556078,0.254242,96.0,,,,,,96.0
1,10,behalf,0.563922,0.243333,0.612157,0.253939,96.0,,,,,,96.0
1,10,of,0.617647,0.243333,0.632941,0.253939,96.0,,,,,,96.0
1,10,their,0.637647,0.243333,0.672549,0.253939,96.0,,,,,,96.0
1,10,communities,0.678039,0.243333,0.778431,0.253939,95.0,,,,,,96.0
1,10,endorsing,0.785882,0.243333,0.863529,0.256667,96.0,,,,,,96.0
1,10,a,0.871373,0.246364,0.878431,0.254242,96.0,,,,,,96.0
1,11,"""sister",0.118824,0.26,0.168627,0.27,91.0,,,,,,94.0
1,11,city/sister,0.17451,0.259394,0.251373,0.27303,91.0,,,,,,94.0
1,11,"cities""",0.256863,0.26,0.303922,0.27,96.0,,,,,,94.0
1,11,relationship,0.311373,0.26,0.398974,0.272727,96.0,,,,,,94.0
1,11,.,0.398974,0.26,0.406275,0.272727,96.0,,,,,,94.0
1,11,Sister,0.414118,0.259697,0.459216,0.27,96.0,,,,,,94.0
1,11,city,0.465098,0.26,0.491765,0.27303,96.0,,,,,,94.0
1,11,agreements,0.498431,0.260909,0.591765,0.27303,96.0,,,,,,94.0
1,11,shall,0.598431,0.26,0.632941,0.27,96.0,,,,,,94.0
1,11,be,0.640392,0.26,0.658824,0.27,96.0,,,,,,94.0
1,11,considered,0.665098,0.26,0.752941,0.27,93.0,,,,,,94.0
1,11,active/valid,0.760392,0.259697,0.84902,0.27,92.0,,,,,,94.0
1,12,unless,0.118824,0.276061,0.167059,0.286667,96.0,,,,,,96.0
1,12,otherwise,0.174902,0.276061,0.25098,0.286667,96.0,,,,,,96.0
1,12,indicated,0.258431,0.276061,0.328627,0.286667,96.0,,,,,,96.0
1,12,by,0.336863,0.276061,0.354902,0.289394,96.0,,,,,,96.0
1,12,one,0.360784,0.278788,0.38902,0.286667,94.0,,,,,,96.0
1,12,or,0.396078,0.278788,0.411765,0.286667,95.0,,,,,,96.0
1,12,both,0.418039,0.276061,0.451765,0.286667,95.0,,,,,,96.0
1,12,of,0.458824,0.276061,0.47451,0.286667,96.0,,,,,,96.0
1,12,the,0.479216,0.276061,0.503529,0.286667,96.0,,,,,,96.0
1,12,respective,0.510588,0.276061,0.591373,0.289394,96.0,,,,,,96.0
1,12,communities,0.598039,0.276061,0.694379,0.286667,96.0,,,,,,96.0
1,12,.,0.694379,0.276061,0.703137,0.286667,96.0,,,,,,96.0
1,13,Sister,0.118431,0.299394,0.163529,0.31,95.0,,,,,,95.0
1,13,Cities,0.169412,0.299394,0.212157,0.31,96.0,,,,,,95.0
1,13,International,0.22,0.299394,0.316078,0.31,96.0,,,,,,95.0
1,13,shall,0.323137,0.299394,0.357647,0.31,96.0,,,,,,95.0
1,13,formally,0.364314,0.299394,0.427059,0.312727,96.0,,,,,,95.0
1,13,recognize,0.434118,0.299394,0.510196,0.312727,96.0,,,,,,95.0
1,13,only,0.516863,0.299394,0.54902,0.312727,96.0,,,,,,95.0
1,13,those,0.55451,0.299394,0.598431,0.31,96.0,,,,,,95.0
1,13,relationships,0.60549,0.299394,0.704314,0.312727,96.0,,,,,,95.0
1,13,by,0.712157,0.299394,0.729804,0.312727,93.0,,,,,,95.0
1,13,cities/members,0.736471,0.299394,0.857255,0.311212,92.0,,,,,,95.0
1,13,in,0.865098,0.299394,0.876078,0.31,96.0,,,,,,95.0
1,14,good,0.118431,0.315758,0.156863,0.329091,96.0,,,,,,95.0
1,14,standing,0.165098,0.315758,0.231373,0.329091,95.0,,,,,,95.0
