page,text,left,top,width,height,line,conf
1,P artnership Agreement,0.514902,0.025152,0.447843,0.035152,1,97.0
1,SisterCities,0.168627,0.032121,0.241569,0.029697,2,99.0
1,NTERNATIONAL,0.177255,0.064545,0.232549,0.011818,3,99.0
1,Toolkit,0.82902,0.069091,0.133725,0.030909,4,99.0
1,Connect globally. Thrive locally.,0.168235,0.085152,0.241961,0.014848,5,98.0
1,Types of Affiliations,0.117255,0.157576,0.240784,0.020303,6,99.0
1,Sister City Relationship,0.116863,0.186061,0.197255,0.014848,7,99.0
1,"A Sister City relationship is formed when the mayor or highest elected official (or, if elections",0.116471,0.209697,0.739216,0.013636,8,99.0
1,"do not take place, highest appointed official) from a U.S. community and a community in",0.117255,0.226667,0.709412,0.013333,9,98.0
1,another country or territory sign a formal agreement on behalf of their communities endorsing a,0.116863,0.243939,0.762745,0.012424,10,98.0
1,"""sister city/sister cities"" relationship. Sister city agreements shall be considered active/valid",0.116863,0.258485,0.733333,0.013636,11,98.0
1,unless otherwise indicated by one or both of the respective communities.,0.119216,0.276364,0.58549,0.012121,12,98.0
1,Sister Cities International shall formally recognize only those relationships by cities/members in,0.115686,0.297576,0.761569,0.014848,13,99.0
1,good standing (i.e. who are current on membership dues) in its Membership Directory or on its,0.116863,0.314545,0.755686,0.014242,14,99.0
1,"website. However, Sister Cities International shall not assert as invalid or otherwise impugn the",0.116863,0.330606,0.760784,0.014545,15,98.0
1,legitimacy of those relationships formed by non-members.,0.119608,0.348788,0.46549,0.012727,16,99.0
1,Friendship City,0.116078,0.37,0.129412,0.016061,17,99.0
1,"A Friendship City or Friendship Cities relationship is often formed by cities as a ""stepping",0.115294,0.394242,0.716471,0.015152,18,96.0
1,"stone"" to a more formal ""Sister City"" agreement. Typically Friendship City agreements are",0.116078,0.410909,0.722353,0.014242,19,98.0
1,referred to as such in the formal documents that are signed. Sister Cities International shall,0.117255,0.42697,0.728627,0.013333,20,99.0
1,recognize Friendship City relationships by members in its Membership Directory and website.,0.116863,0.443333,0.74902,0.014242,21,99.0
1,As per Sister Cities International Board of Directors:,0.116471,0.466667,0.415294,0.013939,22,99.0
1,Sister Cities International will recognize a new sister cities affiliation between a,0.167451,0.490303,0.628627,0.014242,23,97.0
1,"U.S. and an international community, even though another affiliation may exist",0.167451,0.506667,0.62902,0.013939,24,99.0
1,"between that international community and a different U.S. community, only if a",0.167451,0.52303,0.63098,0.013939,25,97.0
1,cooperative agreement among all involved communities is filed with Sister Cities,0.167451,0.538485,0.644314,0.015455,26,99.0
1,"International. If a cooperative agreement is denied, or no response to the request",0.168235,0.555758,0.650588,0.013333,27,98.0
1,"is received within a reasonable amount of time, Sister Cities International will",0.167451,0.571212,0.615294,0.013636,28,99.0
1,recognize the partnership as a friendship city and it will be delineated as such,0.170588,0.589394,0.620784,0.012424,29,99.0
1,with a symbol in the membership directories.,0.168235,0.605758,0.360392,0.012121,30,98.0
1,The cooperative agreement must be sent bythe Mayor/County,0.167451,0.62697,0.50902,0.015758,31,99.0
1,"Executive/Governorof the requesting community, and must be sent to the",0.169412,0.644545,0.595294,0.013636,32,99.0
1,Mayor/County Executive/Governor of each of the existing partnership,0.169804,0.660909,0.554902,0.013333,33,99.0
1,communities. Although the Mayor/County Executive/Governormay request input,0.167843,0.676667,0.649804,0.014242,34,99.0
1,"from, or may be given input by, the sister cities program, it is up to the discretion",0.168235,0.69303,0.648235,0.013636,35,98.0
1,of the Mayor/County Executive/Governorto sign the cooperative agreement.,0.168627,0.709394,0.614118,0.012424,36,99.0
1,Although Sister Cities International will help with the cooperative agreement,0.168235,0.725455,0.607451,0.013333,37,99.0
1,"process, it is up to the requesting community to get the agreement signed. Sister",0.168235,0.741515,0.652157,0.013939,38,98.0
1,"Cities International will not, in any way, force a community to ""share"" and sign",0.167843,0.75697,0.62549,0.015152,39,99.0
1,the cooperative agreement.,0.168235,0.775152,0.22,0.012424,40,98.0
1,"To place a relationship into Emeritus status, the mayor or highest elected official of the U.S.",0.116471,0.79697,0.737255,0.014242,41,98.0
1,community must write a letter to the mayor of the foreign city indicating that they wish to,0.116863,0.815152,0.710196,0.012424,42,99.0
1,"remain sister cities, but understand that the relationship will remain inactive until such time as",0.119608,0.831515,0.745882,0.011515,43,98.0
1,both cities are able to sustain an active relationship. Sister Cities International should be,0.116471,0.845455,0.707451,0.013636,44,98.0
1,informed in writing by the mayor of the U.S. city of the situation. Sister Cities International will,0.116863,0.861212,0.748235,0.015455,45,99.0
