page,text,left,top,width,height,line,conf
6,>} Partnership Agreement,0.121569,0.027273,0.837255,0.032727,1,73.0
6,SisterCities,0.169412,0.033636,0.239216,0.027273,2,86.0
6,INTERNATIONAL,0.172157,0.067273,0.235294,0.007879,3,85.0
6,Toolkit,0.830588,0.071818,0.12902,0.026364,4,96.0
6,Connect globally. Thrive locally,0.169804,0.087576,0.236471,0.012121,5,94.0
6,' Toe,0.195686,0.14303,0.081961,0.013333,6,25.0
6,me,0.376863,0.17697,0.018824,0.006061,7,22.0
6,Lona Beach,0.557255,0.203636,0.303922,0.054242,8,62.0
6,y,0.353333,0.213333,0.039608,0.073636,9,23.0
6,Ait,0.42,0.22,0.076078,0.036667,10,11.0
6,0,0.506667,0.227879,0.018039,0.019394,11,40.0
6,& Fah,0.265882,0.23697,0.059608,0.01303,12,44.0
6,TM%,0.160392,0.241212,0.022353,0.014545,13,18.0
6,Le,0.176078,0.257273,0.006667,0.00303,14,43.0
6,yf Cal,0.368627,0.261515,0.231373,0.028788,15,49.0
6,-_- -  -,0.306275,0.284242,0.025882,0.002424,16,6.0
6,9,0.241569,0.290303,0.009412,0.01,17,42.0
6,Nay,0.173725,0.301212,0.058824,0.020303,18,64.0
6,-,0.253725,0.308182,0.027843,0.012424,19,77.0
6,-,0.232941,0.327273,0.013333,0.004545,20,21.0
6,between the,0.465882,0.353636,0.081961,0.007879,21,64.0
6,C7 City of Long Beach,0.200784,0.379091,0.430196,0.016061,22,82.0
6,"California, USA",0.400784,0.398182,0.209412,0.015152,23,96.0
6,and the,0.480784,0.416061,0.051373,0.007273,24,87.0
6,City of San Pablo de Manta,0.322353,0.429394,0.367451,0.015758,25,96.0
6,"Ecuador, South America",0.347843,0.448485,0.315686,0.013333,26,95.0
6,"In accordance with the authorization and wn he Ng ther Bagg, Se wen",0.262745,0.482424,0.534902,0.020606,27,57.0
6,City of San the tine cities herd,0.379608,0.489394,0.231765,0.025455,28,74.0
6,"Cali ia, USA, and the Pablo de",0.218039,0.493333,0.287843,0.018182,29,89.0
6,"""Sister City the followerg",0.262353,0.5,0.536078,0.015152,30,78.0
6,thet a Agreement te,0.218039,0.504242,0.355294,0.010303,31,79.0
6,purposes:,0.217647,0.516364,0.056863,0.007879,32,95.0
6,ms pamper Land Goeth and the people af de Mande: mutually dad beneficial cooperation between,0.218431,0.533333,0.580392,0.022424,33,65.0
6,{2} to intermational Bors argh hig den,0.279608,0.563333,0.519608,0.04,34,45.0
6,nat,0.530196,0.570606,0.019216,0.015758,35,95.0
6,relations between  cities and their,0.218824,0.574545,0.245882,0.011818,36,68.0
6,"information tm a a poate economic,",0.218824,0.585152,0.292549,0.021818,37,48.0
6,"nal, technical, and endeavors; and",0.271373,0.593333,0.278431,0.013636,38,95.0
6,"(3) to foster and an scientific, trade and literary and",0.28,0.614848,0.519608,0.018788,39,82.0
6,weational actiwtitics between the two,0.232941,0.625455,0.212549,0.01,40,54.0
6,'cease,0.467451,0.631515,0.066275,0.025758,41,8.0
6,shail and shail,0.43451,0.640606,0.229412,0.016667,42,83.0
6,This Sister City crecuted established troe men,0.264314,0.644848,0.535294,0.03,43,73.0
6,"this document has beer ee toa California, SA, and the",0.219608,0.654848,0.58,0.02,44,79.0
6,Mayor of San Pablo de Man,0.219216,0.665758,0.167843,0.012121,45,94.0
6,ress,0.543529,0.737576,0.055686,0.026667,46,13.0
6,ity of Long Beach,0.617255,0.751515,0.135294,0.012727,47,96.0
6,"California, USA",0.583529,0.766667,0.123137,0.010606,48,96.0
6,Ing. Jorge O. Zambrano deiio,0.527843,0.825152,0.241961,0.013636,49,81.0
6,"Mayor, City of San Pablo de Manta",0.505882,0.84,0.275686,0.012727,50,96.0
6,"Ecuador, South America",0.552549,0.854848,0.185882,0.010303,51,96.0
6,"Dated: September 19, 2000",0.54549,0.883939,0.201569,0.011818,52,96.0
