page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
6,1,P,0.51451,0.027879,0.536471,0.053636,96.0,,,,,,97.0
6,1,artnership,0.544314,0.024848,0.734118,0.060606,96.0,,,,,,97.0
6,1,Agreement,0.747843,0.026667,0.962745,0.060303,99.0,,,,,,97.0
6,2,SisterCities,0.168235,0.031818,0.410196,0.061818,99.0,,,,,,99.0
6,3,INTERNATIONAL,0.169804,0.064848,0.409804,0.076364,99.0,,,,,,99.0
6,4,Toolkit,0.82902,0.069091,0.962745,0.100303,99.0,,,,,,99.0
6,5,Connect,0.167843,0.084545,0.22549,0.100303,98.0,,,,,,98.0
6,5,globally,0.22549,0.084545,0.290675,0.100303,98.0,,,,,,98.0
6,5,.,0.290675,0.084545,0.298824,0.100303,98.0,,,,,,98.0
6,5,Thrive,0.298824,0.084545,0.34902,0.100303,98.0,,,,,,98.0
6,5,locally,0.34902,0.084545,0.402892,0.100303,98.0,,,,,,98.0
6,5,.,0.402892,0.084545,0.410588,0.100303,98.0,,,,,,98.0
6,6,Cit,0.39098,0.200909,0.488235,0.256667,92.0,,,,,,92.0
6,7,of,0.508235,0.21,0.552549,0.26,92.0,,,,,,92.0
6,7,Beach,0.702745,0.21,0.863137,0.26,92.0,,,,,,92.0
6,8,Lona,0.552549,0.221515,0.689412,0.27,92.0,,,,,,92.0
6,9,California,0.553725,0.257576,0.687451,0.285758,99.0,,,,,,99.0
6,10,Sister,0.320392,0.307879,0.417647,0.330303,95.0,,,,,,95.0
6,10,Lity,0.431373,0.306667,0.503922,0.339091,95.0,,,,,,95.0
6,10,Agreement,0.51451,0.307879,0.698824,0.339091,95.0,,,,,,95.0
6,11,between,0.464706,0.350909,0.525098,0.362727,99.0,,,,,,99.0
6,11,the,0.525098,0.350909,0.54902,0.362727,99.0,,,,,,99.0
6,12,City,0.378431,0.375758,0.447843,0.393939,99.0,,,,,,99.0
6,12,of,0.447843,0.375758,0.486667,0.393939,99.0,,,,,,99.0
6,12,Long,0.486667,0.375758,0.556078,0.393939,99.0,,,,,,99.0
6,12,Beach,0.556078,0.375758,0.633333,0.393939,99.0,,,,,,99.0
6,13,California,0.399216,0.396061,0.552513,0.411818,99.0,,,,,,99.0
6,13,",",0.552513,0.396061,0.567843,0.411818,99.0,,,,,,99.0
6,13,USA,0.567843,0.396061,0.611765,0.411818,99.0,,,,,,99.0
