page,text,left,top,width,height,line,conf
6,Partnership Agreement,0.513333,0.026061,0.447451,0.032121,1,100.0
6,SisterCities,0.168235,0.032121,0.243137,0.030909,2,100.0
6,INTERNATIONAL,0.168235,0.06303,0.243137,0.012121,3,100.0
6,Toolkit,0.825882,0.06697,0.135294,0.03303,4,100.0
6,Connect globally. Thrive locally.,0.168235,0.083939,0.242745,0.01303,5,100.0
6,City,0.388235,0.200909,0.100392,0.052424,6,100.0
6,Long Beach,0.561176,0.207879,0.30549,0.037879,7,100.0
6,of,0.508235,0.221515,0.043529,0.031818,8,100.0
6,California,0.54549,0.253333,0.14,0.03,9,100.0
6,Sister City Agreement,0.323922,0.306364,0.376863,0.029091,10,100.0
6,between the,0.466275,0.347273,0.086667,0.015152,11,100.0
6,City of Long Beach,0.375294,0.373333,0.256863,0.01697,12,100.0
6,"California, USA",0.395294,0.391515,0.217647,0.016061,13,100.0
6,and the,0.482353,0.410303,0.055686,0.01303,14,100.0
6,City of San Pablo de Manta,0.318431,0.424545,0.374902,0.017879,15,100.0
6,"Ecuador, South America",0.343529,0.443333,0.322745,0.01697,16,100.0
6,"In accordance with the authorization and approval expressed by the City of Long Beach,",0.245098,0.478485,0.555294,0.013939,17,100.0
6,"California, USA, and the City of San Pablo de Manta, Ecuador, South America, it is declared",0.245098,0.492424,0.555294,0.01303,18,100.0
6,"that a ""Sister City Agreement"" between the two cities is hereby established for the following",0.245098,0.505455,0.555294,0.01303,19,100.0
6,purposes:,0.245098,0.518485,0.555686,0.01303,20,100.0
6,(1) to promote and expand the effective and mutually beneficial cooperation between,0.245098,0.531515,0.555294,0.01303,21,100.0
6,the people of Long Beach and the people of San Pablo de Manta; and,0.245098,0.544545,0.555294,0.01303,22,100.0
6,"(2) to promote international goodwill, understanding, and expanded business",0.245098,0.557576,0.555294,0.01303,23,100.0
6,"relations between the two cities and their respective nations by the exchange of people, ideas, and",0.245098,0.570606,0.555294,0.01303,24,100.0
6,"information in a wide variety of economic, social, cultural, municipal, environmental,",0.245098,0.583636,0.555294,0.01303,25,100.0
6,"professional, technical, youth, and other endeavors; and",0.245098,0.596667,0.304314,0.008485,26,100.0
6,"(3) to foster and encourage charitable, scientific, trade and commerce, literary and",0.245098,0.609697,0.555294,0.01303,27,100.0
6,educational activities between the two cities:,0.245098,0.622727,0.555294,0.01303,28,100.0
6,This Sister City Agreement shall be officially established and shall become effective when,0.245098,0.635758,0.555294,0.01303,29,100.0
6,"this document has been duly executed by the Mayor of Long Beach, California, USA, and the",0.245098,0.648788,0.555294,0.01303,30,100.0
6,"Mayor of San Pablo de Mania, Ecuador, South America.",0.245098,0.661515,0.555294,0.01303,31,100.0
6,Beverly O'Neill,0.58549,0.703636,0.127843,0.016061,32,100.0
6,"Mayor, City of Long Beach",0.538431,0.719697,0.217647,0.013939,33,100.0
6,"California, USA",0.58549,0.733636,0.127843,0.013939,34,100.0
6,Ing. Jorge O. Zambrano Cedeo,0.508627,0.800909,0.278039,0.015152,35,100.0
6,"Mayor, City of San Pablo de Manta",0.508627,0.815758,0.278039,0.013939,36,100.0
6,"Ecuador, South America",0.508627,0.829697,0.278039,0.013939,37,100.0
6,"Dated: September 19, 2000",0.508627,0.843939,0.247843,0.013939,38,100.0
