page,text,left,top,width,height,line,conf
1,SURPRISE AND OUICK ACTION.,0.286111,0.012887,0.422222,0.030928,1,89.0
1,Mitlsd atas: kisr,0.0375,0.061856,0.606944,0.043814,2,68.0
1,"Thre pronga, altaer iny at light.",0.284722,0.078608,0.426389,0.021907,3,77.0
1,FiOR bOG BRIDGEHEAD Ai REINE,0.277778,0.118557,0.480556,0.027062,4,75.0
1,AssA uLi surne and otanpy ulth of lnd fais,0.277778,0.164948,0.636111,0.027062,5,66.0
1,pendinsula with wan prtia o 1sland.,0.273611,0.203608,0.538889,0.033505,6,73.0
1,DSSTROY aUl COnMUNICATiONS celephNE W et,0.263889,0.238402,0.6875,0.046392,7,70.0
1,and otlypy PosT 5PFICE,0.263889,0.28866,0.376389,0.029639,8,76.0
1,Spread ons witk bridgheaa anl tenpy ls,0.265278,0.323454,0.583333,0.03866,9,70.0
1,SECOND PRoNe Ar Suen to Cur lind Comumcati al,0.254167,0.369845,0.719444,0.043814,10,72.0
1,EMU POINI,0.848611,0.398196,0.134722,0.032216,11,86.0
1,ANDo to inain land.,0.444444,0.421392,0.277778,0.030928,12,76.0
1,(rm,0.340278,0.438144,0.0625,0.021907,13,76.0
1,THIRD PRoNG To tae wuriles otalia and ligulto,0.255556,0.456186,0.711111,0.055412,14,79.0
1,Iuilion and pones statin ba,0.291667,0.511598,0.652778,0.041237,15,74.0
1,slages Ct al diotiy,0.390278,0.528351,0.322222,0.032216,16,74.0
1,"PANDAR - ANDO - REINE Lh pUWNK,",0.277778,0.551546,0.622222,0.048969,17,80.0
1,vse oit Mfinenis et.,0.434722,0.596649,0.293056,0.041237,18,73.0
1,AT anf WRELEL jnlher STATION. df LIGSTHOUSE CEMplCE SUME,0.269444,0.614691,0.704167,0.069588,19,70.0
1,RESISTAOCE :,0.0375,0.636598,0.163889,0.050258,20,72.0
1,GERMANS AT REINE MT aNARE SLIGHT NDiS lUC,0.269444,0.67268,0.688889,0.051546,21,70.0
1,9 AGES oF ENENy 16 ts 45.,0.427778,0.708763,0.486111,0.04768,22,76.0
1,QUiSUNG orb Sum. FRIGHIENED. ONE ESCAIEO CAPISRED,0.269444,0.740979,0.665278,0.065722,23,83.0
1,CHEST GHGH IN FREE2IN'G WATER,0.284722,0.795103,0.501389,0.051546,24,83.0
1,PopvATisn Fok in fo Sermlus the Ancian,0.276389,0.833763,0.616667,0.05799,25,68.0
1,Oy BRrTISH.,0.281944,0.877577,0.404167,0.056701,26,62.0
1,ca ar IR!SH trucl.,0.4625,0.89433,0.368056,0.027062,27,62.0
1,Olocrip im d. Nomolg ling,0.276389,0.926546,0.320833,0.045103,28,70.0
