page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.286111,0.012887,0.431944,0.043814,89.0,,,,,,89.0
1,1,AND,0.431944,0.012887,0.493056,0.043814,89.0,,,,,,89.0
1,1,OUICK,0.493056,0.012887,0.5875,0.043814,89.0,,,,,,89.0
1,1,ACTION,0.5875,0.012887,0.691071,0.043814,89.0,,,,,,89.0
1,1,.,0.691071,0.012887,0.708333,0.043814,89.0,,,,,,89.0
1,2,Mitlsd,0.0375,0.061856,0.143056,0.10567,64.0,,,,,,68.0
1,2,atas,0.143056,0.061856,0.2075,0.10567,64.0,,,,,,68.0
1,2,:,0.2075,0.061856,0.223611,0.10567,64.0,,,,,,68.0
1,2,kisr,0.605556,0.076031,0.644444,0.100515,77.0,,,,,,68.0
1,3,Thre,0.284722,0.083763,0.322222,0.096649,77.0,,,,,,77.0
1,3,pronga,0.341667,0.078608,0.402381,0.100515,77.0,,,,,,77.0
1,3,",",0.402381,0.078608,0.4125,0.100515,77.0,,,,,,77.0
1,3,altaer,0.438889,0.081186,0.5,0.096649,77.0,,,,,,77.0
1,3,iny,0.508333,0.085052,0.536111,0.100515,77.0,,,,,,77.0
1,3,at,0.555556,0.081186,0.579167,0.095361,77.0,,,,,,77.0
1,3,light,0.666667,0.079897,0.703704,0.100515,77.0,,,,,,77.0
1,3,.,0.703704,0.079897,0.711111,0.100515,77.0,,,,,,77.0
1,4,FiOR,0.277778,0.125,0.322222,0.143041,75.0,,,,,,75.0
1,4,bOG,0.341667,0.127577,0.393056,0.145619,75.0,,,,,,75.0
1,4,BRIDGEHEAD,0.443056,0.121134,0.588889,0.145619,75.0,,,,,,75.0
1,4,Ai,0.625,0.130155,0.656944,0.143041,75.0,,,,,,75.0
1,4,REINE,0.688889,0.118557,0.758333,0.143041,75.0,,,,,,75.0
1,5,AssA,0.277778,0.164948,0.343056,0.185567,66.0,,,,,,66.0
1,5,uLi,0.354167,0.167526,0.384722,0.185567,66.0,,,,,,66.0
1,5,surne,0.420833,0.171392,0.490278,0.190722,66.0,,,,,,66.0
1,5,and,0.523611,0.168814,0.565278,0.184278,66.0,,,,,,66.0
1,5,otanpy,0.593056,0.168814,0.659722,0.19201,66.0,,,,,,66.0
1,5,ulth,0.694444,0.166237,0.736111,0.184278,66.0,,,,,,66.0
1,5,of,0.751389,0.168814,0.769444,0.19201,66.0,,,,,,66.0
1,5,lnd,0.788889,0.168814,0.834722,0.181701,66.0,,,,,,66.0
1,5,fais,0.866667,0.166237,0.913889,0.190722,66.0,,,,,,66.0
1,6,pendinsula,0.273611,0.203608,0.395833,0.233247,73.0,,,,,,73.0
1,6,with,0.430556,0.208763,0.476389,0.229381,73.0,,,,,,73.0
1,6,wan,0.505556,0.215206,0.559722,0.229381,73.0,,,,,,73.0
1,6,prtia,0.593056,0.215206,0.656944,0.237113,73.0,,,,,,73.0
1,6,o,0.679167,0.216495,0.701389,0.237113,73.0,,,,,,73.0
1,6,1sland,0.731944,0.213918,0.800992,0.23067,73.0,,,,,,73.0
1,6,.,0.800992,0.213918,0.8125,0.23067,73.0,,,,,,73.0
1,7,DSSTROY,0.263889,0.238402,0.401389,0.284794,70.0,,,,,,70.0
1,7,aUl,0.401389,0.238402,0.465278,0.284794,70.0,,,,,,70.0
1,7,COnMUNICATiONS,0.465278,0.238402,0.731944,0.284794,70.0,,,,,,70.0
1,7,celephNE,0.731944,0.238402,0.8875,0.284794,70.0,,,,,,70.0
1,7,W,0.8875,0.238402,0.915278,0.284794,70.0,,,,,,70.0
