page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.286111,0.012887,0.422222,0.030928,1,100.0
1,"Method of attack: Three pronged, attacking at kiss light.",0.0375,0.061856,0.676389,0.043814,2,100.0
1,For long BRIDGEHEAD AT REINE,0.277778,0.118557,0.480556,0.027062,3,100.0
1,ASSAULT march and occupy sector of land going,0.272222,0.150773,0.640278,0.041237,4,100.0
1,plusinSula with main portion of Island.,0.265278,0.194588,0.545833,0.042526,5,100.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.263889,0.238402,0.6875,0.046392,6,100.0
1,and occupy Post Office,0.263889,0.28866,0.376389,0.029639,7,100.0
1,Spread out with brightness and empty form.,0.265278,0.323454,0.583333,0.03866,8,100.0
1,SECOND PRONG As Soon as any line of communication at,0.254167,0.369845,0.719444,0.043814,9,100.0
1,emu point,0.848611,0.398196,0.134722,0.032216,10,100.0
1,ANDO to main land.,0.444444,0.421392,0.277778,0.030928,11,100.0
1,from,0.340278,0.438144,0.0625,0.021907,12,100.0
1,THIRD PROVNG. To take wireless station and lighttow,0.255556,0.456186,0.711111,0.055412,13,100.0
1,1 million stages Cut off and destroy power station kew,0.266667,0.506443,0.676389,0.054124,14,100.0
1,"PANDAR - ANPO - REINE des prisme,",0.277778,0.551546,0.622222,0.048969,15,100.0
1,use oil refineries etc.,0.434722,0.596649,0.293056,0.041237,16,100.0
1,AT any WIRELESS further STATION. of LIGHTHOUSE Completed Surplus,0.269444,0.614691,0.704167,0.069588,17,100.0
1,resistance:,0.0375,0.636598,0.165278,0.050258,18,100.0
1,germans at reine not aware slight resistance,0.269444,0.67268,0.688889,0.051546,19,100.0
1,AGES OF ENEMY 16 to 45.,0.427778,0.708763,0.486111,0.04768,20,100.0
1,FRIGHTENED. och Stamm. ONE ESCAPED CAPTURED,0.269444,0.733247,0.665278,0.073454,21,100.0
1,CHEST WHICH IN FREEZING WATER,0.284722,0.795103,0.501389,0.051546,22,100.0
1,POPULATION Took 60 for Germans the Americans,0.276389,0.833763,0.616667,0.05799,23,100.0
1,POPULATION Owing to as British. Irish bred.,0.275,0.877577,0.554167,0.056701,24,100.0
1,Description of. Novocaine,0.276389,0.926546,0.320833,0.045103,25,100.0
