page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.277778,0.018041,0.433333,0.029639,1,100.0
1,"Three pronged, attacking at first light.",0.268056,0.06701,0.459722,0.036082,2,100.0
1,First prong. BRIDGEHEAD AT REINE,0.276389,0.118557,0.477778,0.029639,3,100.0
1,ASSAULT inland and occupy neck of land joining,0.268056,0.152062,0.645833,0.04768,4,100.0
1,peninsula with main portion of Island.,0.268056,0.198454,0.443056,0.042526,5,100.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.268056,0.239691,0.686111,0.042526,6,100.0
1,and occupy POST OFFICE,0.268056,0.283505,0.375,0.042526,7,100.0
1,Spread out with bridgehead and occupy town,0.268056,0.324742,0.569444,0.042526,8,100.0
1,SECOND PRONG At Summ to cut line of communications at,0.252778,0.376289,0.475,0.036082,9,100.0
1,EMO POINT,0.845833,0.396907,0.145833,0.029639,10,100.0
1,(from ANDO to main land),0.330556,0.425258,0.397222,0.032216,11,100.0
1,THIRD PRONG To take wireless station and lighthouse,0.2625,0.476804,0.716667,0.036082,12,100.0
1,Initial stages Cut off and destroy power station between,0.268056,0.518041,0.673611,0.036082,13,100.0
1,"PANDAR - ANDO - REINE this plant,",0.268056,0.559278,0.633333,0.036082,14,100.0
1,any further use of oil refineries etc.,0.268056,0.601804,0.459722,0.042526,15,100.0
1,AT WIRELESS STATION. LIGHTHOUSE completely Surprised,0.268056,0.64433,0.709722,0.036082,16,100.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.268056,0.686856,0.686111,0.036082,17,100.0
1,at Summ. AGES OF ENEMY 16 to 45.,0.268056,0.728093,0.645833,0.036082,18,100.0
1,Quislings FRIGHTENED. ONE ESCAPED CAPTURED,0.268056,0.76933,0.666667,0.036082,19,100.0
1,CHEST HIGH IN FREEZING WATER,0.268056,0.811856,0.523611,0.036082,20,100.0
1,POPULATION TALK was for Germans the Americans,0.268056,0.854381,0.626389,0.036082,21,100.0
1,outgrea at BRITISH. IRISH brod.,0.268056,0.895619,0.5625,0.036082,22,100.0
1,Description of Norwegian,0.268056,0.936856,0.326389,0.036082,23,100.0
