page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.277778,0.018041,0.427778,0.04768,100.0,,,,,,100.0
1,1,AND,0.427778,0.018041,0.490278,0.04768,100.0,,,,,,100.0
1,1,QUICK,0.490278,0.018041,0.5875,0.04768,100.0,,,,,,100.0
1,1,ACTION,0.5875,0.018041,0.693452,0.04768,100.0,,,,,,100.0
1,1,.,0.693452,0.018041,0.711111,0.04768,100.0,,,,,,100.0
1,2,Three,0.268056,0.06701,0.334722,0.103093,100.0,,,,,,100.0
1,2,pronged,0.334722,0.06701,0.425868,0.103093,100.0,,,,,,100.0
1,2,",",0.425868,0.06701,0.438889,0.103093,100.0,,,,,,100.0
1,2,attacking,0.438889,0.06701,0.556944,0.103093,100.0,,,,,,100.0
1,2,at,0.556944,0.06701,0.5875,0.103093,100.0,,,,,,100.0
1,2,first,0.5875,0.06701,0.654167,0.103093,100.0,,,,,,100.0
1,2,light,0.654167,0.06701,0.715509,0.103093,100.0,,,,,,100.0
1,2,.,0.715509,0.06701,0.727778,0.103093,100.0,,,,,,100.0
1,3,First,0.276389,0.125,0.393056,0.148196,100.0,,,,,,100.0
1,3,prong,0.441667,0.121134,0.52037,0.145619,100.0,,,,,,100.0
1,3,.,0.52037,0.121134,0.536111,0.145619,100.0,,,,,,100.0
1,3,BRIDGEHEAD,0.541667,0.126289,0.5875,0.14433,100.0,,,,,,100.0
1,3,AT,0.623611,0.127577,0.655556,0.143041,100.0,,,,,,100.0
1,3,REINE,0.6875,0.118557,0.754167,0.143041,100.0,,,,,,100.0
1,4,ASSAULT,0.268056,0.152062,0.381944,0.199742,100.0,,,,,,100.0
1,4,inland,0.381944,0.152062,0.480556,0.199742,100.0,,,,,,100.0
1,4,and,0.480556,0.152062,0.533333,0.199742,100.0,,,,,,100.0
1,4,occupy,0.533333,0.152062,0.633333,0.199742,100.0,,,,,,100.0
1,4,neck,0.633333,0.152062,0.701389,0.199742,100.0,,,,,,100.0
1,4,of,0.701389,0.152062,0.738889,0.199742,100.0,,,,,,100.0
1,4,land,0.738889,0.152062,0.811111,0.199742,100.0,,,,,,100.0
1,4,joining,0.811111,0.152062,0.913889,0.199742,100.0,,,,,,100.0
1,5,peninsula,0.268056,0.198454,0.386111,0.240979,100.0,,,,,,100.0
1,5,with,0.386111,0.198454,0.443056,0.240979,100.0,,,,,,100.0
1,5,main,0.443056,0.198454,0.498611,0.240979,100.0,,,,,,100.0
1,5,portion,0.498611,0.198454,0.593056,0.240979,100.0,,,,,,100.0
1,5,of,0.593056,0.198454,0.623611,0.240979,100.0,,,,,,100.0
1,5,Island,0.623611,0.198454,0.698611,0.240979,100.0,,,,,,100.0
1,5,.,0.698611,0.198454,0.711111,0.240979,100.0,,,,,,100.0
1,6,DESTROY,0.268056,0.239691,0.383333,0.282216,100.0,,,,,,100.0
1,6,all,0.383333,0.239691,0.4375,0.282216,100.0,,,,,,100.0
1,6,COMMUNICATIONS,0.4375,0.239691,0.660463,0.282216,100.0,,,,,,100.0
1,6,",",0.660463,0.239691,0.676389,0.282216,100.0,,,,,,100.0
1,6,telephone,0.676389,0.239691,0.823611,0.282216,100.0,,,,,,100.0
1,6,wires,0.823611,0.239691,0.908333,0.282216,100.0,,,,,,100.0
1,6,etc,0.908333,0.239691,0.954167,0.282216,100.0,,,,,,100.0
1,7,and,0.268056,0.283505,0.423611,0.326031,100.0,,,,,,100.0
1,7,occupy,0.430556,0.286082,0.470833,0.310567,100.0,,,,,,100.0
1,7,POST,0.470833,0.286082,0.555556,0.313144,100.0,,,,,,100.0
1,7,OFFICE,0.555556,0.283505,0.643056,0.326031,100.0,,,,,,100.0
1,8,Spread,0.268056,0.324742,0.3625,0.367268,100.0,,,,,,100.0
1,8,out,0.3625,0.324742,0.413889,0.367268,100.0,,,,,,100.0
1,8,with,0.413889,0.324742,0.483333,0.367268,100.0,,,,,,100.0
1,8,bridgehead,0.483333,0.324742,0.633333,0.367268,100.0,,,,,,100.0
1,8,and,0.633333,0.324742,0.684722,0.367268,100.0,,,,,,100.0
1,8,occupy,0.684722,0.324742,0.779167,0.367268,100.0,,,,,,100.0
1,8,town,0.779167,0.324742,0.8375,0.367268,100.0,,,,,,100.0
1,9,SECOND,0.252778,0.376289,0.315278,0.412371,100.0,,,,,,100.0
1,9,PRONG,0.315278,0.376289,0.369444,0.412371,100.0,,,,,,100.0
1,9,At,0.369444,0.376289,0.394444,0.412371,100.0,,,,,,100.0
1,9,Summ,0.394444,0.376289,0.438889,0.412371,100.0,,,,,,100.0
1,9,to,0.438889,0.376289,0.463889,0.412371,100.0,,,,,,100.0
1,9,cut,0.463889,0.376289,0.497222,0.412371,100.0,,,,,,100.0
1,9,line,0.497222,0.376289,0.543056,0.412371,100.0,,,,,,100.0
1,9,of,0.543056,0.376289,0.566667,0.412371,100.0,,,,,,100.0
1,9,communications,0.566667,0.376289,0.708333,0.412371,100.0,,,,,,100.0
1,9,at,0.708333,0.376289,0.727778,0.412371,100.0,,,,,,100.0
1,10,EMO,0.845833,0.396907,0.976389,0.426546,100.0,,,,,,100.0
1,10,POINT,0.981944,0.399485,0.991667,0.421392,100.0,,,,,,100.0
1,11,(,0.330556,0.425258,0.350278,0.457474,100.0,,,,,,100.0
1,11,from,0.350278,0.425258,0.429167,0.457474,100.0,,,,,,100.0
1,11,ANDO,0.429167,0.425258,0.511111,0.457474,100.0,,,,,,100.0
1,11,to,0.511111,0.425258,0.556944,0.457474,100.0,,,,,,100.0
1,11,main,0.556944,0.425258,0.6375,0.457474,100.0,,,,,,100.0
1,11,land,0.6375,0.425258,0.709722,0.457474,100.0,,,,,,100.0
1,11,),0.709722,0.425258,0.727778,0.457474,100.0,,,,,,100.0
1,12,THIRD,0.2625,0.476804,0.356944,0.512887,100.0,,,,,,100.0
