page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.280556,0.016753,0.430556,0.029639,1,100.0
1,"Method of attack: Three prongs, attacking at first light.",0.041667,0.06701,0.683333,0.045103,2,100.0
1,First prong. BRIDGEHEAD AT REINE,0.265278,0.109536,0.495833,0.039948,3,100.0
1,ASSAULT march and occupy north of land joining,0.265278,0.152062,0.651389,0.051546,4,100.0
1,peninsula with main portion of Island.,0.265278,0.197165,0.530556,0.04768,5,100.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.265278,0.239691,0.691667,0.045103,6,100.0
1,and occupy POST OFFICE,0.265278,0.284794,0.376389,0.039948,7,100.0
1,Spread out with bridgehead and occupy from,0.265278,0.324742,0.580556,0.045103,8,100.0
1,SECOND PRONG At Summ to cut line of Communications at,0.252778,0.377577,0.740278,0.039948,9,100.0
1,EMO POINT,0.847222,0.396907,0.145833,0.029639,10,100.0
1,from ANDO to main land.,0.327778,0.427835,0.402778,0.029639,11,100.0
1,THIRD PRONG To take wireless station and lighthouse,0.255556,0.478093,0.720833,0.039948,12,100.0
1,Initial stages Cut off and destroy power station between,0.265278,0.518041,0.677778,0.039948,13,100.0
1,"PANDAR - ANDO - REINE these points,",0.275,0.55799,0.620833,0.039948,14,100.0
1,any further use of oil refineries etc.,0.265278,0.597938,0.470833,0.045103,15,100.0
1,AT WIRELESS STATION. LIGHTHOUSE completely Surprised,0.265278,0.643041,0.711111,0.039948,16,100.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.276389,0.68299,0.681944,0.039948,17,100.0
1,at Summ. AGES OF ENEMY 16 to 45.,0.275,0.722938,0.656944,0.039948,18,100.0
1,Quislings FRIGHTENED. ONE ESCAPED CAPTURED,0.265278,0.762887,0.666667,0.039948,19,100.0
1,CHEST HIGH IN FREEZING WATER,0.280556,0.802835,0.505556,0.039948,20,100.0
1,POPULATION Tribe is for Germans the Americans,0.265278,0.842784,0.626389,0.039948,21,100.0
1,overseas at BRITISH. IRISH Encl.,0.265278,0.882732,0.566667,0.039948,22,100.0
1,Description of Norwegian,0.275,0.92268,0.326389,0.039948,23,100.0
