page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.280556,0.016753,0.429167,0.046392,100.0,,,,,,100.0
1,1,AND,0.429167,0.016753,0.491667,0.046392,100.0,,,,,,100.0
1,1,QUICK,0.491667,0.016753,0.588889,0.046392,100.0,,,,,,100.0
1,1,ACTION,0.588889,0.016753,0.693651,0.046392,100.0,,,,,,100.0
1,1,.,0.693651,0.016753,0.711111,0.046392,100.0,,,,,,100.0
1,2,Method,0.041667,0.069588,0.113889,0.112113,100.0,,,,,,100.0
1,2,of,0.113889,0.069588,0.141667,0.112113,100.0,,,,,,100.0
1,2,attack,0.141667,0.069588,0.208333,0.112113,100.0,,,,,,100.0
1,2,:,0.208333,0.069588,0.219444,0.112113,100.0,,,,,,100.0
1,2,Three,0.265278,0.06701,0.334722,0.10567,100.0,,,,,,100.0
1,2,prongs,0.334722,0.06701,0.415675,0.10567,100.0,,,,,,100.0
1,2,",",0.415675,0.06701,0.429167,0.10567,100.0,,,,,,100.0
1,2,attacking,0.429167,0.06701,0.548611,0.10567,100.0,,,,,,100.0
1,2,at,0.548611,0.06701,0.580556,0.10567,100.0,,,,,,100.0
1,2,first,0.580556,0.06701,0.65,0.10567,100.0,,,,,,100.0
1,2,light,0.65,0.06701,0.7125,0.10567,100.0,,,,,,100.0
1,2,.,0.7125,0.06701,0.725,0.10567,100.0,,,,,,100.0
1,3,First,0.265278,0.109536,0.355556,0.149485,100.0,,,,,,100.0
1,3,prong,0.355556,0.109536,0.445833,0.149485,100.0,,,,,,100.0
1,3,.,0.445833,0.109536,0.463889,0.149485,100.0,,,,,,100.0
1,3,BRIDGEHEAD,0.463889,0.109536,0.6375,0.149485,100.0,,,,,,100.0
1,3,AT,0.6375,0.109536,0.679167,0.149485,100.0,,,,,,100.0
1,3,REINE,0.679167,0.109536,0.761111,0.149485,100.0,,,,,,100.0
1,4,ASSAULT,0.265278,0.152062,0.379167,0.203608,100.0,,,,,,100.0
1,4,march,0.379167,0.152062,0.463889,0.203608,100.0,,,,,,100.0
1,4,and,0.463889,0.152062,0.518056,0.203608,100.0,,,,,,100.0
1,4,occupy,0.518056,0.152062,0.618056,0.203608,100.0,,,,,,100.0
1,4,north,0.618056,0.152062,0.702778,0.203608,100.0,,,,,,100.0
1,4,of,0.702778,0.152062,0.740278,0.203608,100.0,,,,,,100.0
1,4,land,0.740278,0.152062,0.809722,0.203608,100.0,,,,,,100.0
1,4,joining,0.809722,0.152062,0.916667,0.203608,100.0,,,,,,100.0
1,5,peninsula,0.265278,0.197165,0.406944,0.244845,100.0,,,,,,100.0
1,5,with,0.406944,0.197165,0.475,0.244845,100.0,,,,,,100.0
1,5,main,0.475,0.197165,0.545833,0.244845,100.0,,,,,,100.0
1,5,portion,0.545833,0.197165,0.656944,0.244845,100.0,,,,,,100.0
1,5,of,0.656944,0.197165,0.691667,0.244845,100.0,,,,,,100.0
1,5,Island,0.691667,0.197165,0.780952,0.244845,100.0,,,,,,100.0
1,5,.,0.780952,0.197165,0.795833,0.244845,100.0,,,,,,100.0
1,6,DESTROY,0.265278,0.239691,0.381944,0.284794,100.0,,,,,,100.0
1,6,all,0.381944,0.239691,0.436111,0.284794,100.0,,,,,,100.0
1,6,COMMUNICATIONS,0.436111,0.239691,0.661667,0.284794,100.0,,,,,,100.0
1,6,",",0.661667,0.239691,0.677778,0.284794,100.0,,,,,,100.0
