page,text,left,top,width,height,line,conf
1,Curriculum Vitae,0.320968,0.014534,0.291532,0.025363,1,99.0
1,PROFILE,0.325806,0.081505,0.076613,0.009974,2,99.0
1,Conscientious and ambitious Psychology and Business Graduate with experience in Human,0.322581,0.108578,0.653226,0.008834,3,99.0
1,Resources. Highly skilled at giving presentations in a professional setting. Looking for HR,0.323387,0.124537,0.654435,0.010259,4,98.0
1,Assistant role that utilises strong interpersonal skills and opportunity to take on high levels of,0.321774,0.140496,0.655242,0.010259,5,99.0
1,responsibility. Preferably looking for a role at an NGO or company with high ethical values.,0.320565,0.154745,0.614919,0.011969,6,99.0
1,PERSONAL,0.024597,0.165859,0.097177,0.010829,7,99.0
1,Name,0.023387,0.187803,0.043952,0.011114,8,99.0
1,WORK EXPERIENCE,0.325403,0.195212,0.171774,0.009404,9,99.0
1,Paul Smith,0.024597,0.203477,0.074194,0.009974,10,99.0
1,Address,0.023387,0.22599,0.058065,0.009689,11,99.0
1,Jan 2019 - Aug 2019 HR Assistant,0.347581,0.23625,0.251613,0.009119,12,98.0
1,Bath Road 8,0.026613,0.242234,0.081048,0.008264,13,96.0
1,"McDonalds, London",0.505242,0.250214,0.134677,0.009404,14,99.0
1,BA1 4RD Bath,0.025,0.256198,0.092339,0.009689,15,99.0
1,Co-ordinated an employee satisfaction survey aimed at,0.52379,0.271587,0.377823,0.008834,16,98.0
1,Phone number,0.025,0.279567,0.104435,0.008264,17,99.0
1,identifying areas of staff discontent.,0.52379,0.286691,0.243548,0.009689,18,98.0
1,0622334455,0.024597,0.293816,0.081855,0.009689,19,98.0
1,"Supported various team members to carry out research, analyse",0.524194,0.303505,0.436694,0.009689,20,99.0
1,Email,0.024194,0.31519,0.041935,0.010259,21,99.0
1,data and make recommendations to senior personnel.,0.52379,0.319749,0.370161,0.008549,22,99.0
1,voorbeeld@hotmail.com,0.02379,0.330009,0.171371,0.011399,23,99.0
1,Self-confidence increased as a result of gaining own areas of,0.523387,0.335708,0.4125,0.009119,24,99.0
1,responsibility and by giving presentations to senior staff members,0.52621,0.351667,0.447177,0.009404,25,98.0
1,SKILLS,0.024194,0.364491,0.064516,0.011114,26,99.0
1,at meetings.,0.525,0.368196,0.083065,0.008834,27,99.0
1,Presenting Assisted with general administrative duties and dealt with HR,0.023387,0.38273,0.916935,0.016244,28,99.0
1,"related queries, including payroll and staff contracts.",0.523387,0.398404,0.359677,0.010829,29,97.0
1,Communicating,0.023387,0.408093,0.115323,0.012824,30,100.0
1,Developed basic understanding of the essentials of employment,0.52621,0.415788,0.435484,0.008834,31,99.0
1,Organizing law and HR practice.,0.022984,0.430322,0.639919,0.013679,32,99.0
1,Collaborating,0.023387,0.453121,0.099194,0.012539,33,99.0
1,Jun 2018 - Dec 2018 Coordinator Assistant (voluntary),0.345565,0.461385,0.410081,0.010259,34,99.0
1,"Remploy, Bristol",0.504839,0.477344,0.114113,0.009119,35,98.0
1,INTERESTS,0.02379,0.487603,0.101613,0.010829,36,99.0
1,"Britain's largest employer of people with disabilities, and supporting",0.503629,0.496438,0.470161,0.011114,37,98.0
1,"International business matters, Politics, sustainable employment.",0.027016,0.512967,0.649597,0.009689,38,98.0
1,"Voluntary work Managing the paperwork for new Volunteers, including screening",0.025806,0.529781,0.940323,0.011114,39,99.0
1,of applications for shortlisting and recording personal contact,0.52379,0.54574,0.422984,0.009404,40,99.0
1,details on Microsoft Access database.,0.52379,0.561983,0.254032,0.008264,41,97.0
1,LANGUAGES,0.024597,0.565973,0.110484,0.010544,42,95.0
1,"Learnt how to communicate in a professional manner via email,",0.52621,0.577942,0.430242,0.009119,43,99.0
1,English,0.024194,0.587347,0.053226,0.012254,44,99.0
1,telephone and letter.,0.523387,0.593901,0.140323,0.008549,45,99.0
1,French,0.024194,0.60986,0.050806,0.011399,46,99.0
1,EXTRACURRICULAR ACTIVITY,0.325806,0.623254,0.262097,0.009404,47,98.0
1,German,0.023387,0.632659,0.058468,0.010829,48,99.0
1,Sep 2016 - Jun 2019 Board Member,0.345161,0.663152,0.270161,0.010544,49,97.0
1,"University Business Club, Bristol",0.505645,0.679396,0.219758,0.009404,50,99.0
1,Winner of the 'Bucks Best Business Pitch' award in 2017 Enterprise,0.503629,0.69849,0.471371,0.010259,51,97.0
1,"week, developing confidence in public speaking and presentation",0.503629,0.715873,0.471371,0.008834,52,98.0
1,skills.,0.502016,0.729838,0.041532,0.011399,53,99.0
1,EDUCATION AND QUALIFICATIONS,0.325,0.760901,0.308065,0.011399,54,99.0
1,Sep 2015 - Jun 2019 BA Psychology with Business and Management,0.345161,0.801083,0.512097,0.010544,55,98.0
1,"Bristol University, Bristol",0.505242,0.816472,0.169355,0.009689,56,99.0
1,Industrial Relations,0.524194,0.838131,0.141935,0.007979,57,99.0
1,Personal and Social Development,0.525806,0.854374,0.239919,0.008549,58,99.0
1,Dissertation,0.524194,0.867769,0.087903,0.010544,59,99.0
1,Sep 2008 - Jun 2015 Secondary School and Sixth Form,0.345565,0.899402,0.41129,0.009689,60,98.0
1,"St. George, Bristol",0.504435,0.915361,0.12379,0.008834,61,99.0
1,REFERENCES,0.325403,0.948988,0.117742,0.010259,62,99.0
1,References available on request.,0.320968,0.974637,0.220161,0.010544,63,99.0
