page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,Curriculum,0.320968,0.014534,0.564919,0.039897,99.0,,,,,,99.0
1,1,Vitae,0.564919,0.014534,0.6125,0.039897,99.0,,,,,,99.0
1,2,PROFILE,0.325806,0.081505,0.402419,0.091479,99.0,,,,,,99.0
1,3,Conscientious,0.322581,0.109148,0.417742,0.116842,99.0,,,,,,99.0
1,3,and,0.42621,0.108578,0.45,0.116842,99.0,,,,,,99.0
1,3,ambitious,0.458871,0.108578,0.526613,0.116842,99.0,,,,,,99.0
1,3,Psychology,0.535484,0.108578,0.61129,0.117412,99.0,,,,,,99.0
1,3,and,0.619355,0.108578,0.643145,0.116842,99.0,,,,,,99.0
1,3,Business,0.652823,0.109433,0.710887,0.116842,99.0,,,,,,99.0
1,3,Graduate,0.718952,0.108578,0.781452,0.116842,99.0,,,,,,99.0
1,3,with,0.789113,0.108578,0.817742,0.116842,99.0,,,,,,99.0
1,3,experience,0.82621,0.111143,0.899597,0.117412,99.0,,,,,,99.0
1,3,in,0.908468,0.111143,0.918952,0.116842,99.0,,,,,,99.0
1,3,Human,0.928226,0.109433,0.975806,0.116842,99.0,,,,,,99.0
1,4,Resources,0.323387,0.125392,0.387621,0.132801,98.0,,,,,,98.0
1,4,.,0.387621,0.125392,0.394758,0.132801,98.0,,,,,,98.0
1,4,Highly,0.405242,0.124537,0.446774,0.134796,98.0,,,,,,98.0
1,4,skilled,0.455645,0.124537,0.497984,0.132801,98.0,,,,,,98.0
1,4,at,0.508065,0.125677,0.520565,0.132801,98.0,,,,,,98.0
1,4,giving,0.529435,0.127102,0.569355,0.134796,98.0,,,,,,98.0
1,4,presentations,0.578629,0.125677,0.671371,0.134796,98.0,,,,,,98.0
1,4,in,0.681452,0.127102,0.691532,0.132801,98.0,,,,,,98.0
1,4,a,0.70121,0.127102,0.707258,0.132801,98.0,,,,,,98.0
1,4,professional,0.717742,0.124537,0.8,0.134796,98.0,,,,,,98.0
1,4,setting,0.809274,0.125677,0.852319,0.134796,98.0,,,,,,98.0
1,4,.,0.852319,0.125677,0.858468,0.134796,98.0,,,,,,98.0
1,4,Looking,0.868952,0.124537,0.922177,0.134796,98.0,,,,,,98.0
1,4,for,0.930645,0.124537,0.949194,0.132801,98.0,,,,,,98.0
1,4,HR,0.958871,0.125392,0.977823,0.132801,98.0,,,,,,98.0
1,5,Assistant,0.321774,0.141351,0.383065,0.14876,99.0,,,,,,99.0
1,5,role,0.389516,0.140496,0.414113,0.14876,99.0,,,,,,99.0
1,5,that,0.420161,0.140496,0.447581,0.14876,99.0,,,,,,99.0
1,5,utilises,0.453629,0.140496,0.500403,0.14876,99.0,,,,,,99.0
1,5,strong,0.506452,0.141636,0.549597,0.150755,99.0,,,,,,99.0
1,5,interpersonal,0.556048,0.140496,0.645968,0.150755,99.0,,,,,,99.0
1,5,skills,0.652016,0.140496,0.685081,0.14876,99.0,,,,,,99.0
1,5,and,0.691129,0.140496,0.715323,0.14876,99.0,,,,,,99.0
1,5,opportunity,0.722177,0.141636,0.803226,0.150755,99.0,,,,,,99.0
1,5,to,0.808468,0.141636,0.821774,0.14876,99.0,,,,,,99.0
1,5,take,0.827823,0.140496,0.856452,0.14876,99.0,,,,,,99.0
1,5,on,0.862903,0.143061,0.878629,0.14876,99.0,,,,,,99.0
1,5,high,0.885887,0.140496,0.913306,0.150755,99.0,,,,,,99.0
1,5,levels,0.920565,0.140496,0.957661,0.14876,99.0,,,,,,99.0
1,5,of,0.964113,0.140496,0.977016,0.14876,99.0,,,,,,99.0
1,6,responsibility,0.320565,0.154745,0.425188,0.166714,99.0,,,,,,99.0
1,6,.,0.425188,0.154745,0.432661,0.166714,99.0,,,,,,99.0
1,6,Preferably,0.432661,0.154745,0.508468,0.166714,99.0,,,,,,99.0
1,6,looking,0.508468,0.154745,0.562903,0.166714,99.0,,,,,,99.0
1,6,for,0.562903,0.154745,0.588306,0.166714,99.0,,,,,,99.0
1,6,a,0.588306,0.154745,0.599194,0.166714,99.0,,,,,,99.0
1,6,role,0.599194,0.154745,0.631452,0.166714,99.0,,,,,,99.0
1,6,at,0.631452,0.154745,0.649597,0.166714,99.0,,,,,,99.0
1,6,an,0.649597,0.154745,0.671371,0.166714,99.0,,,,,,99.0
1,6,NGO,0.671371,0.154745,0.694758,0.166714,99.0,,,,,,99.0
1,6,or,0.694758,0.154745,0.71129,0.166714,99.0,,,,,,99.0
1,6,company,0.71129,0.154745,0.768145,0.166714,99.0,,,,,,99.0
1,6,with,0.768145,0.154745,0.800806,0.166714,99.0,,,,,,99.0
1,6,high,0.800806,0.154745,0.830645,0.166714,99.0,,,,,,99.0
