page,text,left,top,width,height,line,conf
1,Partnership Agreement,0.517647,0.028485,0.439216,0.032121,1,96.0
1,SisterCities,0.170196,0.033939,0.238431,0.02697,2,91.0
1,INTERNATIONAL,0.172941,0.067879,0.234902,0.007273,3,26.0
1,Toolkit,0.831373,0.072727,0.126667,0.025455,4,95.0
1,Connect globally. Thrive locally.,0.170588,0.087879,0.237255,0.012121,5,90.0
1,Types of Affiliations,0.117647,0.158182,0.241176,0.019394,6,95.0
1,Sister City Relationship,0.118039,0.187576,0.196863,0.013636,7,96.0
1,"A Sister City relationship is formed when the mayor or highest elected official (or, if elections",0.117647,0.211515,0.738431,0.013333,8,95.0
1,"do not take place, highest appointed official) from a U.S. community and a community in",0.118039,0.227879,0.708235,0.01303,9,95.0
1,another country or territory sign a formal agreement on behalf of their communities endorsing a,0.118039,0.243939,0.761961,0.01303,10,96.0
1,"""sister city/sister cities"" relationship. Sister city agreements shall be considered active/valid",0.118824,0.259697,0.730196,0.013333,11,94.0
1,unless otherwise indicated by one or both of the respective communities.,0.118824,0.276364,0.584706,0.01303,12,96.0
1,sister Cities International shall formally recognize only those relationships by cities/members in,0.118431,0.300303,0.758039,0.01303,13,95.0
1,good standing (i.e. who are current on membership dues) in its Membership Directory or on its,0.118039,0.316364,0.75451,0.01303,14,94.0
1,"website. However, Sister Cities International shall not assert as invalid or otherwise impugn the",0.117647,0.332424,0.758824,0.013333,15,96.0
1,legitimacy of those relationships formed by non-members.,0.118824,0.348788,0.46549,0.01303,16,96.0
1,Friendship City,0.118824,0.372424,0.125882,0.013636,17,96.0
1,"A Friendship City or Friendship Cities relationship is often formed by cities as a ""stepping",0.117647,0.396061,0.713725,0.013333,18,95.0
1,"stone"" to a more formal ""Sister City"" agreement. Typically Friendship City agreements are",0.118039,0.412121,0.718824,0.013333,19,96.0
1,referred to as such in the formal documents that are signed. Sister Cities International shall,0.118824,0.428485,0.725098,0.013333,20,96.0
1,recognize Friendship City relationships by members in its Membership Directory and website.,0.118824,0.444545,0.746667,0.013333,21,96.0
1,As per Sister Cities International Board of Directors:,0.117647,0.468485,0.413333,0.013333,22,96.0
1,sister Cities International will recognize a new sister cities affiliation between a,0.169804,0.492121,0.626275,0.013333,23,95.0
1,"U.S. and an international community, even though another affiliation may exist",0.170588,0.508485,0.624706,0.013333,24,95.0
1,"between that international community and a different U.S. community, only if a",0.169804,0.524545,0.628627,0.013333,25,92.0
