page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.275,0.015464,0.426389,0.034794,1,89.0
1,Method of attack: Three prongs attack at first light.,0.044444,0.069588,0.670833,0.037371,2,86.0
1,FOSH boms BRIDGEHEAD AT REINE,0.270833,0.115979,0.491667,0.037371,3,88.0
1,ASSAULT troops and occupy slor of land going,0.276389,0.158505,0.641667,0.04768,4,86.0
1,plainsula with main partia of Island.,0.266667,0.20232,0.545833,0.042526,5,84.0
1,"DESTROY all COMMUNICATIONS, telephone with etc",0.270833,0.246134,0.681944,0.037371,6,88.0
1,and occupy POST OFFICE,0.245833,0.287371,0.393056,0.036082,7,82.0
1,Spread out with bridge head and keepy for,0.269444,0.329897,0.573611,0.039948,8,85.0
1,SECOND PRONS At Sum to cut lin of commucation all,0.258333,0.381443,0.708333,0.025773,9,85.0
1,EMU POINT (from ANDo to main land.,0.272222,0.404639,0.716667,0.052835,10,86.0
1,THIRD PRONS To take wireless otatia and lighthous,0.258333,0.467784,0.709722,0.041237,11,82.0
1,Inition stages Cut off and distroy power station behin,0.276389,0.518041,0.670833,0.03866,12,86.0
1,PANDAH - ANDo - REINE this plunty,0.288889,0.560567,0.615278,0.033505,13,87.0
1,any further use of oil refinary etc.,0.273611,0.600515,0.463889,0.042526,14,82.0
1,RESISTANCE: AT WIRELESS STATION: LIGHTHOUSE Complited Surprise,0.048611,0.643041,0.927778,0.051546,15,88.0
1,SERMAMS AT REINE not ABLE SLIGHT mesis luc,0.273611,0.690722,0.684722,0.032216,16,84.0
1,out Sum A GES OF ENEMY 76 to 145.,0.279167,0.720361,0.627778,0.033505,17,88.0
1,QUiSLINGs FRIGHTENED. ONE ESCAPED CAPTURED,0.272222,0.759021,0.666667,0.048969,18,84.0
1,CHEST WHCH IN FREEZINS WATER,0.291667,0.809278,0.498611,0.028351,19,82.0
1,POPULATION Tool us for Sum us the america,0.284722,0.845361,0.6125,0.043814,20,86.0
1,outly ca as BRITISH. IRISH tmel.,0.280556,0.885309,0.55,0.036082,21,87.0
1,DESCRIP im of Nowogian,0.281944,0.921392,0.315278,0.043814,22,85.0
