page,text,left,top,width,height,line,conf
1,surprse and quick action,0.286111,0.020619,0.425,0.029639,1,96.0
1,mutho a auto; three brujca attend my for sglall.,0.044444,0.06701,0.672222,0.043814,2,94.0
1,foh bma 669656460 70 beine,0.275,0.115979,0.483333,0.029639,3,91.0
1,"ASSA ULT ring, and stang, with of and j",0.276389,0.161082,0.638889,0.045103,4,82.0
1,plains with rain India of sand .,0.270833,0.201031,0.540278,0.043814,5,93.0
1,"DESTloy cu COMMUNICATIONS , clepo was ce",0.270833,0.246134,0.681944,0.043814,6,95.0
1,"our stop, post office",0.265278,0.286082,0.377778,0.039948,7,95.0
1,spuea and with bag lua and kky,0.270833,0.331186,0.579167,0.041237,8,92.0
1,second preng at suan to cur kong can unualdi au,0.259722,0.378866,0.709722,0.037371,9,96.0
1,emu point,0.854167,0.399485,0.138889,0.027062,10,93.0
1,for ando t main said,0.3375,0.423969,0.393056,0.039948,11,96.0
1,third rong is no take windos oalia as liquitas,0.261111,0.462629,0.705556,0.04768,12,87.0
1,signs of an atlas pass satin blue,0.370833,0.512887,0.573611,0.048969,13,94.0
1,pandar - anpo - reine de passion,0.283333,0.55799,0.613889,0.041237,14,96.0
1,any parter me of oil mying,0.273611,0.599227,0.4625,0.063144,15,94.0
1,resistance,0.043056,0.64433,0.158333,0.036082,16,94.0
1,at station light house complit complaint,0.273611,0.631443,0.7,0.048969,17,85.0
1,sernans at reve ad and,0.275,0.680412,0.681944,0.042526,18,96.0
1,ab-slums,0.279167,0.738402,0.127778,0.025773,19,98.0
1,-AGES OF ENERGY VS VS A5 .,0.472222,0.713918,0.440278,0.042526,20,94.0
1,quick freshened one eschaled capsled,0.272222,0.753866,0.6625,0.05799,21,95.0
1,CHEST X-CH IN FREEZING WATER,0.290278,0.802835,0.497222,0.043814,22,98.0
1,popular talk of sans the animals,0.281944,0.841495,0.609722,0.050258,23,87.0
1,popys as british missh end.,0.279167,0.884021,0.55,0.063144,24,75.0
1,d e crip of norway,0.283333,0.93299,0.313889,0.034794,25,81.0
