page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,surprse,0.286111,0.020619,0.4375,0.050258,96.0,,0.286111,0.020619,0.711111,0.050258,96.0
1,1,and,0.4375,0.020619,0.509722,0.050258,96.0,,,,,,
1,1,quick,0.509722,0.020619,0.608333,0.050258,96.0,,,,,,
1,1,action,0.608333,0.020619,0.709722,0.050258,96.0,,,,,,
1,2,mutho,0.044444,0.06701,0.154167,0.110825,94.0,,0.044444,0.06701,0.716667,0.110825,94.0
1,2,a,0.154167,0.06701,0.161111,0.110825,94.0,,,,,,
1,2,auto;,0.161111,0.06701,0.269444,0.110825,94.0,,,,,,
1,2,three,0.269444,0.06701,0.3375,0.110825,94.0,,,,,,
1,2,brujca,0.3375,0.06701,0.434722,0.110825,94.0,,,,,,
1,2,attend,0.434722,0.06701,0.5375,0.110825,94.0,,,,,,
1,2,my,0.5375,0.06701,0.579167,0.110825,94.0,,,,,,
1,2,for,0.579167,0.06701,0.644444,0.110825,94.0,,,,,,
1,2,sglall.,0.644444,0.06701,0.715278,0.110825,94.0,,,,,,
1,3,foh,0.275,0.121134,0.323611,0.14433,91.0,,0.275,0.115979,0.758333,0.145619,91.0
1,3,bma,0.3375,0.123711,0.393056,0.146907,91.0,,,,,,
1,3,669656460,0.440278,0.117268,0.588889,0.145619,91.0,,,,,,
1,3,70,0.622222,0.121134,0.659722,0.14433,91.0,,,,,,
1,3,beine,0.684722,0.115979,0.759722,0.143041,91.0,,,,,,
1,4,ASSA,0.276389,0.161082,0.391667,0.206186,82.0,,0.276389,0.161082,0.915278,0.206186,82.0
1,4,ULT,0.391667,0.161082,0.491667,0.206186,82.0,,,,,,
1,4,"ring,",0.491667,0.161082,0.6,0.206186,82.0,,,,,,
1,4,and,0.6,0.161082,0.661111,0.206186,82.0,,,,,,
1,4,"stang,",0.661111,0.161082,0.770833,0.206186,82.0,,,,,,
1,4,with,0.770833,0.161082,0.786111,0.206186,82.0,,,,,,
1,4,of,0.786111,0.161082,0.836111,0.206186,82.0,,,,,,
1,4,and,0.836111,0.161082,0.906944,0.206186,82.0,,,,,,
1,4,j,0.906944,0.161082,0.915278,0.206186,82.0,,,,,,
1,5,plains,0.270833,0.201031,0.395833,0.233247,93.0,,0.270833,0.201031,0.811111,0.244845,93.0
1,5,with,0.423611,0.204897,0.477778,0.229381,93.0,,,,,,
1,5,rain,0.502778,0.207474,0.559722,0.229381,93.0,,,,,,
1,5,India,0.5875,0.213918,0.656944,0.243557,93.0,,,,,,
1,5,of,0.676389,0.213918,0.702778,0.246134,93.0,,,,,,
1,5,sand,0.729167,0.21134,0.806944,0.23067,93.0,,,,,,
1,5,.,0.806944,0.21134,0.8125,0.23067,93.0,,,,,,
1,6,DESTloy,0.270833,0.246134,0.381944,0.277062,95.0,,0.270833,0.246134,0.952778,0.289948,95.0
1,6,cu,0.411111,0.255155,0.444444,0.273196,95.0,,,,,,
1,6,COMMUNICATIONS,0.473611,0.251289,0.683333,0.287371,95.0,,,,,,
1,6,",",0.683333,0.251289,0.690278,0.287371,95.0,,,,,,
1,6,clepo,0.725,0.261598,0.823611,0.289948,95.0,,,,,,
1,6,was,0.843056,0.256443,0.901389,0.279639,95.0,,,,,,
1,6,ce,0.916667,0.256443,0.952778,0.277062,95.0,,,,,,
1,7,our,0.265278,0.29768,0.315278,0.31701,95.0,,0.265278,0.286082,0.643056,0.326031,95.0
1,7,"stop,",0.338889,0.293814,0.426389,0.326031,95.0,,,,,,
1,7,post,0.456944,0.286082,0.529167,0.313144,95.0,,,,,,
1,7,office,0.55,0.293814,0.643056,0.315722,95.0,,,,,,
1,8,spuea,0.270833,0.335052,0.35,0.372423,92.0,,0.270833,0.331186,0.85,0.372423,92.0
1,8,and,0.369444,0.337629,0.409722,0.356959,92.0,,,,,,
1,8,with,0.433333,0.335052,0.486111,0.358247,92.0,,,,,,
1,8,bag,0.508333,0.331186,0.622222,0.365979,92.0,,,,,,
1,8,lua,0.641667,0.338918,0.690278,0.360825,92.0,,,,,,
1,8,and,0.7125,0.33634,0.783333,0.364691,92.0,,,,,,
1,8,kky,0.804167,0.331186,0.851389,0.35567,92.0,,,,,,
1,9,second,0.259722,0.378866,0.373611,0.416237,96.0,,0.259722,0.378866,0.969444,0.416237,96.0
1,9,preng,0.373611,0.378866,0.469444,0.416237,96.0,,,,,,
1,9,at,0.469444,0.378866,0.5125,0.416237,96.0,,,,,,
1,9,suan,0.5125,0.378866,0.590278,0.416237,96.0,,,,,,
1,9,to,0.590278,0.378866,0.622222,0.416237,96.0,,,,,,
1,9,cur,0.622222,0.378866,0.693056,0.416237,96.0,,,,,,
1,9,kong,0.693056,0.378866,0.7625,0.416237,96.0,,,,,,
1,9,can,0.7625,0.378866,0.838889,0.416237,96.0,,,,,,
1,9,unualdi,0.838889,0.378866,0.936111,0.416237,96.0,,,,,,
1,9,au,0.936111,0.378866,0.968056,0.416237,96.0,,,,,,
1,10,emu,0.854167,0.407216,0.909722,0.426546,93.0,,0.854167,0.399485,0.993056,0.426546,93.0
1,10,point,0.923611,0.399485,0.993056,0.426546,93.0,,,,,,
1,11,for,0.3375,0.423969,0.418056,0.460052,96.0,,0.3375,0.423969,0.730556,0.463918,96.0
1,11,ando,0.418056,0.423969,0.538889,0.463918,96.0,,,,,,
1,11,t,0.538889,0.423969,0.55,0.463918,96.0,,,,,,
1,11,main,0.55,0.423969,0.651389,0.463918,96.0,,,,,,
1,11,said,0.651389,0.427835,0.729167,0.463918,96.0,,,,,,
1,12,third,0.261111,0.466495,0.347222,0.510309,87.0,,0.261111,0.462629,0.966667,0.510309,87.0
1,12,rong,0.347222,0.465206,0.4375,0.510309,87.0,,,,,,
1,12,is,0.4375,0.463918,0.479167,0.510309,87.0,,,,,,
1,12,no,0.479167,0.463918,0.520833,0.510309,87.0,,,,,,
1,12,take,0.520833,0.462629,0.6,0.510309,87.0,,,,,,
1,12,windos,0.6,0.462629,0.776389,0.510309,87.0,,,,,,
1,12,oalia,0.776389,0.462629,0.8375,0.506443,87.0,,,,,,
1,12,as,0.8375,0.462629,0.851389,0.506443,87.0,,,,,,
1,12,liquitas,0.851389,0.462629,0.965278,0.505155,87.0,,,,,,
1,13,signs,0.370833,0.512887,0.475,0.561856,94.0,,0.370833,0.512887,0.944444,0.561856,94.0
1,13,of,0.475,0.512887,0.529167,0.561856,94.0,,,,,,
1,13,an,0.529167,0.512887,0.581944,0.561856,94.0,,,,,,
1,13,atlas,0.581944,0.512887,0.7125,0.561856,94.0,,,,,,
1,13,pass,0.7125,0.512887,0.791667,0.561856,94.0,,,,,,
1,13,satin,0.791667,0.512887,0.873611,0.561856,94.0,,,,,,
1,13,blue,0.873611,0.512887,0.943056,0.561856,94.0,,,,,,
1,14,pandar,0.283333,0.55799,0.4625,0.599227,96.0,,0.283333,0.55799,0.897222,0.599227,96.0
1,14,-,0.4625,0.55799,0.479167,0.599227,96.0,,,,,,
1,14,anpo,0.463889,0.55799,0.573611,0.599227,96.0,,,,,,
1,14,-,0.573611,0.55799,0.591667,0.599227,96.0,,,,,,
1,14,reine,0.591667,0.55799,0.706944,0.599227,96.0,,,,,,
1,14,de,0.706944,0.55799,0.784722,0.599227,96.0,,,,,,
1,14,passion,0.784722,0.55799,0.895833,0.599227,96.0,,,,,,
1,15,any,0.273611,0.599227,0.347222,0.662371,94.0,,0.273611,0.599227,0.736111,0.662371,94.0
1,15,parter,0.347222,0.599227,0.508333,0.662371,94.0,,,,,,
1,15,me,0.508333,0.599227,0.554167,0.662371,94.0,,,,,,
1,15,of,0.554167,0.599227,0.619444,0.662371,94.0,,,,,,
1,15,oil,0.619444,0.599227,0.6875,0.662371,94.0,,,,,,
1,15,mying,0.6875,0.599227,0.734722,0.662371,94.0,,,,,,
1,16,resistance,0.043056,0.64433,0.201389,0.680412,94.0,,0.043056,0.64433,0.201389,0.680412,94.0
1,17,at,0.273611,0.631443,0.319444,0.680412,85.0,,0.273611,0.631443,0.973611,0.680412,85.0
1,17,station,0.319444,0.631443,0.455556,0.680412,85.0,,,,,,
1,17,light,0.455556,0.631443,0.558333,0.680412,85.0,,,,,,
1,17,house,0.558333,0.631443,0.673611,0.680412,85.0,,,,,,
1,17,complit,0.673611,0.631443,0.863889,0.680412,85.0,,,,,,
1,17,complaint,0.863889,0.631443,0.972222,0.680412,85.0,,,,,,
1,18,sernans,0.275,0.680412,0.533333,0.719072,96.0,,0.275,0.680412,0.956944,0.722938,96.0
1,18,at,0.533333,0.680412,0.606944,0.721649,96.0,,,,,,
1,18,reve,0.606944,0.680412,0.825,0.722938,96.0,,,,,,
1,18,ad,0.825,0.686856,0.85,0.722938,96.0,,,,,,
1,18,and,0.85,0.686856,0.955556,0.722938,96.0,,,,,,
1,19,ab-slums,0.279167,0.738402,0.406944,0.764175,98.0,,0.279167,0.738402,0.406944,0.764175,98.0
1,20,-AGES,0.472222,0.726804,0.545833,0.756443,94.0,,0.472222,0.713918,0.9125,0.756443,94.0
1,20,OF,0.573611,0.73067,0.608333,0.752577,94.0,,,,,,
1,20,ENERGY,0.627778,0.724227,0.727778,0.752577,94.0,,,,,,
1,20,VS,0.770833,0.721649,0.8,0.75,94.0,,,,,,
1,20,VS,0.819444,0.721649,0.843056,0.744845,94.0,,,,,,
1,20,A5,0.859722,0.713918,0.904167,0.742268,94.0,,,,,,
1,20,.,0.904167,0.713918,0.913889,0.742268,94.0,,,,,,
1,21,quick,0.272222,0.753866,0.406944,0.811856,95.0,,0.272222,0.753866,0.934722,0.811856,95.0
1,21,freshened,0.406944,0.753866,0.6,0.811856,95.0,,,,,,
1,21,one,0.6,0.753866,0.640278,0.811856,95.0,,,,,,
1,21,eschaled,0.640278,0.753866,0.802778,0.811856,95.0,,,,,,
1,21,capsled,0.802778,0.753866,0.933333,0.811856,95.0,,,,,,
1,22,CHEST,0.290278,0.824742,0.373611,0.847938,98.0,,0.290278,0.802835,0.7875,0.846649,98.0
1,22,X-CH,0.4,0.818299,0.458333,0.841495,98.0,,,,,,
1,22,IN,0.486111,0.81701,0.5125,0.837629,98.0,,,,,,
1,22,FREEZING,0.541667,0.809278,0.652778,0.83634,98.0,,,,,,
