page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.240278,0.018041,0.538889,0.033505,1,95.0
1,Method of attack: Three pronged attacking at first light.,0.019444,0.072165,0.7,0.033505,2,89.0
1,First prong BRIDGEHEAD AT REINE,0.240278,0.108247,0.379167,0.029639,3,90.0
1,ASSAULT through and occupy neck of land joining,0.240278,0.140464,0.579167,0.029639,4,87.0
1,peninsulas with main portion of island.,0.240278,0.17268,0.519444,0.029639,5,87.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.240278,0.204897,0.609722,0.029639,6,88.0
1,and occupy POST OFFICE,0.240278,0.237113,0.438889,0.029639,7,90.0
1,Spread out with bridgehead and occupy town,0.240278,0.270619,0.509722,0.029639,8,86.0
1,SECOND PRONG At Seum to cut line of communication at EMU POINT,0.240278,0.305412,0.629167,0.029639,9,82.0
1,from ANDO to main land.,0.240278,0.337629,0.438889,0.029639,10,85.0
1,THIRD PRONG To take wireless station and Lighthouse,0.240278,0.372423,0.579167,0.029639,11,87.0
1,initial stages Cut off and destroy power station between,0.240278,0.404639,0.579167,0.029639,12,83.0
1,PANDAR - ANDO - REINE thus preventing,0.240278,0.436856,0.538889,0.029639,13,88.0
1,any further use of oil refineries etc.,0.240278,0.470361,0.519444,0.029639,14,84.0
1,RESISTANCE: AT WIRELESS STATION. LIGHTHOUSE completely Surprised,0.019444,0.502577,0.909722,0.029639,15,86.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.240278,0.536082,0.598611,0.029639,16,87.0
1,at Seum. AGES OF ENEMY 16 to 45.,0.240278,0.56701,0.479167,0.029639,17,85.0
1,Quislings FRIGHTENED. ONE ESCAPED CAPTURED,0.240278,0.600515,0.598611,0.029639,18,85.0
1,CHEST HIGH IN FREEZING WATER,0.240278,0.632732,0.498611,0.029639,19,90.0
1,POPULATION Took us for Germans then Americans,0.240278,0.666237,0.598611,0.029639,20,85.0
1,surprised as BRITISH. IRISH touch.,0.240278,0.697165,0.479167,0.029639,21,82.0
1,Description of Quislings,0.240278,0.73067,0.398611,0.029639,22,83.0
