page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.240278,0.018041,0.433333,0.051546,95.0,,0.240278,0.018041,0.779167,0.051546,95.0
1,1,AND,0.433333,0.018041,0.511111,0.051546,95.0,,,,,,
1,1,QUICK,0.511111,0.018041,0.709722,0.051546,95.0,,,,,,
1,1,ACTION,0.709722,0.018041,0.769246,0.051546,95.0,,,,,,
1,1,.,0.769246,0.018041,0.779167,0.051546,95.0,,,,,,
1,2,Method,0.019444,0.072165,0.086111,0.099227,90.0,,0.019444,0.072165,0.719444,0.10567,89.0
1,2,of,0.086111,0.072165,0.106944,0.100515,90.0,,,,,,
1,2,attack,0.106944,0.074742,0.152183,0.100515,90.0,,,,,,
1,2,:,0.152183,0.074742,0.159722,0.100515,90.0,,,,,,
1,2,Three,0.240278,0.072165,0.330556,0.10567,88.0,,,,,,
1,2,pronged,0.330556,0.072165,0.438889,0.10567,88.0,,,,,,
1,2,attacking,0.438889,0.072165,0.577778,0.10567,88.0,,,,,,
1,2,at,0.577778,0.072165,0.594444,0.10567,88.0,,,,,,
1,2,first,0.594444,0.072165,0.663889,0.10567,88.0,,,,,,
1,2,light,0.663889,0.072165,0.710185,0.10567,88.0,,,,,,
1,2,.,0.710185,0.072165,0.719444,0.10567,88.0,,,,,,
1,3,First,0.240278,0.108247,0.323611,0.137887,90.0,,0.240278,0.108247,0.619444,0.137887,90.0
1,3,prong,0.323611,0.108247,0.390278,0.137887,90.0,,,,,,
1,3,BRIDGEHEAD,0.390278,0.108247,0.538889,0.137887,90.0,,,,,,
1,3,AT,0.538889,0.108247,0.556944,0.137887,90.0,,,,,,
1,3,REINE,0.556944,0.108247,0.619444,0.137887,90.0,,,,,,
1,4,ASSAULT,0.240278,0.140464,0.354167,0.170103,87.0,,0.240278,0.140464,0.819444,0.170103,87.0
1,4,through,0.354167,0.140464,0.454167,0.170103,87.0,,,,,,
1,4,and,0.454167,0.140464,0.502778,0.170103,87.0,,,,,,
1,4,occupy,0.502778,0.140464,0.594444,0.170103,87.0,,,,,,
1,4,neck,0.594444,0.140464,0.656944,0.170103,87.0,,,,,,
1,4,of,0.656944,0.140464,0.693056,0.170103,87.0,,,,,,
1,4,land,0.693056,0.140464,0.747222,0.170103,87.0,,,,,,
1,4,joining,0.747222,0.140464,0.819444,0.170103,87.0,,,,,,
1,5,peninsulas,0.240278,0.17268,0.394444,0.20232,87.0,,0.240278,0.17268,0.759722,0.20232,87.0
1,5,with,0.394444,0.17268,0.493056,0.20232,87.0,,,,,,
1,5,main,0.493056,0.17268,0.526389,0.20232,87.0,,,,,,
1,5,portion,0.526389,0.17268,0.6625,0.20232,87.0,,,,,,
1,5,of,0.6625,0.17268,0.675,0.20232,87.0,,,,,,
1,5,island,0.675,0.17268,0.747619,0.20232,87.0,,,,,,
1,5,.,0.747619,0.17268,0.759722,0.20232,87.0,,,,,,
1,6,DESTROY,0.240278,0.204897,0.397222,0.234536,88.0,,0.240278,0.204897,0.85,0.234536,88.0
1,6,all,0.397222,0.204897,0.406944,0.234536,88.0,,,,,,
1,6,COMMUNICATIONS,0.398611,0.204897,0.651389,0.234536,88.0,,,,,,
1,6,",",0.651389,0.204897,0.669444,0.234536,88.0,,,,,,
1,6,telephone,0.669444,0.204897,0.741667,0.234536,88.0,,,,,,
1,6,wires,0.741667,0.204897,0.813889,0.234536,88.0,,,,,,
1,6,etc,0.813889,0.204897,0.85,0.234536,88.0,,,,,,
1,7,and,0.240278,0.237113,0.338889,0.266753,90.0,,0.240278,0.237113,0.679167,0.266753,90.0
1,7,occupy,0.338889,0.237113,0.444444,0.266753,90.0,,,,,,
1,7,POST,0.444444,0.237113,0.544444,0.266753,90.0,,,,,,
1,7,OFFICE,0.544444,0.237113,0.679167,0.266753,90.0,,,,,,
1,8,Spread,0.240278,0.270619,0.330556,0.300258,86.0,,0.240278,0.270619,0.75,0.300258,86.0
1,8,out,0.330556,0.270619,0.377778,0.300258,86.0,,,,,,
1,8,with,0.377778,0.270619,0.423611,0.300258,86.0,,,,,,
1,8,bridgehead,0.423611,0.270619,0.561111,0.300258,86.0,,,,,,
1,8,and,0.561111,0.270619,0.608333,0.300258,86.0,,,,,,
1,8,occupy,0.608333,0.270619,0.698611,0.300258,86.0,,,,,,
1,8,town,0.698611,0.270619,0.75,0.300258,86.0,,,,,,
1,9,SECOND,0.240278,0.305412,0.320833,0.335052,82.0,,0.240278,0.305412,0.869444,0.335052,82.0
1,9,PRONG,0.320833,0.305412,0.393056,0.335052,82.0,,,,,,
1,9,At,0.393056,0.305412,0.413889,0.335052,82.0,,,,,,
1,9,Seum,0.413889,0.305412,0.469444,0.335052,82.0,,,,,,
1,9,to,0.469444,0.305412,0.494444,0.335052,82.0,,,,,,
1,9,cut,0.494444,0.305412,0.529167,0.335052,82.0,,,,,,
1,9,line,0.529167,0.305412,0.566667,0.335052,82.0,,,,,,
1,9,of,0.566667,0.305412,0.595833,0.335052,82.0,,,,,,
1,9,communication,0.595833,0.305412,0.7375,0.335052,82.0,,,,,,
1,9,at,0.7375,0.305412,0.7625,0.335052,82.0,,,,,,
1,9,EMU,0.7625,0.305412,0.806944,0.335052,82.0,,,,,,
1,9,POINT,0.806944,0.305412,0.869444,0.335052,82.0,,,,,,
1,10,from,0.240278,0.337629,0.351389,0.367268,85.0,,0.240278,0.337629,0.679167,0.367268,85.0
1,10,ANDO,0.351389,0.337629,0.486111,0.367268,85.0,,,,,,
1,10,to,0.486111,0.337629,0.502778,0.367268,85.0,,,,,,
1,10,main,0.502778,0.337629,0.623611,0.367268,85.0,,,,,,
1,10,land,0.623611,0.337629,0.668056,0.367268,85.0,,,,,,
1,10,.,0.668056,0.337629,0.679167,0.367268,85.0,,,,,,
1,11,THIRD,0.240278,0.372423,0.316667,0.402062,87.0,,0.240278,0.372423,0.819444,0.402062,87.0
1,11,PRONG,0.316667,0.372423,0.427778,0.402062,87.0,,,,,,
1,11,To,0.427778,0.372423,0.4375,0.402062,87.0,,,,,,
1,11,take,0.429167,0.372423,0.481944,0.402062,87.0,,,,,,
1,11,wireless,0.481944,0.372423,0.577778,0.402062,87.0,,,,,,
1,11,station,0.577778,0.372423,0.656944,0.402062,87.0,,,,,,
1,11,and,0.656944,0.372423,0.702778,0.402062,87.0,,,,,,
1,11,Lighthouse,0.702778,0.372423,0.819444,0.402062,87.0,,,,,,
1,12,initial,0.240278,0.404639,0.316667,0.434278,83.0,,0.240278,0.404639,0.819444,0.434278,83.0
1,12,stages,0.316667,0.404639,0.373611,0.434278,83.0,,,,,,
1,12,Cut,0.373611,0.404639,0.440278,0.434278,83.0,,,,,,
1,12,off,0.440278,0.404639,0.463889,0.434278,83.0,,,,,,
1,12,and,0.463889,0.404639,0.5,0.434278,83.0,,,,,,
1,12,destroy,0.5,0.404639,0.588889,0.434278,83.0,,,,,,
1,12,power,0.588889,0.404639,0.659722,0.434278,83.0,,,,,,
1,12,station,0.659722,0.404639,0.736111,0.434278,83.0,,,,,,
1,12,between,0.736111,0.404639,0.819444,0.434278,83.0,,,,,,
1,13,PANDAR,0.240278,0.436856,0.404167,0.466495,88.0,,0.240278,0.436856,0.779167,0.466495,88.0
1,13,-,0.404167,0.436856,0.416667,0.466495,88.0,,,,,,
1,13,ANDO,0.405556,0.436856,0.466667,0.466495,88.0,,,,,,
1,13,-,0.466667,0.436856,0.479167,0.466495,88.0,,,,,,
1,13,REINE,0.477778,0.436856,0.581944,0.466495,88.0,,,,,,
1,13,thus,0.581944,0.436856,0.652778,0.466495,88.0,,,,,,
1,13,preventing,0.652778,0.436856,0.779167,0.466495,88.0,,,,,,
1,14,any,0.240278,0.470361,0.297222,0.496134,84.0,,0.240278,0.470361,0.759722,0.5,84.0
1,14,further,0.297222,0.470361,0.4375,0.498711,84.0,,,,,,
1,14,use,0.4375,0.470361,0.475,0.498711,84.0,,,,,,
1,14,of,0.475,0.470361,0.516667,0.5,84.0,,,,,,
1,14,oil,0.516667,0.470361,0.573611,0.5,84.0,,,,,,
1,14,refineries,0.573611,0.470361,0.733333,0.5,84.0,,,,,,
1,14,etc,0.733333,0.472938,0.753125,0.5,84.0,,,,,,
1,14,.,0.753125,0.472938,0.759722,0.5,84.0,,,,,,
1,15,RESISTANCE,0.019444,0.502577,0.155808,0.530928,92.0,,0.019444,0.502577,0.929167,0.532216,86.0
1,15,:,0.155808,0.502577,0.169444,0.530928,92.0,,,,,,
1,15,AT,0.240278,0.502577,0.276389,0.532216,85.0,,,,,,
1,15,WIRELESS,0.276389,0.502577,0.433333,0.532216,85.0,,,,,,
1,15,STATION,0.433333,0.502577,0.531771,0.532216,85.0,,,,,,
1,15,.,0.531771,0.502577,0.545833,0.532216,85.0,,,,,,
1,15,LIGHTHOUSE,0.545833,0.502577,0.719444,0.532216,85.0,,,,,,
1,15,completely,0.719444,0.502577,0.8125,0.532216,85.0,,,,,,
1,15,Surprised,0.8125,0.502577,0.929167,0.532216,85.0,,,,,,
1,16,GERMANS,0.240278,0.536082,0.359722,0.565722,87.0,,0.240278,0.536082,0.838889,0.565722,87.0
1,16,AT,0.359722,0.536082,0.440278,0.565722,87.0,,,,,,
1,16,REINE,0.440278,0.536082,0.483333,0.565722,87.0,,,,,,
1,16,not,0.483333,0.536082,0.527778,0.565722,87.0,,,,,,
1,16,aware,0.527778,0.536082,0.631944,0.565722,87.0,,,,,,
1,16,SLIGHT,0.631944,0.536082,0.713889,0.565722,87.0,,,,,,
1,16,resistance,0.713889,0.536082,0.838889,0.565722,87.0,,,,,,
1,17,at,0.240278,0.56701,0.276389,0.596649,85.0,,0.240278,0.56701,0.719444,0.596649,85.0
1,17,Seum,0.276389,0.56701,0.353056,0.596649,85.0,,,,,,
1,17,.,0.353056,0.56701,0.372222,0.596649,85.0,,,,,,
1,17,AGES,0.372222,0.56701,0.4625,0.596649,85.0,,,,,,
1,17,OF,0.4625,0.56701,0.505556,0.596649,85.0,,,,,,
1,17,ENEMY,0.505556,0.56701,0.609722,0.596649,85.0,,,,,,
1,17,16,0.609722,0.56701,0.691667,0.596649,85.0,,,,,,
1,17,to,0.691667,0.56701,0.705556,0.596649,85.0,,,,,,
1,17,45,0.693056,0.56701,0.710648,0.596649,85.0,,,,,,
1,17,.,0.710648,0.56701,0.719444,0.596649,85.0,,,,,,
1,18,Quislings,0.240278,0.600515,0.354167,0.623711,85.0,,0.240278,0.600515,0.838889,0.630155,85.0
1,18,FRIGHTENED,0.354167,0.600515,0.559975,0.630155,85.0,,,,,,
1,18,.,0.559975,0.600515,0.580556,0.630155,85.0,,,,,,
1,18,ONE,0.580556,0.601804,0.619444,0.630155,85.0,,,,,,
1,18,ESCAPED,0.619444,0.603093,0.725,0.630155,85.0,,,,,,
1,18,CAPTURED,0.725,0.60567,0.838889,0.630155,85.0,,,,,,
1,19,CHEST,0.240278,0.632732,0.344444,0.662371,90.0,,0.240278,0.632732,0.738889,0.662371,90.0
1,19,HIGH,0.344444,0.632732,0.430556,0.662371,90.0,,,,,,
1,19,IN,0.430556,0.632732,0.488889,0.662371,90.0,,,,,,
1,19,FREEZING,0.488889,0.632732,0.647222,0.662371,90.0,,,,,,
1,19,WATER,0.647222,0.632732,0.738889,0.662371,90.0,,,,,,
1,20,POPULATION,0.240278,0.666237,0.426389,0.695876,85.0,,0.240278,0.666237,0.838889,0.695876,85.0
1,20,Took,0.426389,0.666237,0.465278,0.695876,85.0,,,,,,
1,20,us,0.465278,0.666237,0.504167,0.695876,85.0,,,,,,
1,20,for,0.504167,0.666237,0.559722,0.695876,85.0,,,,,,
1,20,Germans,0.559722,0.666237,0.659722,0.695876,85.0,,,,,,
1,20,then,0.659722,0.666237,0.718056,0.695876,85.0,,,,,,
1,20,Americans,0.718056,0.666237,0.838889,0.695876,85.0,,,,,,
1,21,surprised,0.240278,0.697165,0.388889,0.726804,82.0,,0.240278,0.697165,0.719444,0.726804,82.0
1,21,as,0.388889,0.697165,0.418056,0.726804,82.0,,,,,,
1,21,BRITISH,0.418056,0.697165,0.533507,0.726804,82.0,,,,,,
1,21,.,0.533507,0.697165,0.55,0.726804,82.0,,,,,,
1,21,IRISH,0.55,0.697165,0.681944,0.726804,82.0,,,,,,
1,21,touch,0.681944,0.697165,0.713194,0.726804,82.0,,,,,,
1,21,.,0.713194,0.697165,0.719444,0.726804,82.0,,,,,,
1,22,Description,0.240278,0.73067,0.440278,0.760309,83.0,,0.240278,0.73067,0.638889,0.760309,83.0
1,22,of,0.440278,0.73067,0.5,0.760309,83.0,,,,,,
1,22,Quislings,0.5,0.731959,0.638889,0.760309,83.0,,,,,,
