page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION .,0.286111,0.020619,0.425,0.029639,1,97.0
1,"Method of attack: Three pronged, attacking at first light.",0.044444,0.06701,0.672222,0.043814,2,82.0
1,BRIDGEHEAD AT REINE,0.275,0.115979,0.483333,0.029639,3,82.0
1,ASSAULT through and occupy wcot of land going,0.276389,0.161082,0.638889,0.045103,4,72.0
1,peninsulas with main portion of Island .,0.270833,0.201031,0.540278,0.043814,5,88.0
1,"DESTROY all COMMUNICATIONS , telephone wires etc",0.270833,0.246134,0.681944,0.043814,6,82.0
1,and occupy Post OFFICE,0.265278,0.286082,0.377778,0.039948,7,92.0
1,Spread out with bridgehead and reoccupy town.,0.270833,0.331186,0.579167,0.041237,8,82.0
1,SECOND PRONG At Suum to cut line of communication at,0.259722,0.378866,0.709722,0.037371,9,72.0
1,EMU POINT,0.854167,0.399485,0.138889,0.027062,10,97.0
1,from ANDÖ to main land .,0.3375,0.423969,0.393056,0.039948,11,82.0
1,THIRD PRONG To take wireless otalia and Lightouse,0.261111,0.462629,0.705556,0.04768,12,62.0
1,stages Cut off and destroy power station beim,0.370833,0.512887,0.573611,0.048969,13,72.0
1,PANDAR - ANDO - REINE the planets,0.283333,0.55799,0.613889,0.041237,14,72.0
1,any further use of oil refineries etc .,0.273611,0.599227,0.4625,0.063144,15,92.0
1,RESISTANCE :,0.043056,0.64433,0.158333,0.036082,16,95.0
1,AT WIRELESS STATION . LIGHTHOUSE completely submerso,0.273611,0.631443,0.7,0.048969,17,72.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.275,0.680412,0.681944,0.042526,18,85.0
1,at Summ .,0.279167,0.738402,0.127778,0.025773,19,65.0
1,AGES OF ENEMY 16 to 45 .,0.472222,0.713918,0.440278,0.042526,20,92.0
1,FRIGHTENED. ONE ESCAPED CAPTURED,0.272222,0.753866,0.6625,0.05799,21,85.0
1,CHEST HIGH IN FREEZING WATER,0.290278,0.802835,0.497222,0.043814,22,97.0
1,POPULATION Took us for Germans then Americans,0.281944,0.841495,0.609722,0.050258,23,82.0
1,classed as BRITISH . IRISH Incl .,0.279167,0.884021,0.55,0.063144,24,72.0
1,Description of Nomolquins,0.283333,0.93299,0.313889,0.034794,25,72.0
