page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.286111,0.020619,0.406944,0.04768,97.0,,0.286111,0.020619,0.711111,0.050258,97.0
1,1,AND,0.434722,0.024485,0.4875,0.042526,97.0,,,,,,
1,1,QUICK,0.511111,0.020619,0.594444,0.050258,97.0,,,,,,
1,1,ACTION,0.619444,0.020619,0.705556,0.045103,97.0,,,,,,
1,1,.,0.705556,0.020619,0.7125,0.045103,97.0,,,,,,
1,2,Method,0.044444,0.06701,0.154167,0.110825,82.0,,0.044444,0.06701,0.716667,0.110825,82.0
1,2,of,0.154167,0.06701,0.2,0.110825,82.0,,,,,,
1,2,attack:,0.2,0.06701,0.265278,0.110825,82.0,,,,,,
1,2,Three,0.265278,0.06701,0.344444,0.110825,82.0,,,,,,
1,2,"pronged,",0.344444,0.06701,0.455556,0.110825,82.0,,,,,,
1,2,attacking,0.455556,0.06701,0.579167,0.110825,82.0,,,,,,
1,2,at,0.579167,0.06701,0.6,0.110825,82.0,,,,,,
1,2,first,0.6,0.06701,0.663889,0.110825,82.0,,,,,,
1,2,light.,0.663889,0.06701,0.715278,0.110825,82.0,,,,,,
1,3,BRIDGEHEAD,0.275,0.115979,0.556944,0.145619,82.0,,0.275,0.115979,0.758333,0.145619,82.0
1,3,AT,0.556944,0.115979,0.622222,0.145619,82.0,,,,,,
1,3,REINE,0.622222,0.115979,0.756944,0.145619,82.0,,,,,,
1,4,ASSAULT,0.276389,0.162371,0.391667,0.185567,72.0,,0.276389,0.161082,0.915278,0.206186,72.0
1,4,through,0.419444,0.167526,0.493056,0.19201,72.0,,,,,,
1,4,and,0.522222,0.166237,0.566667,0.184278,72.0,,,,,,
1,4,occupy,0.591667,0.166237,0.6625,0.193299,72.0,,,,,,
1,4,wcot,0.693056,0.16366,0.7375,0.184278,72.0,,,,,,
1,4,of,0.75,0.166237,0.772222,0.194588,72.0,,,,,,
1,4,land,0.7875,0.161082,0.836111,0.181701,72.0,,,,,,
1,4,going,0.848611,0.161082,0.916667,0.206186,72.0,,,,,,
1,5,peninsulas,0.270833,0.201031,0.395833,0.233247,88.0,,0.270833,0.201031,0.811111,0.244845,88.0
1,5,with,0.423611,0.204897,0.477778,0.229381,88.0,,,,,,
1,5,main,0.502778,0.207474,0.559722,0.229381,88.0,,,,,,
1,5,portion,0.5875,0.213918,0.656944,0.243557,88.0,,,,,,
1,5,of,0.676389,0.213918,0.702778,0.246134,88.0,,,,,,
1,5,Island,0.729167,0.21134,0.806944,0.23067,88.0,,,,,,
1,5,.,0.806944,0.21134,0.8125,0.23067,88.0,,,,,,
1,6,DESTROY,0.270833,0.246134,0.381944,0.277062,82.0,,0.270833,0.246134,0.952778,0.289948,82.0
1,6,all,0.411111,0.255155,0.444444,0.273196,82.0,,,,,,
1,6,COMMUNICATIONS,0.473611,0.251289,0.683333,0.287371,82.0,,,,,,
1,6,",",0.683333,0.251289,0.690278,0.287371,82.0,,,,,,
1,6,telephone,0.725,0.261598,0.823611,0.289948,82.0,,,,,,
1,6,wires,0.843056,0.256443,0.901389,0.279639,82.0,,,,,,
1,6,etc,0.916667,0.256443,0.952778,0.277062,82.0,,,,,,
1,7,and,0.265278,0.29768,0.315278,0.31701,92.0,,0.265278,0.286082,0.643056,0.326031,92.0
1,7,occupy,0.338889,0.293814,0.426389,0.326031,92.0,,,,,,
1,7,Post,0.456944,0.286082,0.529167,0.313144,92.0,,,,,,
1,7,OFFICE,0.55,0.293814,0.643056,0.315722,92.0,,,,,,
1,8,Spread,0.270833,0.335052,0.35,0.372423,82.0,,0.270833,0.331186,0.85,0.372423,82.0
1,8,out,0.369444,0.337629,0.409722,0.356959,82.0,,,,,,
1,8,with,0.433333,0.335052,0.486111,0.358247,82.0,,,,,,
1,8,bridgehead,0.508333,0.331186,0.622222,0.365979,82.0,,,,,,
1,8,and,0.641667,0.338918,0.690278,0.360825,82.0,,,,,,
1,8,reoccupy,0.7125,0.33634,0.783333,0.364691,82.0,,,,,,
1,8,town.,0.804167,0.331186,0.851389,0.35567,82.0,,,,,,
1,9,SECOND,0.259722,0.378866,0.370833,0.416237,72.0,,0.259722,0.378866,0.969444,0.416237,72.0
1,9,PRONG,0.370833,0.378866,0.463889,0.416237,72.0,,,,,,
1,9,At,0.463889,0.378866,0.5125,0.416237,72.0,,,,,,
1,9,Suum,0.5125,0.378866,0.590278,0.416237,72.0,,,,,,
1,9,to,0.590278,0.378866,0.608333,0.416237,72.0,,,,,,
1,9,cut,0.608333,0.378866,0.656944,0.416237,72.0,,,,,,
1,9,line,0.656944,0.378866,0.708333,0.416237,72.0,,,,,,
1,9,of,0.708333,0.378866,0.75,0.416237,72.0,,,,,,
1,9,communication,0.75,0.378866,0.943056,0.416237,72.0,,,,,,
1,9,at,0.943056,0.378866,0.968056,0.416237,72.0,,,,,,
1,10,EMU,0.854167,0.407216,0.909722,0.426546,97.0,,0.854167,0.399485,0.993056,0.426546,97.0
1,10,POINT,0.923611,0.399485,0.993056,0.426546,97.0,,,,,,
1,11,from,0.3375,0.435567,0.404167,0.463918,82.0,,0.3375,0.423969,0.730556,0.463918,82.0
1,11,ANDÖ,0.441667,0.423969,0.538889,0.451031,82.0,,,,,,
1,11,to,0.559722,0.425258,0.581944,0.447165,82.0,,,,,,
1,11,main,0.595833,0.430412,0.652778,0.448454,82.0,,,,,,
1,11,land,0.668056,0.423969,0.725,0.447165,82.0,,,,,,
1,11,.,0.725,0.423969,0.730556,0.447165,82.0,,,,,,
1,12,THIRD,0.261111,0.487113,0.336111,0.511598,62.0,,0.261111,0.462629,0.966667,0.510309,62.0
1,12,PRONG,0.355556,0.479381,0.438889,0.505155,62.0,,,,,,
1,12,To,0.484722,0.478093,0.5125,0.503866,62.0,,,,,,
1,12,take,0.536111,0.481959,0.575,0.502577,62.0,,,,,,
1,12,wireless,0.597222,0.475515,0.676389,0.498711,62.0,,,,,,
1,12,otalia,0.698611,0.472938,0.765278,0.494845,62.0,,,,,,
1,12,and,0.791667,0.476804,0.840278,0.494845,62.0,,,,,,
1,12,Lightouse,0.858333,0.462629,0.966667,0.498711,62.0,,,,,,
1,13,stages,0.370833,0.530928,0.440278,0.556701,72.0,,0.370833,0.512887,0.944444,0.561856,72.0
1,13,Cut,0.483333,0.528351,0.525,0.550258,72.0,,,,,,
1,13,off,0.540278,0.530928,0.573611,0.563144,72.0,,,,,,
1,13,and,0.5875,0.532216,0.631944,0.54768,72.0,,,,,,
1,13,destroy,0.645833,0.525773,0.7125,0.552835,72.0,,,,,,
1,13,power,0.727778,0.524485,0.791667,0.554124,72.0,,,,,,
1,13,station,0.808333,0.520619,0.873611,0.539948,72.0,,,,,,
1,13,beim,0.888889,0.512887,0.944444,0.53866,72.0,,,,,,
1,14,PANDAR,0.283333,0.55799,0.4625,0.599227,72.0,,0.283333,0.55799,0.897222,0.599227,72.0
1,14,-,0.4625,0.55799,0.479167,0.599227,72.0,,,,,,
1,14,ANDO,0.463889,0.55799,0.573611,0.599227,72.0,,,,,,
1,14,-,0.573611,0.55799,0.590278,0.599227,72.0,,,,,,
1,14,REINE,0.588889,0.55799,0.711111,0.599227,72.0,,,,,,
1,14,the,0.711111,0.55799,0.784722,0.599227,72.0,,,,,,
1,14,planets,0.784722,0.55799,0.895833,0.599227,72.0,,,,,,
1,15,any,0.273611,0.618557,0.319444,0.66366,92.0,,0.273611,0.599227,0.736111,0.662371,92.0
1,15,further,0.341667,0.613402,0.4125,0.658505,92.0,,,,,,
1,15,use,0.430556,0.614691,0.468056,0.630155,92.0,,,,,,
1,15,of,0.479167,0.612113,0.505556,0.645619,92.0,,,,,,
1,15,oil,0.520833,0.608247,0.555556,0.627577,92.0,,,,,,
1,15,refineries,0.570833,0.604381,0.668056,0.637887,92.0,,,,,,
1,15,etc,0.694444,0.599227,0.730556,0.619845,92.0,,,,,,
1,15,.,0.730556,0.599227,0.736111,0.619845,92.0,,,,,,
1,16,RESISTANCE,0.043056,0.64433,0.195833,0.680412,95.0,,0.043056,0.64433,0.201389,0.680412,95.0
1,16,:,0.195833,0.64433,0.202778,0.680412,95.0,,,,,,
1,17,AT,0.273611,0.658505,0.318056,0.681701,72.0,,0.273611,0.631443,0.973611,0.680412,72.0
1,17,WIRELESS,0.331944,0.658505,0.429167,0.677835,72.0,,,,,,
1,17,STATION,0.451389,0.654639,0.552778,0.679124,72.0,,,,,,
1,17,.,0.552778,0.654639,0.558333,0.679124,72.0,,,,,,
1,17,LIGHTHOUSE,0.6,0.64433,0.75,0.67268,72.0,,,,,,
1,17,completely,0.768056,0.641753,0.865278,0.675258,72.0,,,,,,
1,17,submerso,0.873611,0.631443,0.975,0.668814,72.0,,,,,,
1,18,GERMANS,0.275,0.680412,0.409722,0.715206,85.0,,0.275,0.680412,0.956944,0.722938,85.0
1,18,AT,0.409722,0.680412,0.452778,0.716495,85.0,,,,,,
1,18,REINE,0.452778,0.680412,0.55,0.720361,85.0,,,,,,
1,18,not,0.55,0.680412,0.601389,0.721649,85.0,,,,,,
1,18,aware,0.601389,0.680412,0.693056,0.722938,85.0,,,,,,
1,18,SLIGHT,0.693056,0.681701,0.825,0.722938,85.0,,,,,,
1,18,resistance,0.825,0.686856,0.955556,0.722938,85.0,,,,,,
1,19,at,0.279167,0.740979,0.320833,0.762887,72.0,,0.279167,0.738402,0.406944,0.764175,65.0
1,19,Summ,0.329167,0.738402,0.398611,0.765464,58.0,,,,,,
1,19,.,0.398611,0.738402,0.405556,0.765464,58.0,,,,,,
1,20,AGES,0.472222,0.726804,0.545833,0.756443,92.0,,0.472222,0.713918,0.9125,0.756443,92.0
1,20,OF,0.573611,0.73067,0.608333,0.752577,92.0,,,,,,
1,20,ENEMY,0.627778,0.724227,0.727778,0.752577,92.0,,,,,,
1,20,16,0.770833,0.721649,0.8,0.75,92.0,,,,,,
1,20,to,0.819444,0.721649,0.843056,0.744845,92.0,,,,,,
1,20,45,0.859722,0.713918,0.904167,0.742268,92.0,,,,,,
1,20,.,0.904167,0.713918,0.913889,0.742268,92.0,,,,,,
1,21,FRIGHTENED.,0.272222,0.753866,0.520833,0.811856,85.0,,0.272222,0.753866,0.934722,0.811856,85.0
1,21,ONE,0.520833,0.753866,0.6,0.811856,85.0,,,,,,
1,21,ESCAPED,0.6,0.753866,0.8,0.811856,85.0,,,,,,
1,21,CAPTURED,0.8,0.753866,0.933333,0.811856,85.0,,,,,,
1,22,CHEST,0.290278,0.824742,0.373611,0.847938,97.0,,0.290278,0.802835,0.7875,0.846649,97.0
1,22,HIGH,0.4,0.818299,0.458333,0.841495,97.0,,,,,,
1,22,IN,0.486111,0.81701,0.5125,0.837629,97.0,,,,,,
1,22,FREEZING,0.541667,0.809278,0.652778,0.83634,97.0,,,,,,
1,22,WATER,0.688889,0.802835,0.788889,0.829897,97.0,,,,,,
1,23,POPULATION,0.281944,0.841495,0.444444,0.891753,82.0,,0.281944,0.841495,0.891667,0.891753,82.0
1,23,Took,0.444444,0.841495,0.515278,0.891753,82.0,,,,,,
1,23,us,0.515278,0.841495,0.55,0.891753,82.0,,,,,,
1,23,for,0.55,0.841495,0.595833,0.891753,82.0,,,,,,
1,23,Germans,0.595833,0.841495,0.706944,0.891753,82.0,,,,,,
1,23,then,0.706944,0.841495,0.765278,0.891753,82.0,,,,,,
1,23,Americans,0.765278,0.841495,0.890278,0.891753,82.0,,,,,,
1,24,classed,0.279167,0.908505,0.380556,0.948454,72.0,,0.279167,0.884021,0.829167,0.947165,72.0
1,24,as,0.405556,0.907216,0.433333,0.923969,72.0,,,,,,
1,24,BRITISH,0.459722,0.89433,0.568056,0.921392,72.0,,,,,,
1,24,.,0.568056,0.89433,0.575,0.921392,72.0,,,,,,
1,24,IRISH,0.651389,0.887887,0.723611,0.916237,72.0,,,,,,
1,24,Incl,0.756944,0.884021,0.823611,0.912371,72.0,,,,,,
1,24,.,0.823611,0.884021,0.829167,0.912371,72.0,,,,,,
1,25,Description,0.283333,0.93299,0.427778,0.967784,72.0,,0.283333,0.93299,0.597222,0.967784,72.0
1,25,of,0.427778,0.93299,0.463889,0.967784,72.0,,,,,,
1,25,Nomolquins,0.463889,0.93299,0.595833,0.967784,72.0,,,,,,
