page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.284889,0.01567,0.424889,0.031753,1,90.0
1,"Metro Zuster: These promises, alluring at first sight.",0.040889,0.06433,0.675556,0.042887,2,72.0
1,Fior hom BRIDGEHEAD AT REINE,0.272,0.111753,0.487111,0.039588,3,55.0
1,ASSAULT money and occupy user of land gain,0.273778,0.153814,0.640444,0.042062,4,80.0
1,Peninsula with main portion of Island.,0.272889,0.202062,0.540444,0.039588,5,75.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.264444,0.24,0.690667,0.050309,6,90.0
1,and occupy POST OFFICE,0.264,0.287423,0.378222,0.031753,7,91.0
1,spread out with bridgehead and occupy town,0.268889,0.324124,0.584,0.044124,8,91.0
1,SECOND PRONG AT SUEM TO CUT LINES OF COMMUNICATION AT EMU POINT EMU POINT,0.261333,0.383093,0.730667,0.047423,9,59.0
1,from ANDO to main land.,0.333333,0.414845,0.401333,0.047423,10,80.0
1,THIRD PRONG To take wireless station and lighthouse,0.258667,0.458557,0.708,0.05732,11,90.0
1,initial stages Cut off and destroy power station below,0.270667,0.506804,0.675556,0.058144,12,91.0
1,PANDAR - ANDO - REINE des plantes,0.280444,0.55134,0.619111,0.054021,13,80.0
1,further use of oil refineries etc.,0.344444,0.600412,0.381778,0.042887,14,91.0
1,AT and WIRELESS STATION. LIGHTHOUSE completely Surplus,0.270667,0.620619,0.703111,0.066392,15,90.0
1,RESISTANCE:,0.038667,0.637938,0.165778,0.051134,16,90.0
1,GERMANS AT REINE NOT AWARE SLIGHT RESISTANCE,0.270667,0.673814,0.688,0.053608,17,85.0
1,AGES OF ENEMY 16 to 45.,0.271556,0.708041,0.648444,0.06433,18,85.0
1,FRIGHTENED. ONE ESCAPED CAPTURED,0.268889,0.745979,0.668889,0.065979,19,90.0
1,CHEST FREEZING WATER,0.284889,0.797113,0.503556,0.046186,20,75.0
1,LICH IN,0.400444,0.81732,0.110667,0.025155,21,75.0
1,POPULATION Took in for serious the Americans,0.276444,0.834639,0.617778,0.062268,22,95.0
1,purposes as BRITISH. IRISH travel.,0.275556,0.881237,0.554667,0.056907,23,66.0
1,О еоскир тиге в. Помоглино,0.278222,0.929485,0.320889,0.043711,24,80.0
