page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.284889,0.01567,0.436889,0.047423,90.0,,0.284889,0.01567,0.709778,0.047423,90.0
1,1,AND,0.436889,0.01567,0.504889,0.047423,90.0,,,,,,
1,1,QUICK,0.504889,0.01567,0.614667,0.047423,90.0,,,,,,
1,1,ACTION,0.614667,0.01567,0.69619,0.047423,90.0,,,,,,
1,1,.,0.69619,0.01567,0.709778,0.047423,90.0,,,,,,
1,2,Metro,0.040889,0.06433,0.122667,0.107216,90.0,,0.040889,0.06433,0.716444,0.107216,72.0
1,2,Zuster,0.122667,0.06433,0.209524,0.107216,90.0,,,,,,
1,2,:,0.209524,0.06433,0.224,0.107216,90.0,,,,,,
1,2,These,0.268889,0.068454,0.348,0.103505,66.0,,,,,,
1,2,promises,0.348,0.068454,0.491012,0.103505,66.0,,,,,,
1,2,",",0.491012,0.068454,0.508889,0.103505,66.0,,,,,,
1,2,alluring,0.508889,0.068454,0.578222,0.103505,66.0,,,,,,
1,2,at,0.578222,0.068454,0.592444,0.103505,66.0,,,,,,
1,2,first,0.592444,0.068454,0.656,0.103505,66.0,,,,,,
1,2,sight,0.656,0.068454,0.70637,0.103505,66.0,,,,,,
1,2,.,0.70637,0.068454,0.716444,0.103505,66.0,,,,,,
1,3,Fior,0.272,0.113402,0.393333,0.15134,36.0,,0.272,0.111753,0.759111,0.15134,55.0
1,3,hom,0.393333,0.113402,0.412889,0.149278,36.0,,,,,,
1,3,BRIDGEHEAD,0.400444,0.111753,0.609333,0.147629,68.0,,,,,,
1,3,AT,0.609333,0.111753,0.667111,0.146804,68.0,,,,,,
1,3,REINE,0.667111,0.111753,0.759111,0.145979,68.0,,,,,,
1,4,ASSAULT,0.273778,0.153814,0.410667,0.195876,80.0,,0.273778,0.153814,0.914222,0.195876,80.0
1,4,money,0.410667,0.153814,0.508,0.195876,80.0,,,,,,
1,4,and,0.508,0.153814,0.566667,0.195876,80.0,,,,,,
1,4,occupy,0.566667,0.153814,0.675111,0.195876,80.0,,,,,,
1,4,user,0.675111,0.153814,0.750667,0.195876,80.0,,,,,,
1,4,of,0.750667,0.153814,0.792444,0.195876,80.0,,,,,,
1,4,land,0.792444,0.153814,0.857333,0.195876,80.0,,,,,,
1,4,gain,0.857333,0.153814,0.914222,0.195876,80.0,,,,,,
1,5,Peninsula,0.272889,0.202062,0.396,0.234227,75.0,,0.272889,0.202062,0.813333,0.241649,75.0
1,5,with,0.428889,0.20701,0.476889,0.228041,75.0,,,,,,
1,5,main,0.504889,0.213196,0.559556,0.228454,75.0,,,,,,
1,5,portion,0.590667,0.213608,0.656889,0.241649,75.0,,,,,,
1,5,of,0.677778,0.214021,0.703111,0.241649,75.0,,,,,,
1,5,Island,0.731556,0.211134,0.801651,0.230515,75.0,,,,,,
1,5,.,0.801651,0.211134,0.813333,0.230515,75.0,,,,,,
1,6,DESTROY,0.264444,0.24,0.396,0.290309,90.0,,0.264444,0.24,0.955111,0.290309,90.0
1,6,all,0.396,0.24,0.443556,0.290309,90.0,,,,,,
1,6,COMMUNICATIONS,0.443556,0.24,0.685807,0.290309,90.0,,,,,,
1,6,",",0.685807,0.24,0.703111,0.290309,90.0,,,,,,
1,6,telephone,0.703111,0.24,0.832444,0.290309,90.0,,,,,,
1,6,wires,0.832444,0.24,0.913778,0.290309,90.0,,,,,,
1,6,etc,0.913778,0.24,0.955111,0.290309,90.0,,,,,,
1,7,and,0.264,0.287423,0.325333,0.319175,91.0,,0.264,0.287423,0.642222,0.319175,91.0
1,7,occupy,0.325333,0.287423,0.44,0.319175,91.0,,,,,,
1,7,POST,0.44,0.287423,0.532444,0.319175,91.0,,,,,,
1,7,OFFICE,0.532444,0.287423,0.642222,0.319175,91.0,,,,,,
1,8,spread,0.268889,0.324124,0.417778,0.368247,91.0,,0.268889,0.324124,0.852889,0.368247,91.0
1,8,out,0.417778,0.324124,0.420444,0.368247,91.0,,,,,,
1,8,with,0.420444,0.324124,0.492,0.368247,91.0,,,,,,
1,8,bridgehead,0.492,0.324124,0.635111,0.368247,91.0,,,,,,
1,8,and,0.635111,0.324124,0.697333,0.368247,91.0,,,,,,
1,8,occupy,0.697333,0.324124,0.792889,0.368247,91.0,,,,,,
1,8,town,0.792889,0.324124,0.852889,0.368247,91.0,,,,,,
1,9,SECOND,0.261333,0.386804,0.340889,0.413608,60.0,,0.261333,0.383093,0.992,0.430515,59.0
1,9,PRONG,0.367111,0.388041,0.425778,0.407423,60.0,,,,,,
1,9,AT,0.475556,0.387629,0.512,0.406186,60.0,,,,,,
1,9,SUEM,0.532889,0.386804,0.590222,0.409072,60.0,,,,,,
1,9,TO,0.618667,0.388866,0.637778,0.404948,60.0,,,,,,
1,9,CUT,0.656444,0.391753,0.692444,0.405773,60.0,,,,,,
1,9,LINES,0.716444,0.385979,0.748444,0.413196,60.0,,,,,,
1,9,OF,0.758667,0.389691,0.78,0.414845,60.0,,,,,,
1,9,COMMUNICATION,0.796,0.391753,0.839111,0.405361,60.0,,,,,,
1,9,AT,0.844,0.383093,0.969778,0.418969,60.0,,,,,,
1,9,EMU,0.848444,0.397938,0.914222,0.430515,50.0,,,,,,
1,9,POINT,0.914222,0.397938,0.992,0.430515,50.0,,,,,,
1,9,EMU,0.974667,0.385979,0.977333,0.413196,60.0,,,,,,
1,9,POINT,0.982667,0.385979,0.991111,0.413196,60.0,,,,,,
1,10,from,0.333333,0.414845,0.433778,0.462268,80.0,,0.333333,0.414845,0.734667,0.462268,80.0
1,10,ANDO,0.442667,0.427629,0.538222,0.451546,80.0,,,,,,
1,10,to,0.562222,0.426804,0.580444,0.445773,80.0,,,,,,
1,10,main,0.597778,0.421856,0.652,0.458557,80.0,,,,,,
1,10,land,0.669333,0.425567,0.7216,0.445773,80.0,,,,,,
1,10,.,0.7216,0.425567,0.734667,0.445773,80.0,,,,,,
1,11,THIRD,0.258667,0.458557,0.354667,0.515876,90.0,,0.258667,0.458557,0.966667,0.515876,90.0
1,11,PRONG,0.354667,0.458557,0.450667,0.515876,90.0,,,,,,
1,11,To,0.450667,0.458557,0.513333,0.515876,90.0,,,,,,
1,11,take,0.513333,0.458557,0.574667,0.515876,90.0,,,,,,
1,11,wireless,0.574667,0.458557,0.686667,0.515876,90.0,,,,,,
1,11,station,0.686667,0.458557,0.787556,0.515876,90.0,,,,,,
1,11,and,0.787556,0.458557,0.839111,0.515876,90.0,,,,,,
1,11,lighthouse,0.839111,0.458557,0.966667,0.515876,90.0,,,,,,
1,12,initial,0.270667,0.506804,0.341778,0.564948,91.0,,0.270667,0.506804,0.946222,0.564948,91.0
1,12,stages,0.341778,0.506804,0.454667,0.564948,91.0,,,,,,
1,12,Cut,0.454667,0.506804,0.523556,0.564948,91.0,,,,,,
1,12,off,0.523556,0.506804,0.575556,0.564948,91.0,,,,,,
1,12,and,0.575556,0.506804,0.589333,0.564948,91.0,,,,,,
1,12,destroy,0.589333,0.506804,0.712444,0.564948,91.0,,,,,,
1,12,power,0.712444,0.506804,0.799111,0.564948,91.0,,,,,,
1,12,station,0.799111,0.506804,0.885333,0.564948,91.0,,,,,,
1,12,below,0.885333,0.506804,0.946222,0.564948,91.0,,,,,,
1,13,PANDAR,0.280444,0.55134,0.460889,0.597938,80.0,,0.280444,0.55134,0.899556,0.605361,80.0
1,13,-,0.460444,0.554227,0.477778,0.598351,80.0,,,,,,
1,13,ANDO,0.460889,0.554227,0.614222,0.600412,80.0,,,,,,
1,13,-,0.613778,0.556289,0.631111,0.600825,80.0,,,,,,
1,13,REINE,0.614222,0.556289,0.728,0.602474,80.0,,,,,,
1,13,des,0.727556,0.558351,0.792,0.603299,80.0,,,,,,
1,13,plantes,0.791111,0.559175,0.899556,0.605361,80.0,,,,,,
1,14,further,0.344444,0.614433,0.411111,0.637113,91.0,,0.344444,0.600412,0.726222,0.643299,91.0
1,14,use,0.432889,0.600412,0.465333,0.642887,91.0,,,,,,
