page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.283333,0.015464,0.4375,0.050258,1,90.0
1,"FIELD LATER: Three prongs, attaking at four lights.",0.048611,0.064433,0.672222,0.051546,2,82.0
1,First prong BEIDGENHEAD AT REINE,0.273611,0.109536,0.516667,0.051546,3,90.0
1,"ASSAULT men and camps, use of land and army",0.270833,0.149485,0.663889,0.051546,4,80.0
1,personnel with main portion of island.,0.270833,0.190722,0.616667,0.051546,5,80.0
1,"DESTROY ALL COMMUNICATIONS, telephone wire etc",0.270833,0.235825,0.676389,0.051546,6,80.0
1,and occupy POST OFFICE,0.268056,0.278351,0.597222,0.050258,7,90.0
1,spread out with bridghead and occupy town,0.270833,0.318299,0.594444,0.048969,8,80.0
1,SECOND PRONG Air Seaman to cut line of communication at,0.258333,0.367268,0.718056,0.054124,9,80.0
1,town ANDO to main land. EMU POINT,0.338889,0.405928,0.6375,0.051546,10,90.0
1,THIRD PRONG to take wireless station and light house,0.258333,0.449742,0.709722,0.05799,11,80.0
1,initial stages Cut off and destroy power station then,0.258333,0.492268,0.681944,0.060567,12,80.0
1,"PANDAR - ANDO - REINE this please,",0.268056,0.530928,0.616667,0.076031,13,80.0
1,and further use of our engineers etc.,0.270833,0.587629,0.455556,0.056701,14,80.0
1,RESISTANCE: AT WIRELESS STATION LIGHTHOUSE complete surprise,0.041667,0.631443,0.926389,0.05799,15,81.0
1,GERMANS AT REINE NOT QUITE LIGHT BOOIS LIE,0.268056,0.676546,0.673611,0.054124,16,80.0
1,out Seaman 4 YES OF ENEMY,0.273611,0.706186,0.470833,0.074742,17,80.0
1,QUICKING 16 to 4-5.,0.269444,0.728093,0.559722,0.072165,18,80.0
1,"FRIGHTENED,",0.361111,0.744845,0.163889,0.073454,19,80.0
1,ONE ESCAPED CAPTURED,0.518056,0.761598,0.181944,0.076031,20,80.0
1,CHEST HIGH IN FREEZING WATER,0.270833,0.805412,0.519444,0.054124,21,90.0
1,POPULATION Took in for Germans the Americans,0.268056,0.845361,0.688889,0.055412,22,80.0
1,outfits as BRITISH IRISH local.,0.268056,0.885309,0.570833,0.054124,23,80.0
1,Description of Norwegian,0.270833,0.929124,0.384722,0.048969,24,80.0
