page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.283333,0.015464,0.4875,0.065722,90.0,,0.283333,0.015464,0.720833,0.065722,90.0
1,1,AND,0.4875,0.015464,0.504167,0.065722,90.0,,,,,,
1,1,QUICK,0.504167,0.015464,0.606944,0.065722,90.0,,,,,,
1,1,ACTION,0.606944,0.015464,0.704563,0.065722,90.0,,,,,,
1,1,.,0.704563,0.015464,0.720833,0.065722,90.0,,,,,,
1,2,FIELD,0.048611,0.072165,0.129167,0.114691,90.0,,0.048611,0.064433,0.720833,0.115979,82.0
1,2,LATER,0.129167,0.072165,0.202083,0.114691,90.0,,,,,,
1,2,:,0.202083,0.072165,0.216667,0.114691,90.0,,,,,,
1,2,Three,0.268056,0.064433,0.348611,0.108247,80.0,,,,,,
1,2,prongs,0.348611,0.064433,0.461706,0.114691,80.0,,,,,,
1,2,",",0.461706,0.064433,0.480556,0.114691,80.0,,,,,,
1,2,attaking,0.480556,0.064433,0.552778,0.115979,80.0,,,,,,
1,2,at,0.552778,0.06701,0.583333,0.115979,80.0,,,,,,
1,2,four,0.583333,0.068299,0.65,0.115979,80.0,,,,,,
1,2,lights,0.65,0.070876,0.710714,0.115979,80.0,,,,,,
1,2,.,0.710714,0.070876,0.720833,0.115979,80.0,,,,,,
1,3,First,0.273611,0.109536,0.393056,0.158505,90.0,,0.273611,0.109536,0.790278,0.161082,90.0
1,3,prong,0.393056,0.109536,0.440278,0.158505,90.0,,,,,,
1,3,BEIDGENHEAD,0.440278,0.109536,0.658333,0.161082,90.0,,,,,,
1,3,AT,0.658333,0.110825,0.755556,0.161082,90.0,,,,,,
1,3,REINE,0.755556,0.112113,0.790278,0.161082,90.0,,,,,,
1,4,ASSAULT,0.270833,0.149485,0.408333,0.201031,80.0,,0.270833,0.149485,0.934722,0.201031,80.0
1,4,men,0.408333,0.149485,0.493056,0.201031,80.0,,,,,,
1,4,and,0.493056,0.149485,0.568056,0.201031,80.0,,,,,,
1,4,camps,0.568056,0.149485,0.676852,0.201031,80.0,,,,,,
1,4,",",0.676852,0.149485,0.698611,0.201031,80.0,,,,,,
1,4,use,0.698611,0.149485,0.7125,0.201031,80.0,,,,,,
1,4,of,0.7,0.149485,0.7375,0.201031,80.0,,,,,,
1,4,land,0.7375,0.149485,0.836111,0.201031,80.0,,,,,,
1,4,and,0.836111,0.149485,0.916667,0.201031,80.0,,,,,,
1,4,army,0.916667,0.149485,0.934722,0.201031,80.0,,,,,,
1,5,personnel,0.270833,0.19201,0.476389,0.242268,80.0,,0.270833,0.190722,0.8875,0.242268,80.0
1,5,with,0.476389,0.190722,0.559722,0.242268,80.0,,,,,,
1,5,main,0.559722,0.190722,0.656944,0.242268,80.0,,,,,,
1,5,portion,0.656944,0.190722,0.734722,0.240979,80.0,,,,,,
1,5,of,0.734722,0.190722,0.809722,0.239691,80.0,,,,,,
1,5,island,0.809722,0.190722,0.876389,0.238402,80.0,,,,,,
1,5,.,0.876389,0.190722,0.8875,0.238402,80.0,,,,,,
1,6,DESTROY,0.270833,0.238402,0.395833,0.287371,80.0,,0.270833,0.235825,0.947222,0.287371,80.0
1,6,ALL,0.395833,0.237113,0.454167,0.287371,80.0,,,,,,
1,6,COMMUNICATIONS,0.454167,0.235825,0.693981,0.287371,80.0,,,,,,
1,6,",",0.693981,0.235825,0.711111,0.287371,80.0,,,,,,
1,6,telephone,0.711111,0.235825,0.843056,0.284794,80.0,,,,,,
1,6,wire,0.843056,0.235825,0.906944,0.283505,80.0,,,,,,
1,6,etc,0.906944,0.235825,0.947222,0.282216,80.0,,,,,,
1,7,and,0.268056,0.278351,0.425,0.328608,90.0,,0.268056,0.278351,0.865278,0.328608,90.0
1,7,occupy,0.425,0.278351,0.545833,0.328608,90.0,,,,,,
1,7,POST,0.545833,0.278351,0.681944,0.328608,90.0,,,,,,
1,7,OFFICE,0.681944,0.278351,0.865278,0.328608,90.0,,,,,,
1,8,spread,0.270833,0.318299,0.376389,0.363402,80.0,,0.270833,0.318299,0.865278,0.367268,80.0
1,8,out,0.376389,0.318299,0.427778,0.364691,80.0,,,,,,
1,8,with,0.427778,0.318299,0.488889,0.365979,80.0,,,,,,
1,8,bridghead,0.488889,0.318299,0.636111,0.367268,80.0,,,,,,
1,8,and,0.636111,0.318299,0.694444,0.367268,80.0,,,,,,
1,8,occupy,0.694444,0.319588,0.801389,0.367268,80.0,,,,,,
1,8,town,0.801389,0.320876,0.865278,0.367268,80.0,,,,,,
1,9,SECOND,0.258333,0.367268,0.3625,0.416237,80.0,,0.258333,0.367268,0.976389,0.421392,80.0
1,9,PRONG,0.3625,0.367268,0.452778,0.417526,80.0,,,,,,
1,9,Air,0.452778,0.367268,0.5125,0.418814,80.0,,,,,,
1,9,Seaman,0.5125,0.367268,0.6,0.420103,80.0,,,,,,
1,9,to,0.6,0.367268,0.638889,0.421392,80.0,,,,,,
1,9,cut,0.638889,0.367268,0.693056,0.421392,80.0,,,,,,
1,9,line,0.693056,0.367268,0.748611,0.421392,80.0,,,,,,
1,9,of,0.748611,0.368557,0.780556,0.421392,80.0,,,,,,
1,9,communication,0.780556,0.369845,0.951389,0.421392,80.0,,,,,,
1,9,at,0.951389,0.372423,0.976389,0.421392,80.0,,,,,,
1,10,town,0.338889,0.405928,0.4375,0.453608,90.0,,0.338889,0.405928,0.976389,0.457474,90.0
1,10,ANDO,0.4375,0.405928,0.538889,0.456186,90.0,,,,,,
1,10,to,0.538889,0.405928,0.584722,0.457474,90.0,,,,,,
1,10,main,0.584722,0.405928,0.677778,0.457474,90.0,,,,,,
1,10,land,0.677778,0.409794,0.743333,0.457474,90.0,,,,,,
1,10,.,0.743333,0.409794,0.759722,0.457474,90.0,,,,,,
1,10,EMU,0.863889,0.405928,0.909722,0.438144,90.0,,,,,,
1,10,POINT,0.909722,0.405928,0.976389,0.439433,90.0,,,,,,
1,11,THIRD,0.258333,0.453608,0.352778,0.507732,80.0,,0.258333,0.449742,0.968056,0.507732,80.0
1,11,PRONG,0.352778,0.45232,0.45,0.507732,80.0,,,,,,
1,11,to,0.45,0.451031,0.483333,0.507732,80.0,,,,,,
1,11,take,0.483333,0.449742,0.572222,0.507732,80.0,,,,,,
1,11,wireless,0.572222,0.449742,0.677778,0.507732,80.0,,,,,,
1,11,station,0.677778,0.449742,0.768056,0.506443,80.0,,,,,,
1,11,and,0.768056,0.449742,0.8375,0.505155,80.0,,,,,,
1,11,light,0.8375,0.449742,0.8875,0.503866,80.0,,,,,,
