page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.284722,0.020619,0.423611,0.029639,1,95.0
1,"Methods of action: Three pronged, attacking at first light.",0.041667,0.064433,0.676389,0.051546,2,88.0
1,First prong. BRIDGEHEAD AT REINE,0.273611,0.113402,0.486111,0.03866,3,92.0
1,ASSAULT through and occupy north of land joining,0.276389,0.154639,0.636111,0.04768,4,88.0
1,peninsula with main portion of Island.,0.272222,0.198454,0.545833,0.045103,5,91.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.269444,0.244845,0.683333,0.043814,6,93.0
1,and occupy POST OFFICE,0.265278,0.284794,0.376389,0.042526,7,94.0
1,Spread out with bridgehead and occupy town.,0.269444,0.32732,0.580556,0.042526,8,92.0
1,SECOND PRONG At Summ to cut line of communication at EMU POINT,0.259722,0.378866,0.726389,0.045103,9,89.0
1,from ANDO to main land.,0.336111,0.421392,0.394444,0.043814,10,93.0
1,THIRD PRONG To take wireless station and lighthouse,0.259722,0.469072,0.716667,0.043814,11,91.0
1,Initial stages Cut off and destroy power station between,0.270833,0.512887,0.672222,0.046392,12,90.0
1,PANDAR - ANDO - REINE thus preventing,0.281944,0.556701,0.613889,0.042526,13,92.0
1,any further use of oil refineries etc.,0.272222,0.599227,0.469444,0.04768,14,89.0
1,RESISTANCE: AT WIRELESS STATION. LIGHTHOUSE complete surprise,0.041667,0.636598,0.933333,0.054124,15,92.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.272222,0.677835,0.709722,0.04768,16,90.0
1,at Summ. AGES OF ENEMY 16 to 45.,0.279167,0.717784,0.638889,0.045103,17,93.0
1,"Quislings, FRIGHTENED. ONE ESCAPED CAPTURED",0.270833,0.755155,0.6625,0.056701,18,92.0
1,CHEST HIGH IN FREEZING WATER,0.288889,0.804124,0.497222,0.042526,19,94.0
1,POPULATION Took in for Germans the Americans,0.277778,0.838918,0.6125,0.051546,20,91.0
1,mistaken as BRITISH IRISH troop.,0.277778,0.881443,0.544444,0.055412,21,90.0
1,Description of Norwegian,0.281944,0.926546,0.316667,0.045103,22,88.0
