page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.284722,0.020619,0.436111,0.050258,95.0,,0.284722,0.020619,0.708333,0.050258,95.0
1,1,AND,0.436111,0.020619,0.498611,0.050258,95.0,,,,,,
1,1,QUICK,0.498611,0.020619,0.595833,0.050258,95.0,,,,,,
1,1,ACTION,0.595833,0.020619,0.692262,0.050258,95.0,,,,,,
1,1,.,0.692262,0.020619,0.708333,0.050258,95.0,,,,,,
1,2,Methods,0.041667,0.065722,0.123611,0.115979,85.0,,0.041667,0.064433,0.718056,0.115979,88.0
1,2,of,0.123611,0.065722,0.151389,0.115979,85.0,,,,,,
1,2,action,0.151389,0.065722,0.208532,0.115979,85.0,,,,,,
1,2,:,0.208532,0.065722,0.218056,0.115979,85.0,,,,,,
1,2,Three,0.268056,0.064433,0.347222,0.106959,90.0,,,,,,
1,2,pronged,0.347222,0.064433,0.443229,0.106959,90.0,,,,,,
1,2,",",0.443229,0.064433,0.456944,0.106959,90.0,,,,,,
1,2,attacking,0.456944,0.064433,0.579167,0.106959,90.0,,,,,,
1,2,at,0.579167,0.064433,0.602778,0.106959,90.0,,,,,,
1,2,first,0.602778,0.064433,0.666667,0.106959,90.0,,,,,,
1,2,light,0.666667,0.064433,0.709491,0.106959,90.0,,,,,,
1,2,.,0.709491,0.064433,0.718056,0.106959,90.0,,,,,,
1,3,First,0.273611,0.113402,0.394444,0.152062,92.0,,0.273611,0.113402,0.759722,0.152062,92.0
1,3,prong,0.394444,0.113402,0.433796,0.152062,92.0,,,,,,
1,3,.,0.433796,0.113402,0.441667,0.152062,92.0,,,,,,
1,3,BRIDGEHEAD,0.441667,0.113402,0.627778,0.152062,92.0,,,,,,
1,3,AT,0.627778,0.113402,0.670833,0.152062,92.0,,,,,,
1,3,REINE,0.670833,0.113402,0.759722,0.152062,92.0,,,,,,
1,4,ASSAULT,0.276389,0.154639,0.4,0.20232,88.0,,0.276389,0.154639,0.9125,0.20232,88.0
1,4,through,0.4,0.154639,0.508333,0.20232,88.0,,,,,,
1,4,and,0.508333,0.154639,0.566667,0.20232,88.0,,,,,,
1,4,occupy,0.566667,0.154639,0.661111,0.20232,88.0,,,,,,
1,4,north,0.661111,0.154639,0.7375,0.20232,88.0,,,,,,
1,4,of,0.7375,0.154639,0.775,0.20232,88.0,,,,,,
1,4,land,0.775,0.154639,0.836111,0.20232,88.0,,,,,,
1,4,joining,0.836111,0.154639,0.9125,0.20232,88.0,,,,,,
1,5,peninsula,0.272222,0.199742,0.416667,0.243557,91.0,,0.272222,0.198454,0.818056,0.243557,91.0
1,5,with,0.416667,0.198454,0.481944,0.243557,91.0,,,,,,
1,5,main,0.481944,0.198454,0.558333,0.243557,91.0,,,,,,
1,5,portion,0.558333,0.198454,0.670833,0.242268,91.0,,,,,,
1,5,of,0.670833,0.198454,0.715278,0.240979,91.0,,,,,,
1,5,Island,0.715278,0.198454,0.803373,0.239691,91.0,,,,,,
1,5,.,0.803373,0.198454,0.818056,0.239691,91.0,,,,,,
1,6,DESTROY,0.269444,0.244845,0.398611,0.28866,93.0,,0.269444,0.244845,0.952778,0.28866,93.0
1,6,all,0.398611,0.244845,0.444444,0.28866,93.0,,,,,,
1,6,COMMUNICATIONS,0.444444,0.244845,0.690741,0.28866,93.0,,,,,,
1,6,",",0.690741,0.244845,0.708333,0.28866,93.0,,,,,,
1,6,telephone,0.708333,0.244845,0.831944,0.28866,93.0,,,,,,
1,6,wires,0.831944,0.244845,0.9125,0.28866,93.0,,,,,,
1,6,etc,0.9125,0.244845,0.952778,0.28866,93.0,,,,,,
1,7,and,0.265278,0.284794,0.326389,0.32732,94.0,,0.265278,0.284794,0.641667,0.32732,94.0
1,7,occupy,0.326389,0.284794,0.440278,0.32732,94.0,,,,,,
1,7,POST,0.440278,0.284794,0.530556,0.32732,94.0,,,,,,
1,7,OFFICE,0.530556,0.284794,0.641667,0.32732,94.0,,,,,,
1,8,Spread,0.269444,0.32732,0.370833,0.369845,92.0,,0.269444,0.32732,0.85,0.369845,92.0
1,8,out,0.370833,0.32732,0.419444,0.369845,92.0,,,,,,
1,8,with,0.419444,0.32732,0.486111,0.369845,92.0,,,,,,
1,8,bridgehead,0.486111,0.32732,0.631944,0.369845,92.0,,,,,,
1,8,and,0.631944,0.32732,0.691667,0.369845,92.0,,,,,,
1,8,occupy,0.691667,0.32732,0.7875,0.369845,92.0,,,,,,
1,8,town,0.7875,0.32732,0.8375,0.369845,92.0,,,,,,
1,8,.,0.8375,0.32732,0.85,0.369845,92.0,,,,,,
1,9,SECOND,0.259722,0.378866,0.351389,0.423969,89.0,,0.259722,0.378866,0.986111,0.423969,89.0
1,9,PRONG,0.351389,0.378866,0.438889,0.423969,89.0,,,,,,
1,9,At,0.438889,0.378866,0.459722,0.423969,89.0,,,,,,
1,9,Summ,0.459722,0.378866,0.527778,0.423969,89.0,,,,,,
1,9,to,0.527778,0.378866,0.590278,0.423969,89.0,,,,,,
1,9,cut,0.590278,0.378866,0.595833,0.423969,89.0,,,,,,
1,9,line,0.595833,0.378866,0.638889,0.423969,89.0,,,,,,
1,9,of,0.638889,0.378866,0.693056,0.423969,89.0,,,,,,
1,9,communication,0.693056,0.378866,0.838889,0.423969,89.0,,,,,,
1,9,at,0.838889,0.378866,0.8625,0.423969,89.0,,,,,,
1,9,EMU,0.8625,0.378866,0.922222,0.423969,89.0,,,,,,
1,9,POINT,0.922222,0.378866,0.986111,0.423969,89.0,,,,,,
1,10,from,0.336111,0.421392,0.431944,0.465206,93.0,,0.336111,0.421392,0.730556,0.465206,93.0
1,10,ANDO,0.431944,0.421392,0.540278,0.465206,93.0,,,,,,
1,10,to,0.540278,0.421392,0.581944,0.465206,93.0,,,,,,
1,10,main,0.581944,0.421392,0.656944,0.465206,93.0,,,,,,
1,10,land,0.656944,0.421392,0.715833,0.465206,93.0,,,,,,
1,10,.,0.715833,0.421392,0.730556,0.465206,93.0,,,,,,
1,11,THIRD,0.259722,0.472938,0.355556,0.512887,91.0,,0.259722,0.469072,0.976389,0.512887,91.0
1,11,PRONG,0.355556,0.471649,0.452778,0.512887,91.0,,,,,,
1,11,To,0.452778,0.470361,0.511111,0.512887,91.0,,,,,,
1,11,take,0.511111,0.469072,0.573611,0.512887,91.0,,,,,,
1,11,wireless,0.573611,0.469072,0.683333,0.512887,91.0,,,,,,
1,11,station,0.683333,0.469072,0.781944,0.511598,91.0,,,,,,
1,11,and,0.781944,0.469072,0.838889,0.509021,91.0,,,,,,
1,11,lighthouse,0.838889,0.469072,0.976389,0.509021,91.0,,,,,,
1,12,Initial,0.270833,0.512887,0.354167,0.559278,90.0,,0.270833,0.512887,0.943056,0.559278,90.0
1,12,stages,0.354167,0.512887,0.440278,0.559278,90.0,,,,,,
1,12,Cut,0.440278,0.512887,0.479167,0.559278,90.0,,,,,,
1,12,off,0.479167,0.512887,0.529167,0.559278,90.0,,,,,,
1,12,and,0.529167,0.512887,0.579167,0.559278,90.0,,,,,,
1,12,destroy,0.579167,0.512887,0.7125,0.559278,90.0,,,,,,
1,12,power,0.7125,0.512887,0.791667,0.559278,90.0,,,,,,
1,12,station,0.791667,0.512887,0.873611,0.559278,90.0,,,,,,
1,12,between,0.873611,0.512887,0.943056,0.559278,90.0,,,,,,
1,13,PANDAR,0.281944,0.556701,0.4625,0.599227,92.0,,0.281944,0.556701,0.895833,0.599227,92.0
1,13,-,0.4625,0.556701,0.476389,0.599227,92.0,,,,,,
1,13,ANDO,0.463889,0.556701,0.531944,0.599227,92.0,,,,,,
1,13,-,0.531944,0.556701,0.575,0.599227,92.0,,,,,,
1,13,REINE,0.575,0.556701,0.706944,0.599227,92.0,,,,,,
1,13,thus,0.706944,0.556701,0.734722,0.599227,92.0,,,,,,
1,13,preventing,0.734722,0.556701,0.895833,0.599227,92.0,,,,,,
1,14,any,0.272222,0.599227,0.325,0.646907,89.0,,0.272222,0.599227,0.741667,0.646907,89.0
1,14,further,0.325,0.599227,0.431944,0.646907,89.0,,,,,,
1,14,use,0.431944,0.599227,0.484722,0.646907,89.0,,,,,,
1,14,of,0.484722,0.599227,0.522222,0.646907,89.0,,,,,,
1,14,oil,0.522222,0.599227,0.558333,0.646907,89.0,,,,,,
1,14,refineries,0.558333,0.599227,0.698611,0.646907,89.0,,,,,,
1,14,etc,0.698611,0.599227,0.730903,0.646907,89.0,,,,,,
1,14,.,0.730903,0.599227,0.741667,0.646907,89.0,,,,,,
1,15,RESISTANCE,0.041667,0.639175,0.186869,0.690722,95.0,,0.041667,0.636598,0.975,0.690722,92.0
1,15,:,0.186869,0.639175,0.201389,0.690722,95.0,,,,,,
1,15,AT,0.273611,0.636598,0.316667,0.68299,91.0,,,,,,
1,15,WIRELESS,0.316667,0.636598,0.454167,0.68299,91.0,,,,,,
1,15,STATION,0.454167,0.636598,0.563542,0.68299,91.0,,,,,,
1,15,.,0.563542,0.636598,0.579167,0.68299,91.0,,,,,,
1,15,LIGHTHOUSE,0.579167,0.636598,0.75,0.68299,91.0,,,,,,
1,15,complete,0.75,0.636598,0.866667,0.68299,91.0,,,,,,
1,15,surprise,0.866667,0.636598,0.975,0.68299,91.0,,,,,,
1,16,GERMANS,0.272222,0.677835,0.413889,0.725515,90.0,,0.272222,0.677835,0.981944,0.725515,90.0
1,16,AT,0.413889,0.677835,0.459722,0.725515,90.0,,,,,,
1,16,REINE,0.459722,0.677835,0.561111,0.725515,90.0,,,,,,
