page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.285333,0.014433,0.426222,0.033402,1,90.0
1,"Metro 2 outen: These pronouns, altering us for health.",0.039556,0.063918,0.675556,0.042062,2,70.0
1,For long BRIDGEHEAD AT REINE,0.271556,0.109691,0.488889,0.039588,3,90.0
1,ASSAULT member and occupy user of land giving,0.272889,0.153402,0.641778,0.042887,4,70.0
1,Peninsula with main portion of Island.,0.272889,0.202474,0.539556,0.039175,5,80.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.265778,0.240412,0.686222,0.045773,6,80.0
1,and occupy POST OFFICE,0.263111,0.286186,0.379556,0.033402,7,90.0
1,spread our with bridgehead and occupy town,0.269778,0.327835,0.581778,0.036701,8,85.0
1,SECOND PRONG Air Strun to cut line of communication at EMU POINT,0.261333,0.383093,0.717333,0.035876,9,85.0
1,from EMU POINT,0.330667,0.401237,0.653333,0.060206,10,85.0
1,ANDO to main land.,0.442222,0.42268,0.288,0.035052,11,95.0
1,THIRD PRONG. To take wireless station and lighthouse,0.258222,0.458557,0.709333,0.056495,12,85.0
1,1 million stages Cut off and destroy power station below,0.268889,0.508041,0.677333,0.05567,13,75.0
1,PANDAR - REINE the plow,0.280444,0.559175,0.620889,0.038763,14,80.0
1,- ANDO,0.482222,0.574845,0.084444,0.017732,15,80.0
1,further use of oil refining etc.,0.344889,0.6,0.381778,0.043299,16,90.0
1,AT any WIRELESS STATION. LIGHTHOUSE Company Surplus,0.268889,0.620619,0.705333,0.065979,17,94.0
1,RESISTANCE:,0.038667,0.638351,0.165333,0.04866,18,80.0
1,GERMANS AT REINE NOT AWARE SLIGHT resistance,0.270667,0.675052,0.687111,0.051134,19,80.0
1,AGES OF ENEMY 16 to 45,0.269778,0.709278,0.651556,0.06268,20,90.0
1,Frightened. One escaped captured,0.268889,0.745979,0.668889,0.066392,21,80.0
1,CHEST HIGH IN FREEZING WATER,0.285333,0.798763,0.501333,0.051134,22,90.0
1,POPULATION Took us for Serous the Americans,0.276444,0.835876,0.618667,0.059381,23,80.0
1,ouija as British IR/5H truel.,0.275556,0.879588,0.554667,0.058557,24,93.0
1,Обоскирит No. Новолуно,0.276444,0.928247,0.321778,0.046598,25,75.0
