page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.285333,0.014433,0.437778,0.047835,90.0,,0.285333,0.014433,0.711556,0.047835,90.0
1,1,AND,0.437778,0.014433,0.505333,0.047835,90.0,,,,,,
1,1,QUICK,0.505333,0.014433,0.615111,0.047835,90.0,,,,,,
1,1,ACTION,0.615111,0.014433,0.697778,0.047835,90.0,,,,,,
1,1,.,0.697778,0.014433,0.711556,0.047835,90.0,,,,,,
1,2,Metro,0.039556,0.063918,0.119111,0.105979,60.0,,0.039556,0.063918,0.715111,0.105979,70.0
1,2,2,0.119111,0.063918,0.154222,0.105979,60.0,,,,,,
1,2,outen,0.154222,0.063918,0.21237,0.105979,60.0,,,,,,
1,2,:,0.21237,0.063918,0.224,0.105979,60.0,,,,,,
1,2,These,0.268889,0.067216,0.345333,0.101443,75.0,,,,,,
1,2,pronouns,0.345333,0.067216,0.489926,0.101443,75.0,,,,,,
1,2,",",0.489926,0.067216,0.508,0.101443,75.0,,,,,,
1,2,altering,0.508,0.067216,0.580444,0.101443,75.0,,,,,,
1,2,us,0.580444,0.067216,0.594667,0.101443,75.0,,,,,,
1,2,for,0.594667,0.067216,0.643556,0.101443,75.0,,,,,,
1,2,health,0.643556,0.067216,0.704889,0.101443,75.0,,,,,,
1,2,.,0.704889,0.067216,0.715111,0.101443,75.0,,,,,,
1,3,For,0.271556,0.109691,0.394667,0.149278,90.0,,0.271556,0.109691,0.760444,0.149278,90.0
1,3,long,0.394667,0.109691,0.406222,0.149278,90.0,,,,,,
1,3,BRIDGEHEAD,0.406222,0.109691,0.613333,0.149278,90.0,,,,,,
1,3,AT,0.613333,0.109691,0.667556,0.149278,90.0,,,,,,
1,3,REINE,0.667556,0.109691,0.760444,0.149278,90.0,,,,,,
1,4,ASSAULT,0.272889,0.153402,0.401333,0.196289,70.0,,0.272889,0.153402,0.914667,0.196289,70.0
1,4,member,0.401333,0.153402,0.512444,0.196289,70.0,,,,,,
