page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.284722,0.015464,0.436111,0.048969,90.0,,0.284722,0.015464,0.708333,0.048969,90.0
1,1,AND,0.436111,0.015464,0.498611,0.048969,90.0,,,,,,
1,1,QUICK,0.498611,0.015464,0.595833,0.048969,90.0,,,,,,
1,1,ACTION,0.595833,0.015464,0.692262,0.048969,90.0,,,,,,
1,1,.,0.692262,0.015464,0.708333,0.048969,90.0,,,,,,
1,2,Method,0.0375,0.063144,0.115278,0.10567,70.0,,0.0375,0.063144,0.7125,0.108247,77.0
1,2,of,0.115278,0.063144,0.145833,0.10567,70.0,,,,,,
1,2,action,0.145833,0.063144,0.208929,0.10567,70.0,,,,,,
1,2,:,0.208929,0.063144,0.219444,0.10567,70.0,,,,,,
1,2,Three,0.263889,0.064433,0.344444,0.108247,80.0,,,,,,
1,2,pronged,0.344444,0.064433,0.452778,0.108247,80.0,,,,,,
1,2,attack,0.452778,0.064433,0.5375,0.108247,80.0,,,,,,
1,2,in,0.5375,0.064433,0.579167,0.108247,80.0,,,,,,
1,2,at,0.579167,0.064433,0.594444,0.108247,80.0,,,,,,
1,2,first,0.594444,0.064433,0.659722,0.108247,80.0,,,,,,
1,2,light,0.659722,0.064433,0.703704,0.108247,80.0,,,,,,
1,2,.,0.703704,0.064433,0.7125,0.108247,80.0,,,,,,
1,3,First,0.270833,0.113402,0.393056,0.148196,90.0,,0.270833,0.113402,0.758333,0.148196,90.0
1,3,prong,0.393056,0.113402,0.436111,0.148196,90.0,,,,,,
1,3,BRIDGEHEAD,0.436111,0.113402,0.625,0.148196,90.0,,,,,,
1,3,AT,0.625,0.113402,0.669444,0.148196,90.0,,,,,,
1,3,REINE,0.669444,0.113402,0.758333,0.148196,90.0,,,,,,
1,4,ASSAULT,0.269444,0.155928,0.397222,0.203608,80.0,,0.269444,0.155928,0.915278,0.203608,80.0
1,4,through,0.397222,0.155928,0.508333,0.203608,80.0,,,,,,
1,4,and,0.508333,0.155928,0.566667,0.203608,80.0,,,,,,
1,4,occupy,0.566667,0.155928,0.663889,0.203608,80.0,,,,,,
1,4,neck,0.663889,0.155928,0.7375,0.203608,80.0,,,,,,
1,4,of,0.7375,0.155928,0.773611,0.203608,80.0,,,,,,
1,4,land,0.773611,0.155928,0.836111,0.203608,80.0,,,,,,
1,4,joining,0.836111,0.155928,0.915278,0.203608,80.0,,,,,,
1,5,peninsula,0.270833,0.195876,0.423611,0.246134,90.0,,0.270833,0.194588,0.836111,0.246134,90.0
1,5,with,0.423611,0.194588,0.493056,0.246134,90.0,,,,,,
1,5,main,0.493056,0.194588,0.572222,0.246134,90.0,,,,,,
1,5,portion,0.572222,0.194588,0.702778,0.244845,90.0,,,,,,
1,5,of,0.702778,0.194588,0.781944,0.243557,90.0,,,,,,
1,5,island,0.781944,0.194588,0.828373,0.242268,90.0,,,,,,
1,5,.,0.828373,0.194588,0.836111,0.242268,90.0,,,,,,
1,6,DESTROY,0.265278,0.240979,0.397222,0.28866,90.0,,0.265278,0.240979,0.956944,0.28866,90.0
1,6,all,0.397222,0.240979,0.443056,0.28866,90.0,,,,,,
1,6,COMMUNICATIONS,0.443056,0.240979,0.697222,0.28866,90.0,,,,,,
1,6,telephone,0.697222,0.240979,0.833333,0.28866,90.0,,,,,,
1,6,wires,0.833333,0.240979,0.915278,0.28866,90.0,,,,,,
1,6,etc,0.915278,0.240979,0.956944,0.28866,90.0,,,,,,
1,7,spread,0.259722,0.331186,0.361111,0.367268,90.0,,0.259722,0.331186,0.845833,0.367268,90.0
1,7,out,0.361111,0.331186,0.409722,0.367268,90.0,,,,,,
1,7,with,0.409722,0.331186,0.484722,0.367268,90.0,,,,,,
1,7,bridgehead,0.484722,0.331186,0.625,0.367268,90.0,,,,,,
1,7,and,0.625,0.331186,0.690278,0.367268,90.0,,,,,,
1,7,occupy,0.690278,0.331186,0.781944,0.367268,90.0,,,,,,
1,7,town,0.781944,0.331186,0.833056,0.367268,90.0,,,,,,
1,7,.,0.833056,0.331186,0.845833,0.367268,90.0,,,,,,
1,8,SECOND,0.255556,0.381443,0.347222,0.417526,90.0,,0.255556,0.381443,0.994444,0.417526,90.0
1,8,PRONG,0.347222,0.381443,0.433333,0.417526,90.0,,,,,,
1,8,At,0.433333,0.381443,0.452778,0.417526,90.0,,,,,,
1,8,Suman,0.452778,0.381443,0.529167,0.417526,90.0,,,,,,
1,8,to,0.529167,0.381443,0.590278,0.417526,90.0,,,,,,
1,8,cut,0.590278,0.381443,0.595833,0.417526,90.0,,,,,,
1,8,line,0.595833,0.381443,0.638889,0.417526,90.0,,,,,,
1,8,of,0.638889,0.381443,0.693056,0.417526,90.0,,,,,,
1,8,communications,0.693056,0.381443,0.845833,0.417526,90.0,,,,,,
1,8,at,0.845833,0.381443,0.872222,0.417526,90.0,,,,,,
1,8,EMU,0.872222,0.381443,0.936111,0.417526,90.0,,,,,,
1,8,POINT,0.936111,0.381443,0.994444,0.417526,90.0,,,,,,
1,9,(,0.336111,0.417526,0.357778,0.45232,90.0,,0.336111,0.417526,0.727778,0.456186,90.0
1,9,from,0.357778,0.417526,0.444444,0.45232,90.0,,,,,,
1,9,ANDO,0.444444,0.417526,0.538889,0.456186,90.0,,,,,,
1,9,to,0.538889,0.417526,0.580556,0.456186,90.0,,,,,,
1,9,main,0.580556,0.418814,0.656944,0.456186,90.0,,,,,,
1,9,land,0.656944,0.421392,0.713611,0.456186,90.0,,,,,,
1,9,.,0.713611,0.421392,0.727778,0.456186,90.0,,,,,,
1,10,THIRD,0.256944,0.472938,0.352778,0.510309,90.0,,0.256944,0.469072,0.980556,0.510309,90.0
1,10,PRONG,0.352778,0.471649,0.451389,0.510309,90.0,,,,,,
1,10,To,0.451389,0.470361,0.511111,0.510309,90.0,,,,,,
1,10,take,0.511111,0.469072,0.573611,0.510309,90.0,,,,,,
1,10,wireless,0.573611,0.469072,0.684722,0.510309,90.0,,,,,,
1,10,station,0.684722,0.469072,0.784722,0.509021,90.0,,,,,,
1,10,and,0.784722,0.469072,0.841667,0.506443,90.0,,,,,,
1,10,lighthouse,0.841667,0.469072,0.980556,0.506443,90.0,,,,,,
1,11,[,0.263889,0.510309,0.275521,0.563144,80.0,,0.263889,0.510309,0.947222,0.563144,80.0
1,11,initial,0.275521,0.510309,0.356944,0.563144,80.0,,,,,,
1,11,stages,0.356944,0.510309,0.450992,0.563144,80.0,,,,,,
1,11,],0.450992,0.510309,0.466667,0.563144,80.0,,,,,,
1,11,Cut,0.466667,0.510309,0.4875,0.563144,80.0,,,,,,
1,11,off,0.4875,0.510309,0.5375,0.563144,80.0,,,,,,
1,11,and,0.5375,0.510309,0.586111,0.563144,80.0,,,,,,
1,11,destroy,0.586111,0.510309,0.713889,0.563144,80.0,,,,,,
1,11,power,0.713889,0.510309,0.793056,0.563144,80.0,,,,,,
1,11,station,0.793056,0.510309,0.873611,0.563144,80.0,,,,,,
1,11,between,0.873611,0.510309,0.947222,0.563144,80.0,,,,,,
1,12,PANDAR,0.283333,0.551546,0.461111,0.601804,90.0,,0.283333,0.551546,0.901389,0.601804,90.0
1,12,-,0.461111,0.551546,0.475,0.601804,90.0,,,,,,
1,12,ANDO,0.4625,0.551546,0.573611,0.601804,90.0,,,,,,
1,12,-,0.573611,0.551546,0.5875,0.601804,90.0,,,,,,
1,12,REINE,0.575,0.551546,0.705556,0.601804,90.0,,,,,,
1,12,thus,0.705556,0.551546,0.738889,0.601804,90.0,,,,,,
1,12,preventing,0.738889,0.551546,0.901389,0.601804,90.0,,,,,,
1,13,any,0.270833,0.599227,0.320833,0.646907,80.0,,0.270833,0.599227,0.730556,0.650773,80.0
1,13,further,0.320833,0.599227,0.426389,0.649485,80.0,,,,,,
1,13,use,0.426389,0.599227,0.477778,0.649485,80.0,,,,,,
1,13,of,0.477778,0.599227,0.515278,0.650773,80.0,,,,,,
1,13,oil,0.515278,0.599227,0.554167,0.650773,80.0,,,,,,
1,13,refineries,0.554167,0.599227,0.6875,0.650773,80.0,,,,,,
1,13,etc,0.6875,0.601804,0.719792,0.650773,80.0,,,,,,
1,13,.,0.719792,0.601804,0.730556,0.650773,80.0,,,,,,
1,14,RESISTANCE,0.043056,0.637887,0.18952,0.684278,90.0,,0.043056,0.637887,0.973611,0.684278,90.0
1,14,:,0.18952,0.637887,0.204167,0.684278,90.0,,,,,,
1,14,AT,0.273611,0.639175,0.318056,0.681701,90.0,,,,,,
1,14,WIRELESS,0.318056,0.639175,0.454167,0.681701,90.0,,,,,,
1,14,STATION,0.454167,0.639175,0.576389,0.681701,90.0,,,,,,
1,14,LIGHTHOUSE,0.576389,0.639175,0.751389,0.681701,90.0,,,,,,
1,14,complete,0.751389,0.639175,0.866667,0.681701,90.0,,,,,,
1,14,surprise,0.866667,0.639175,0.973611,0.681701,90.0,,,,,,
1,15,GERMANS,0.270833,0.685567,0.397222,0.724227,80.0,,0.270833,0.685567,0.952778,0.724227,80.0
1,15,AT,0.397222,0.685567,0.440278,0.724227,80.0,,,,,,
1,15,REINE,0.440278,0.685567,0.530556,0.724227,80.0,,,,,,
1,15,NOT,0.530556,0.685567,0.601389,0.724227,80.0,,,,,,
1,15,AWARE,0.601389,0.685567,0.681944,0.724227,80.0,,,,,,
1,15,SLIGHT,0.681944,0.685567,0.804167,0.724227,80.0,,,,,,
1,15,RESISTANCE,0.804167,0.685567,0.952778,0.724227,80.0,,,,,,
1,16,at,0.276389,0.720361,0.319444,0.766753,90.0,,0.276389,0.720361,0.802778,0.766753,90.0
1,16,Suman,0.319444,0.720361,0.426389,0.766753,90.0,,,,,,
1,16,AGES,0.426389,0.720361,0.545833,0.766753,90.0,,,,,,
1,16,OF,0.545833,0.720361,0.568056,0.766753,90.0,,,,,,
1,16,ENEMY,0.568056,0.720361,0.734722,0.766753,90.0,,,,,,
1,16,16,0.734722,0.720361,0.75,0.766753,90.0,,,,,,
1,16,to,0.736111,0.720361,0.759722,0.766753,90.0,,,,,,
1,16,45,0.759722,0.720361,0.788426,0.766753,90.0,,,,,,
1,16,.,0.788426,0.720361,0.802778,0.766753,90.0,,,,,,
1,17,Quislings,0.270833,0.751289,0.409722,0.805412,90.0,,0.270833,0.751289,0.984722,0.805412,90.0
1,17,FRIGHTENED,0.409722,0.751289,0.613889,0.805412,90.0,,,,,,
1,17,ONE,0.613889,0.751289,0.684722,0.805412,90.0,,,,,,
1,17,ESCAPED,0.684722,0.751289,0.827778,0.805412,90.0,,,,,,
1,17,CAPTURED,0.827778,0.751289,0.984722,0.805412,90.0,,,,,,
1,18,CHEST,0.283333,0.805412,0.3875,0.853093,90.0,,0.283333,0.805412,0.784722,0.853093,90.0
1,18,HIGH,0.3875,0.805412,0.473611,0.853093,90.0,,,,,,
1,18,IN,0.473611,0.805412,0.522222,0.853093,90.0,,,,,,
1,18,FREEZING,0.522222,0.805412,0.684722,0.853093,90.0,,,,,,
1,18,WATER,0.684722,0.805412,0.784722,0.853093,90.0,,,,,,
1,19,POPULATION,0.276389,0.846649,0.443056,0.902062,80.0,,0.276389,0.846649,0.893056,0.902062,80.0
1,19,Took,0.443056,0.846649,0.515278,0.902062,80.0,,,,,,
1,19,in,0.515278,0.846649,0.551389,0.902062,80.0,,,,,,
1,19,for,0.551389,0.846649,0.590278,0.902062,80.0,,,,,,
1,19,Germans,0.590278,0.846649,0.723611,0.902062,80.0,,,,,,
1,19,then,0.723611,0.846649,0.775,0.902062,80.0,,,,,,
1,19,Americans,0.775,0.846649,0.893056,0.902062,80.0,,,,,,
1,20,thought,0.273611,0.876289,0.433333,0.935567,90.0,,0.273611,0.876289,0.791667,0.935567,90.0
1,20,of,0.433333,0.876289,0.445833,0.935567,90.0,,,,,,
1,20,as,0.434722,0.876289,0.470833,0.935567,90.0,,,,,,
1,20,BRITISH,0.470833,0.876289,0.611111,0.935567,90.0,,,,,,
1,20,IRISH,0.611111,0.876289,0.722222,0.935567,90.0,,,,,,
1,20,brick,0.722222,0.876289,0.780093,0.935567,90.0,,,,,,
1,20,.,0.780093,0.876289,0.791667,0.935567,90.0,,,,,,
1,21,Description,0.276389,0.917526,0.430556,0.981959,80.0,,0.276389,0.917526,0.604167,0.981959,80.0
1,21,of,0.430556,0.917526,0.469444,0.981959,80.0,,,,,,
1,21,Norwegian,0.469444,0.917526,0.604167,0.981959,80.0,,,,,,
