page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,SURPRISE,0.285333,0.014433,0.437778,0.047835,95.0,,0.285333,0.014433,0.711556,0.047835,95.0
1,1,AND,0.437778,0.014433,0.505333,0.047835,95.0,,,,,,
1,1,QUICK,0.505333,0.014433,0.615111,0.047835,95.0,,,,,,
1,1,ACTION,0.615111,0.014433,0.697778,0.047835,95.0,,,,,,
1,1,.,0.697778,0.014433,0.711556,0.047835,95.0,,,,,,
1,2,Метод,0.039556,0.063918,0.118222,0.105979,85.0,,0.039556,0.063918,0.715111,0.105979,88.0
1,2,а,0.118222,0.063918,0.154222,0.105979,85.0,,,,,,
1,2,атака,0.154222,0.063918,0.21237,0.105979,85.0,,,,,,
1,2,:,0.21237,0.063918,0.224,0.105979,85.0,,,,,,
1,2,These,0.268889,0.067216,0.344,0.101443,90.0,,,,,,
1,2,promises,0.344,0.067216,0.454222,0.101443,90.0,,,,,,
1,2,attending,0.454222,0.067216,0.580444,0.101443,90.0,,,,,,
1,2,at,0.580444,0.067216,0.591556,0.101443,90.0,,,,,,
1,2,first,0.591556,0.067216,0.652,0.101443,90.0,,,,,,
1,2,lights,0.652,0.067216,0.706095,0.101443,90.0,,,,,,
1,2,.,0.706095,0.067216,0.715111,0.101443,90.0,,,,,,
1,3,BRIDGEHEAD,0.271556,0.109691,0.588889,0.149278,90.0,,0.271556,0.109691,0.760444,0.149278,90.0
1,3,AT,0.588889,0.109691,0.624,0.149278,90.0,,,,,,
1,3,REINE,0.624,0.109691,0.760444,0.149278,90.0,,,,,,
1,4,ASSAULT,0.272889,0.153402,0.403111,0.196289,85.0,,0.272889,0.153402,0.914667,0.196289,85.0
1,4,through,0.403111,0.153402,0.516,0.196289,85.0,,,,,,
1,4,and,0.516,0.153402,0.571556,0.196289,85.0,,,,,,
1,4,occupy,0.571556,0.153402,0.674667,0.196289,85.0,,,,,,
1,4,inch,0.674667,0.153402,0.743111,0.196289,85.0,,,,,,
