page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.285333,0.014433,0.426222,0.033402,1,91.0
1,"Methods & criteria: Thine promise, altho' my at first lights.",0.039556,0.063918,0.675556,0.042062,2,87.0
1,FOR BRG BRIDGEHEAD AT REINE,0.271556,0.109691,0.488889,0.039588,3,85.0
1,ASSAULT through and occupy use of land joining,0.272889,0.153402,0.641778,0.042887,4,85.0
1,peninsula with main portion of island.,0.272889,0.202474,0.539556,0.039175,5,90.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.265778,0.240412,0.686222,0.045773,6,90.0
1,and occupy POST OFFICE,0.263111,0.286186,0.379556,0.033402,7,87.0
1,Spread out with brightness and replay tone,0.269778,0.327835,0.581778,0.036701,8,95.0
1,SECOND PRONG At issue is our line of communication at EMU POINT,0.261333,0.383093,0.717333,0.035876,9,85.0
1,from EMU POINT,0.330667,0.401237,0.653333,0.060206,10,90.0
1,ANDÖ & main land.,0.442667,0.42268,0.288,0.035052,11,90.0
1,THIRD PRONG To take wireless stations and lighthouses,0.258222,0.458557,0.709333,0.056495,12,91.0
1,million stages Cut off and destroy power station b/w,0.268889,0.508041,0.677778,0.05567,13,70.0
1,PANDAR - ANPO - REINE this planet,0.280444,0.553814,0.620444,0.04866,14,85.0
1,further use of oil refineries etc.,0.344444,0.6,0.381778,0.043299,15,95.0
1,AT any WIRELESS STATION LIGHTHOUSE completely surprised,0.268889,0.620619,0.705333,0.065979,16,95.0
1,RESISTANCE:,0.038667,0.638351,0.165333,0.04866,17,95.0
1,GERMANS AT REINE NOT AWARE SLIGHT resistance,0.270667,0.675052,0.687111,0.051134,18,85.0
1,AGES OF ENEMY 16 to 45.,0.269778,0.709278,0.651556,0.06268,19,92.0
1,Quislings FRIGHTENED ONE ESCAPED CAPTURED,0.268889,0.745979,0.668889,0.066392,20,95.0
1,CHEST HIGH IN FREEZING WATER,0.285333,0.798763,0.501333,0.051134,21,90.0
1,POPULATION took us for Germans then Americans,0.276444,0.835876,0.618667,0.059381,22,85.0
1,окупка за BRITISH. 1R/5H truck.,0.275556,0.879588,0.554667,0.058557,23,80.0
1,Description de Nonocq ins,0.276444,0.928247,0.322667,0.046598,24,90.0
