page,text,left,top,width,height,line,conf
1,SURPRISE AND QUICK ACTION.,0.284722,0.015464,0.426389,0.030928,1,99.0
1,Methods of attack: Three prongs attacking at first light.,0.0375,0.064433,0.677778,0.045103,2,99.0
1,First prong BRIDGEHEAD AT REINE,0.268056,0.115979,0.475,0.036082,3,99.0
1,ASSAULT through and occupy most of land jutting,0.270833,0.158505,0.644444,0.039948,4,99.0
1,peninsula with main portion of Island.,0.269444,0.199742,0.541667,0.042526,5,99.0
1,"DESTROY all COMMUNICATIONS, telephone wires etc",0.266667,0.244845,0.684722,0.036082,6,99.0
1,and occupy POST OFFICE,0.266667,0.284794,0.373611,0.03866,7,99.0
1,spread out with bridgehead and occupy town,0.268056,0.32732,0.580556,0.03866,8,99.0
1,SECOND PRONG At Sumur to cut line of communication at,0.258333,0.378866,0.729167,0.036082,9,99.0
1,EMU POINT,0.856944,0.405928,0.129167,0.024485,10,99.0
1,from ANDIO to main land.,0.436111,0.42268,0.308333,0.033505,11,99.0
1,THIRD PRONG To take wireless station and lighthouse,0.256944,0.463918,0.718056,0.046392,12,99.0
1,initial stages Cut off and destroy power station between,0.2625,0.518041,0.677778,0.041237,13,99.0
1,PANDAR - ANDIO - REINE this power,0.268056,0.560567,0.630556,0.03866,14,99.0
1,any further use of oil refineries etc.,0.270833,0.603093,0.466667,0.039948,15,99.0
1,RESISTANCE: AT WIRELESS STATION. LIGHTHOUSE completely surprised,0.038889,0.635309,0.936111,0.04768,16,99.0
1,GERMANS AT REINE not aware SLIGHT resistance,0.270833,0.681701,0.684722,0.03866,17,99.0
1,at Sumur. AGES OF ENEMY 1/6 to 1/5.,0.273611,0.728093,0.652778,0.039948,18,99.0
1,Quislings FRIGHTENED. ONE ESCAPED CAUGHT,0.268056,0.760309,0.663889,0.045103,19,99.0
1,CHEST HIGH IN FREEZING WATER,0.284722,0.805412,0.5,0.041237,20,99.0
1,POPULATION Took in for Germans the Americans,0.270833,0.846649,0.619444,0.03866,21,99.0
1,Displaced at BRITISH IRISH brick.,0.272222,0.891753,0.551389,0.03866,22,99.0
1,Description of Norwegian,0.277778,0.934278,0.318056,0.033505,23,99.0
