page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,Forewords,0.011427,0.039872,0.068918,0.058917,100.0,,0.011427,0.039872,0.068918,0.058917,100.0
1,2,Lambeth,0.011427,0.071588,0.026678,0.077708,100.0,,0.011427,0.071588,0.052949,0.077708,100.0
1,2,has,0.027686,0.071588,0.033868,0.077708,100.0,,,,,,
1,2,long,0.034878,0.071588,0.042399,0.077708,100.0,,,,,,
1,2,been,0.043407,0.071588,0.051941,0.077708,100.0,,,,,,
1,3,the,0.011427,0.077289,0.016938,0.083409,100.0,,0.011427,0.077289,0.05542,0.083409,100.0
1,3,home,0.017948,0.077289,0.027686,0.083409,100.0,,,,,,
1,3,of,0.028694,0.077289,0.032121,0.083409,100.0,,,,,,
1,3,inspirational,0.033128,0.077289,0.054412,0.083409,100.0,,,,,,
1,4,creativity,0.011427,0.08299,0.027218,0.089111,100.0,,0.011427,0.08299,0.054564,0.089111,100.0
1,4,and,0.028226,0.08299,0.034678,0.089111,100.0,,,,,,
1,4,audacious,0.035686,0.08299,0.053556,0.089111,100.0,,,,,,
1,5,innovation,0.011427,0.088692,0.029436,0.094812,100.0,,0.011427,0.088692,0.031451,0.094812,100.0
1,5,.,0.029436,0.088692,0.030443,0.094812,100.0,,,,,,
1,6,From,0.011427,0.097779,0.015908,0.101146,100.0,,0.011427,0.097779,0.051683,0.101146,100.0
1,6,William,0.016468,0.097779,0.022562,0.101146,100.0,,,,,,
1,6,Blake,0.023122,0.097779,0.02794,0.101146,100.0,,,,,,
1,6,to,0.0285,0.097779,0.030218,0.101146,100.0,,,,,,
1,6,Olive,0.030778,0.097779,0.034997,0.101146,100.0,,,,,,
1,6,Morris,0.035557,0.097779,0.04097,0.101146,100.0,,,,,,
1,6,",",0.04097,0.097779,0.04153,0.101146,100.0,,,,,,
1,6,artists,0.04209,0.097779,0.047277,0.101146,100.0,,,,,,
1,6,and,0.047837,0.097779,0.051123,0.101146,100.0,,,,,,
1,7,activists,0.011427,0.1012,0.018331,0.104567,100.0,,0.011427,0.1012,0.053016,0.104567,100.0
1,7,have,0.018891,0.1012,0.022999,0.104567,100.0,,,,,,
1,7,pushed,0.02356,0.1012,0.030054,0.104567,100.0,,,,,,
1,7,the,0.030615,0.1012,0.03334,0.104567,100.0,,,,,,
1,7,boundaries,0.0339,0.1012,0.04357,0.104567,100.0,,,,,,
1,7,of,0.04413,0.1012,0.045773,0.104567,100.0,,,,,,
1,7,what,0.046333,0.1012,0.050552,0.104567,100.0,,,,,,
1,7,is,0.051113,0.1012,0.052455,0.104567,100.0,,,,,,
