page,text,left,top,width,height,line,conf
1,"04 | Lambeth 2030 Our Future, Our Lambeth Lambeth 2030 Our Future, Our Lambeth | 05",0.024318,0.031016,0.950526,0.008849,1,96.0
1,Forewords,0.046249,0.177157,0.242147,0.059843,2,99.0
1,"It is this open heart and pioneering spirit, along",0.255499,0.300128,0.169967,0.014413,3,98.0
1,Lambeth has long been Our for Lambeth by 2030 is the product of,0.0487,0.303868,0.845256,0.017333,4,97.0
1,vision a,0.578533,0.30852,0.328259,0.011585,5,97.0
1,"with our geographical connectivity, our vibrant and",0.256273,0.315636,0.181771,0.012224,6,99.0
1,the home of inspirational imaginative business community and passionate of fruitful conversations about the borough -,0.046249,0.32786,0.868284,0.017698,7,98.0
1,series,0.548281,0.332604,0.042185,0.011494,8,98.0
1,voluntary sector that places Lambeth in an,0.257047,0.345557,0.152745,0.008849,9,98.0
1,creativity and audacious what makes Lambeth what want it to look,0.047797,0.351487,0.883184,0.016329,10,98.0
1,"unparalleled position in London. unique, we",0.255499,0.356231,0.568535,0.013684,11,98.0
1,"innovation. and feel like by 2030, and what all of",0.046249,0.372104,0.88041,0.019887,12,97.0
1,matters most to us,0.773399,0.376847,0.173321,0.014505,13,97.0
1,But we cannot take our residents for granted. What,0.256273,0.387612,0.185641,0.012224,14,99.0
1,"came through in the hundreds of conversations, who live, work, and visit the borough.",0.256273,0.399836,0.558731,0.017698,15,98.0
1,"From William Blake to Olive Morris, artists and",0.046249,0.407499,0.166871,0.012224,16,98.0
1,"meetings, workshops and roundtables we have held",0.255499,0.414158,0.189576,0.013319,17,99.0
1,activists have pushed the boundaries of what is,0.045475,0.420817,0.173128,0.013319,18,98.0
1,"in developing Our Future, Our Lambeth, is that whilst That means that whilst the Council has held the pen",0.256273,0.429666,0.482681,0.015599,19,99.0
1,possible and changed our borough for the better status. We will be relentless in our pursuit of more,0.046249,0.434136,0.892601,0.014413,20,98.0
1,"our communities are generous and tough, whilst on the Borough Plan, it really does belong to us all equitable outcomes in all that we do together",0.256273,0.44408,0.666839,0.015508,21,98.0
1,We are a place of energy and ambition. a destination,0.047023,0.451834,0.189576,0.008849,22,96.0
1,"they possess incomparable levels of humanity anc - residents, institutions, businesses, the voluntary for Lambeth.",0.257047,0.459588,0.546926,0.014413,23,98.0
1,for those who wish to make a difference. And we,0.047023,0.466247,0.175514,0.008849,24,98.0
1,resilience their strenath is not boundless. and community sector - everyone who has a stake,0.257047,0.474001,0.477198,0.013319,25,98.0
1,"have long been a place of sanctuary, welcoming",0.047023,0.48066,0.173128,0.008849,26,97.0
1,communities from around the globe who have come in Lambeth. Lambeth 2030 is a plan for everyone - it will,0.047023,0.489509,0.872154,0.016603,27,98.0
1,It is incumbent upon us all to make the bold decisions,0.256273,0.501642,0.194285,0.012224,28,98.0
1,"to make Lambeth their home. bind us to work together, through cross-sector",0.046249,0.506112,0.882345,0.014413,29,99.0
1,now. because the choices we make today will define At the heart of our collective vision is the,0.257047,0.51715,0.438754,0.014413,30,98.0
1,collaborations and brave conversations. to realise,0.757079,0.52162,0.180997,0.008849,31,98.0
1,the Lambeth we create for the next generation.,0.257047,0.531564,0.168419,0.008849,32,99.0
1,We also recognise that we are not an equal borough. commitment to improving the lives of every Lambeth our 3 bold ambitions. We have special ingredients,0.046249,0.536034,0.893375,0.012224,33,98.0
1,"It is those challenges, both the ones we are grappling",0.255499,0.542602,0.193511,0.014413,34,99.0
1,"We have faced exceptionally challenging times - the resident - leaving noone behind. Lambeth faces in Lambeth - including world leading organisations,",0.046249,0.548166,0.898794,0.014413,35,98.0
1,with presently and the ones just around the corner. distinct challenges. both now and in the future - a vibrant voluntary and community sector and,0.257047,0.56039,0.668387,0.014413,36,97.0
1,"devastating cuts to public services, austerity Britain",0.047023,0.564769,0.185641,0.012224,37,99.0
