page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,04,0.024189,0.033067,0.033864,0.041334,96.0,,0.024189,0.031927,0.97561,0.041619,96.0
1,1,Lambeth,0.033864,0.033067,0.067527,0.041334,96.0,,,,,,
1,1,2030,0.067527,0.033067,0.086676,0.041334,96.0,,,,,,
1,1,Our,0.086676,0.033067,0.099577,0.041334,96.0,,,,,,
1,1,Future,0.099577,0.033067,0.118064,0.041334,96.0,,,,,,
1,1,",",0.118064,0.033067,0.121145,0.041334,96.0,,,,,,
1,1,Our,0.121145,0.033067,0.134247,0.041334,96.0,,,,,,
1,1,Lambeth,0.134247,0.033067,0.160855,0.041334,96.0,,,,,,
1,1,Lambeth,0.838541,0.031927,0.86797,0.041619,96.0,,,,,,
1,1,203o,0.86797,0.031927,0.88712,0.041619,96.0,,,,,,
1,1,Our,0.88712,0.031927,0.90002,0.041619,96.0,,,,,,
1,1,Future,0.90002,0.031927,0.918507,0.041619,96.0,,,,,,
1,1,",",0.918507,0.031927,0.921588,0.041619,96.0,,,,,,
1,1,Our,0.921588,0.031927,0.934691,0.041619,96.0,,,,,,
1,1,Lambeth,0.934691,0.031927,0.962709,0.041619,96.0,,,,,,
1,1,|,0.962709,0.031927,0.968152,0.041619,96.0,,,,,,
1,1,05,0.968152,0.031927,0.97561,0.041619,96.0,,,,,,
1,2,Forewords,0.049385,0.1813,0.28724,0.236317,99.0,,0.049385,0.1813,0.28724,0.236317,99.0
1,3,Lambeth,0.046563,0.300741,0.114291,0.323546,99.0,,0.046563,0.300741,0.907277,0.323546,98.0
1,3,has,0.114291,0.300741,0.145938,0.323546,99.0,,,,,,
1,3,long,0.145938,0.300741,0.181213,0.323546,99.0,,,,,,
1,3,been,0.181213,0.300741,0.217295,0.323546,99.0,,,,,,
1,3,It,0.256198,0.302166,0.265471,0.314424,98.0,,,,,,
1,3,is,0.265471,0.302166,0.273534,0.314424,98.0,,,,,,
1,3,this,0.273534,0.302166,0.288651,0.314424,98.0,,,,,,
1,3,open,0.288651,0.302166,0.307801,0.314424,98.0,,,,,,
1,3,heart,0.307801,0.302166,0.329571,0.314424,98.0,,,,,,
1,3,and,0.329571,0.302166,0.344487,0.314424,98.0,,,,,,
1,3,pioneering,0.344487,0.302166,0.384197,0.314424,98.0,,,,,,
1,3,spirit,0.384197,0.302166,0.403202,0.314424,98.0,,,,,,
1,3,",",0.403202,0.302166,0.40637,0.314424,98.0,,,,,,
1,3,along,0.40637,0.302166,0.425116,0.314424,98.0,,,,,,
1,3,Our,0.546462,0.301881,0.5769,0.323261,98.0,,,,,,
1,3,vision,0.5769,0.301881,0.622052,0.323261,98.0,,,,,,
1,3,for,0.622052,0.301881,0.651683,0.323261,98.0,,,,,,
1,3,Lambeth,0.651683,0.301881,0.71538,0.323261,98.0,,,,,,
1,3,by,0.71538,0.301881,0.736545,0.323261,98.0,,,,,,
1,3,2030,0.736545,0.301881,0.774844,0.323261,98.0,,,,,,
1,3,is,0.774844,0.301881,0.79097,0.323261,98.0,,,,,,
1,3,the,0.79097,0.301881,0.817376,0.323261,98.0,,,,,,
1,3,product,0.817376,0.301881,0.877646,0.323261,98.0,,,,,,
1,3,of,0.877646,0.301881,0.898811,0.323261,98.0,,,,,,
1,3,a,0.898811,0.301881,0.907277,0.323261,98.0,,,,,,
1,4,with,0.256803,0.31699,0.272526,0.327822,99.0,,0.256803,0.31699,0.43721,0.327822,99.0
1,4,our,0.272526,0.31699,0.287442,0.327822,99.0,,,,,,
1,4,geographical,0.287442,0.31699,0.335618,0.327822,99.0,,,,,,
1,4,connectivity,0.335618,0.31699,0.378227,0.327822,99.0,,,,,,
1,4,",",0.378227,0.31699,0.381778,0.327822,99.0,,,,,,
1,4,our,0.381778,0.31699,0.396694,0.327822,99.0,,,,,,
1,4,vibrant,0.396694,0.31699,0.424511,0.327822,99.0,,,,,,
