page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
1,1,04,0.024318,0.031016,0.033606,0.039865,98.0,,0.024318,0.031016,0.974844,0.039865,98.0
1,1,|,0.033606,0.031016,0.039154,0.039865,98.0,,,,,,
1,1,Lambeth,0.039154,0.031016,0.067471,0.039865,98.0,,,,,,
1,1,2030,0.067471,0.031016,0.086628,0.039865,98.0,,,,,,
1,1,Our,0.086628,0.031016,0.097142,0.039865,98.0,,,,,,
1,1,Future,0.097142,0.031016,0.117821,0.039865,98.0,,,,,,
1,1,",",0.117821,0.031016,0.121267,0.039865,98.0,,,,,,
1,1,Our,0.121267,0.031016,0.134619,0.039865,98.0,,,,,,
1,1,Lambeth,0.134619,0.031016,0.160614,0.039865,98.0,,,,,,
1,1,Lambeth,0.838547,0.031016,0.867703,0.039865,98.0,,,,,,
1,1,2030,0.867703,0.031016,0.886861,0.039865,98.0,,,,,,
1,1,Our,0.886861,0.031016,0.896472,0.039865,98.0,,,,,,
1,1,Future,0.896472,0.031016,0.917481,0.039865,98.0,,,,,,
1,1,",",0.917481,0.031016,0.920983,0.039865,98.0,,,,,,
1,1,Our,0.920983,0.031016,0.934335,0.039865,98.0,,,,,,
1,1,Lambeth,0.934335,0.031016,0.961878,0.039865,98.0,,,,,,
1,1,|,0.961878,0.031016,0.967426,0.039865,98.0,,,,,,
1,1,05,0.967426,0.031016,0.974844,0.039865,98.0,,,,,,
1,2,Forewords,0.046249,0.177157,0.288396,0.237001,99.0,,0.046249,0.177157,0.288396,0.237001,99.0
1,3,It,0.255499,0.300128,0.264916,0.314541,98.0,,0.255499,0.300128,0.425466,0.314541,98.0
1,3,is,0.264916,0.300128,0.273044,0.314541,98.0,,,,,,
1,3,this,0.273044,0.300128,0.288073,0.314541,98.0,,,,,,
1,3,open,0.288073,0.300128,0.307424,0.314541,98.0,,,,,,
1,3,heart,0.307424,0.300128,0.329291,0.314541,98.0,,,,,,
1,3,and,0.329291,0.300128,0.34432,0.314541,98.0,,,,,,
1,3,pioneering,0.34432,0.300128,0.384248,0.314541,98.0,,,,,,
1,3,spirit,0.384248,0.300128,0.403433,0.314541,98.0,,,,,,
1,3,",",0.403433,0.300128,0.406631,0.314541,98.0,,,,,,
1,3,along,0.406631,0.300128,0.425466,0.314541,98.0,,,,,,
1,4,Lambeth,0.0487,0.303868,0.110366,0.319285,98.0,,0.0487,0.303868,0.893956,0.321201,97.0
1,4,has,0.116171,0.303868,0.140747,0.319285,98.0,,,,,,
1,4,long,0.146294,0.303868,0.175837,0.321201,98.0,,,,,,
1,4,been,0.181707,0.303868,0.216281,0.319285,98.0,,,,,,
1,4,Our,0.547829,0.304233,0.574082,0.320106,97.0,,,,,,
1,4,for,0.624718,0.304689,0.644585,0.320106,97.0,,,,,,
1,4,Lambeth,0.649939,0.304598,0.711604,0.320106,97.0,,,,,,
1,4,by,0.71741,0.304598,0.733664,0.321201,97.0,,,,,,
1,4,2030,0.738373,0.304689,0.771206,0.320106,97.0,,,,,,
1,4,is,0.776753,0.304598,0.787331,0.320106,97.0,,,,,,
1,4,the,0.792105,0.304598,0.814488,0.320106,97.0,,,,,,
1,4,product,0.820035,0.304598,0.87525,0.321201,97.0,,,,,,
1,4,of,0.880281,0.304689,0.893956,0.320106,97.0,,,,,,
1,5,vision,0.578533,0.30852,0.619493,0.320106,97.0,,0.578533,0.30852,0.906792,0.320106,97.0
1,5,a,0.898729,0.30852,0.906792,0.320106,97.0,,,,,,
1,6,with,0.256273,0.315636,0.272141,0.32786,99.0,,0.256273,0.315636,0.438044,0.32786,99.0
1,6,our,0.272141,0.315636,0.28717,0.32786,99.0,,,,,,
1,6,geographical,0.28717,0.315636,0.335741,0.32786,99.0,,,,,,
1,6,connectivity,0.335741,0.315636,0.378612,0.32786,99.0,,,,,,
1,6,",",0.378612,0.315636,0.382184,0.32786,99.0,,,,,,
1,6,our,0.382184,0.315636,0.397213,0.32786,99.0,,,,,,
1,6,vibrant,0.397213,0.315636,0.425208,0.32786,99.0,,,,,,
1,6,and,0.425208,0.315636,0.438044,0.32786,99.0,,,,,,
1,7,the,0.046249,0.32786,0.070115,0.343277,97.0,,0.046249,0.32786,0.914533,0.345557,98.0
1,7,home,0.075663,0.32786,0.114881,0.343277,97.0,,,,,,
1,7,of,0.120235,0.32786,0.13391,0.343277,97.0,,,,,,
1,7,inspirational,0.13907,0.32786,0.226472,0.344463,97.0,,,,,,
1,7,imaginative,0.255499,0.328863,0.298587,0.342182,99.0,,,,,,
1,7,business,0.298587,0.328863,0.334064,0.342182,99.0,,,,,,
1,7,community,0.334064,0.328863,0.374895,0.342182,99.0,,,,,,
1,7,and,0.374895,0.328863,0.390634,0.342182,99.0,,,,,,
1,7,passionate,0.390634,0.328863,0.431013,0.342182,99.0,,,,,,
1,7,of,0.595949,0.328681,0.609366,0.344098,99.0,,,,,,
1,7,fruitful,0.613688,0.328681,0.659808,0.344098,99.0,,,,,,
1,7,conversations,0.665484,0.328681,0.766045,0.344098,99.0,,,,,,
1,7,about,0.771206,0.328681,0.811778,0.344098,99.0,,,,,,
1,7,the,0.816552,0.328681,0.838934,0.344098,99.0,,,,,,
1,7,borough,0.844482,0.328681,0.903116,0.345557,99.0,,,,,,
1,7,-,0.908147,0.330962,0.914533,0.343094,99.0,,,,,,
1,8,series,0.548281,0.332604,0.590466,0.344098,99.0,,0.548281,0.332604,0.590466,0.344098,99.0
1,9,voluntary,0.257047,0.345557,0.293492,0.354406,98.0,,0.257047,0.345557,0.409792,0.354406,98.0
1,9,sector,0.293492,0.345557,0.330517,0.354406,98.0,,,,,,
1,9,that,0.330517,0.345557,0.335548,0.354406,98.0,,,,,,
1,9,places,0.335548,0.345557,0.360898,0.354406,98.0,,,,,,
1,9,Lambeth,0.360898,0.345557,0.393085,0.354406,98.0,,,,,,
1,9,in,0.393085,0.345557,0.401213,0.354406,98.0,,,,,,
1,9,an,0.401213,0.345557,0.409792,0.354406,98.0,,,,,,
1,10,creativity,0.047797,0.351487,0.113462,0.367634,99.0,,0.047797,0.351487,0.930981,0.367816,98.0
1,10,and,0.118042,0.351487,0.14365,0.366904,99.0,,,,,,
1,10,audacious,0.149326,0.351487,0.222538,0.366904,99.0,,,,,,
1,10,what,0.546217,0.352308,0.582597,0.367816,97.0,,,,,,
