page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
6,1,Partnership,0.515686,0.026061,0.754902,0.06,95.0,,0.515686,0.026061,0.957647,0.06,95.0
6,1,Agreement,0.754902,0.026061,0.957647,0.06,95.0,,,,,,
6,2,SisterCities,0.167059,0.030909,0.407451,0.063939,95.0,,0.167059,0.030909,0.407451,0.063939,95.0
6,3,INTERNATIONAL,0.16902,0.063939,0.405098,0.073939,95.0,,0.16902,0.063939,0.958039,0.097879,95.0
6,3,Toolkit,0.825882,0.06697,0.958039,0.097879,95.0,,,,,,
6,4,Connect,0.16902,0.086061,0.236471,0.099091,95.0,,0.16902,0.086061,0.404706,0.099091,95.0
6,4,globally,0.236471,0.086061,0.294684,0.099091,95.0,,,,,,
6,4,.,0.294684,0.086061,0.301961,0.099091,95.0,,,,,,
6,4,Thrive,0.301961,0.086061,0.355294,0.099091,95.0,,,,,,
6,4,locally,0.355294,0.086061,0.398529,0.099091,95.0,,,,,,
6,4,.,0.398529,0.086061,0.404706,0.099091,95.0,,,,,,
6,5,City,0.386275,0.201515,0.489412,0.25697,95.0,,0.386275,0.201515,0.489412,0.25697,95.0
6,6,of,0.509412,0.21,0.553725,0.254242,95.0,,0.509412,0.21,0.866667,0.254242,95.0
6,6,Beach,0.703922,0.21,0.866667,0.254242,95.0,,,,,,
6,7,Long,0.553725,0.221818,0.599216,0.263333,95.0,,0.553725,0.221818,0.599216,0.263333,95.0
6,8,California,0.547451,0.256364,0.688627,0.287273,95.0,,0.547451,0.256364,0.688627,0.287273,95.0
6,9,Sister,0.324706,0.308182,0.418039,0.330606,95.0,,0.324706,0.30697,0.697647,0.340303,95.0
6,9,City,0.432157,0.30697,0.504706,0.340303,95.0,,,,,,
6,9,Agreement,0.514902,0.308182,0.697647,0.340303,95.0,,,,,,
6,10,between,0.467451,0.350303,0.526275,0.361212,95.0,,0.467451,0.350303,0.547059,0.361212,95.0
6,10,the,0.526275,0.350303,0.547059,0.361212,95.0,,,,,,
6,11,City,0.378431,0.376364,0.436471,0.394242,95.0,,0.378431,0.376364,0.634118,0.394242,95.0
6,11,of,0.436471,0.376364,0.477255,0.394242,95.0,,,,,,
6,11,Long,0.477255,0.376364,0.551765,0.394242,95.0,,,,,,
6,11,Beach,0.551765,0.376364,0.634118,0.394242,95.0,,,,,,
6,12,California,0.397255,0.395455,0.54057,0.413333,95.0,,0.397255,0.395455,0.612157,0.413333,95.0
6,12,",",0.54057,0.395455,0.554902,0.413333,95.0,,,,,,
6,12,USA,0.554902,0.395455,0.612157,0.413333,95.0,,,,,,
6,13,and,0.46549,0.415455,0.511373,0.426364,95.0,,0.46549,0.415455,0.545098,0.426364,95.0
6,13,the,0.511373,0.415455,0.545098,0.426364,95.0,,,,,,
6,14,City,0.318431,0.426364,0.378824,0.444242,95.0,,0.318431,0.426364,0.690588,0.444242,95.0
6,14,of,0.378824,0.426364,0.421176,0.444242,95.0,,,,,,
6,14,San,0.421176,0.426364,0.481569,0.444242,95.0,,,,,,
6,14,Pablo,0.481569,0.426364,0.565882,0.444242,95.0,,,,,,
6,14,de,0.565882,0.426364,0.608235,0.444242,95.0,,,,,,
6,14,Manta,0.608235,0.426364,0.690588,0.444242,95.0,,,,,,
6,15,Ecuador,0.34549,0.445455,0.45598,0.463333,95.0,,0.34549,0.445455,0.663529,0.463333,95.0
6,15,",",0.45598,0.445455,0.471765,0.463333,95.0,,,,,,
6,15,South,0.471765,0.445455,0.554902,0.463333,95.0,,,,,,
6,15,America,0.554902,0.445455,0.663529,0.463333,95.0,,,,,,
6,16,In,0.261176,0.481515,0.28,0.501515,95.0,,0.261176,0.481515,0.803137,0.501515,95.0
6,16,accordance,0.28,0.481515,0.378824,0.501515,95.0,,,,,,
6,16,with,0.378824,0.481515,0.383922,0.501515,95.0,,,,,,
6,16,the,0.383922,0.481515,0.406667,0.501515,95.0,,,,,,
6,16,authorization,0.406667,0.481515,0.49098,0.501515,95.0,,,,,,
6,16,and,0.49098,0.481515,0.516863,0.501515,95.0,,,,,,
6,16,approval,0.516863,0.481515,0.57451,0.501515,95.0,,,,,,
6,16,expressed,0.57451,0.481515,0.655294,0.501515,95.0,,,,,,
6,16,by,0.655294,0.481515,0.662745,0.501515,95.0,,,,,,
6,16,the,0.662745,0.481515,0.68549,0.501515,95.0,,,,,,
6,16,City,0.68549,0.481515,0.720784,0.501515,95.0,,,,,,
6,16,of,0.720784,0.481515,0.730196,0.501515,95.0,,,,,,
6,16,Long,0.730196,0.481515,0.763922,0.501515,95.0,,,,,,
6,16,Beach,0.763922,0.481515,0.796601,0.501515,95.0,,,,,,
6,16,",",0.796601,0.481515,0.803137,0.501515,95.0,,,,,,
6,17,California,0.215294,0.496364,0.296578,0.516364,95.0,,0.215294,0.496364,0.803529,0.516364,95.0
