page,line,word_text,word_x0,word_y0,word_x1,word_y1,word_conf,line_text,line_x0,line_y0,line_x1,line_y1,line_conf
6,1,SisterCities,0.167545,0.030256,0.411396,0.062161,95.0,,0.167545,0.028607,0.960843,0.062161,98.0
6,1,Partnership,0.518072,0.028607,0.733685,0.060512,99.0,,,,,,
6,1,Agreement,0.748368,0.028607,0.960843,0.060512,99.0,,,,,,
6,2,INTERNATIONAL,0.169679,0.063906,0.409388,0.075349,99.0,,0.169679,0.063906,0.963855,0.103278,99.0
6,2,Toolkit,0.823921,0.067203,0.963855,0.103278,99.0,,,,,,
6,3,Connect,0.169679,0.086016,0.236822,0.098332,99.0,,0.169679,0.086016,0.409262,0.098332,99.0
6,3,globally,0.236822,0.086016,0.294832,0.098332,99.0,,,,,,
6,3,.,0.294832,0.086016,0.302083,0.098332,99.0,,,,,,
6,3,Thrive,0.302083,0.086016,0.358057,0.098332,99.0,,,,,,
6,3,locally,0.358057,0.086016,0.402861,0.098332,99.0,,,,,,
6,3,.,0.402861,0.086016,0.409262,0.098332,99.0,,,,,,
6,4,City,0.383911,0.201222,0.48883,0.256691,95.0,,0.383911,0.201222,0.48883,0.256691,95.0
6,5,Long,0.569152,0.21024,0.695281,0.256982,95.0,,0.569152,0.21024,0.863956,0.256982,95.0
6,5,Beach,0.712977,0.21024,0.863956,0.256982,95.0,,,,,,
6,6,of,0.50866,0.221683,0.55748,0.263092,95.0,,0.50866,0.221683,0.55748,0.263092,95.0
6,7,California,0.548193,0.255528,0.689257,0.288305,99.0,,0.548193,0.255528,0.689257,0.288305,99.0
6,8,Sister,0.322415,0.308185,0.417671,0.330683,90.0,,0.322415,0.307021,0.701054,0.338247,90.0
6,8,City,0.431727,0.307021,0.504267,0.338247,90.0,,,,,,
6,8,Agreement,0.514558,0.308185,0.701054,0.338247,90.0,,,,,,
6,9,between,0.463353,0.348914,0.527485,0.36443,99.0,,0.463353,0.348914,0.550201,0.36443,99.0
6,9,the,0.527485,0.348914,0.550201,0.36443,99.0,,,,,,
6,10,City,0.379644,0.375873,0.437751,0.39391,99.0,,0.379644,0.375873,0.63504,0.39391,99.0
6,10,of,0.437751,0.375873,0.478288,0.39391,99.0,,,,,,
6,10,Long,0.478288,0.375873,0.552585,0.39391,99.0,,,,,,
6,10,Beach,0.552585,0.375873,0.63504,0.39391,99.0,,,,,,
6,11,California,0.399849,0.396431,0.542009,0.411947,98.0,,0.399849,0.396431,0.612826,0.411947,98.0
6,11,",",0.542009,0.396431,0.556225,0.411947,98.0,,,,,,
6,11,USA,0.556225,0.396431,0.612826,0.411947,98.0,,,,,,
6,12,and,0.482053,0.41699,0.506024,0.423681,95.0,,0.482053,0.41699,0.532756,0.423681,95.0
6,12,the,0.513805,0.41699,0.532756,0.423487,95.0,,,,,,
6,13,City,0.322415,0.42756,0.382405,0.443076,99.0,,0.322415,0.42756,0.691265,0.443076,99.0
6,13,of,0.382405,0.42756,0.424197,0.443076,99.0,,,,,,
6,13,San,0.424197,0.42756,0.484312,0.443076,99.0,,,,,,
6,13,Pablo,0.484312,0.42756,0.567771,0.443076,99.0,,,,,,
6,13,de,0.567771,0.42756,0.609563,0.443076,99.0,,,,,,
6,13,Manta,0.609563,0.42756,0.691265,0.443076,99.0,,,,,,
6,14,Ecuador,0.347766,0.448022,0.4578,0.460337,98.0,,0.347766,0.448022,0.664659,0.460337,98.0
6,14,",",0.4578,0.448022,0.473519,0.460337,98.0,,,,,,
6,14,South,0.473519,0.448022,0.55635,0.460337,98.0,,,,,,
6,14,America,0.55635,0.448022,0.664659,0.460337,98.0,,,,,,
6,15,In,0.259789,0.479151,0.278363,0.493115,98.0,,0.259789,0.479151,0.798318,0.493115,98.0
6,15,accordance,0.278363,0.479151,0.35379,0.493115,98.0,,,,,,
6,15,with,0.35379,0.479151,0.380397,0.493115,98.0,,,,,,
6,15,the,0.380397,0.479151,0.40261,0.493115,98.0,,,,,,
6,15,authorization,0.40261,0.479151,0.486069,0.493115,98.0,,,,,,
6,15,and,0.486069,0.479151,0.513931,0.493115,98.0,,,,,,
6,15,approval,0.513931,0.479151,0.570407,0.493115,98.0,,,,,,
6,15,expressed,0.570407,0.479151,0.635291,0.493115,98.0,,,,,,
6,15,bry,0.635291,0.479151,0.674824,0.493115,98.0,,,,,,
6,15,the,0.674824,0.479151,0.706074,0.493115,98.0,,,,,,
6,15,City,0.706074,0.479151,0.708584,0.493115,98.0,,,,,,
6,15,of,0.708584,0.479151,0.726531,0.493115,98.0,,,,,,
6,15,Long,0.726531,0.479151,0.759538,0.493115,98.0,,,,,,
6,15,Beach,0.759538,0.479151,0.791855,0.493115,98.0,,,,,,
6,15,.,0.791855,0.479151,0.798318,0.493115,98.0,,,,,,
6,16,California,0.217369,0.490593,0.28206,0.502909,96.0,,0.217369,0.490593,0.798318,0.502909,96.0
6,16,",",0.28206,0.490593,0.288529,0.502909,96.0,,,,,,
6,16,USA,0.288529,0.490593,0.314132,0.502909,96.0,,,,,,
6,16,",",0.314132,0.490593,0.322666,0.502909,96.0,,,,,,
6,16,and,0.322666,0.490593,0.350653,0.502909,96.0,,,,,,
6,16,the,0.350653,0.490593,0.378263,0.502909,96.0,,,,,,
6,16,City,0.378263,0.490593,0.423695,0.502909,96.0,,,,,,
6,16,of,0.423695,0.490593,0.429342,0.502909,96.0,,,,,,
6,16,San,0.42382,0.490593,0.449046,0.502909,96.0,,,,,,
6,16,Pablo,0.449046,0.490593,0.488579,0.502909,96.0,,,,,,
6,16,de,0.488579,0.490593,0.507279,0.502909,96.0,,,,,,
6,16,Manta,0.507279,0.490593,0.548067,0.502909,96.0,,,,,,
6,16,",",0.548067,0.490593,0.556225,0.502909,96.0,,,,,,
6,16,Ecuador,0.556225,0.490593,0.608606,0.502909,96.0,,,,,,
6,16,",",0.608606,0.490593,0.616089,0.502909,96.0,,,,,,
6,16,South,0.616089,0.490593,0.65512,0.502909,96.0,,,,,,
6,16,America,0.65512,0.490593,0.711236,0.502909,96.0,,,,,,
6,16,",",0.711236,0.490593,0.719252,0.502909,96.0,,,,,,
6,16,it,0.719252,0.490593,0.746862,0.502909,96.0,,,,,,
6,16,is,0.746862,0.490593,0.75251,0.502909,96.0,,,,,,
6,16,declared,0.746988,0.490593,0.798318,0.502909,96.0,,,,,,
6,17,that,0.216365,0.502036,0.245984,0.514352,97.0,,0.216365,0.502036,0.799448,0.514352,97.0
6,17,a,0.245984,0.502036,0.255773,0.514352,97.0,,,,,,
6,17,"""Sister",0.255773,0.502036,0.305848,0.514352,97.0,,,,,,
6,17,City,0.305848,0.502036,0.336847,0.514352,97.0,,,,,,
6,17,"Agreement""",0.336847,0.502036,0.418926,0.514352,97.0,,,,,,
6,17,between,0.418926,0.502036,0.469001,0.514352,97.0,,,,,,
6,17,the,0.469001,0.502036,0.494352,0.514352,97.0,,,,,,
6,17,two,0.494352,0.502036,0.521586,0.514352,97.0,,,,,,
6,17,cities,0.521586,0.502036,0.558484,0.514352,97.0,,,,,,
6,17,is,0.558484,0.502036,0.57505,0.514352,97.0,,,,,,
6,17,hereby,0.57505,0.502036,0.619729,0.514352,97.0,,,,,,
6,17,established,0.619729,0.502036,0.693148,0.514352,97.0,,,,,,
6,17,for,0.693148,0.502036,0.719754,0.514352,97.0,,,,,,
6,17,the,0.719754,0.502036,0.743348,0.514352,97.0,,,,,,
6,17,following,0.743348,0.502036,0.799448,0.514352,97.0,,,,,,
6,18,purposes,0.215236,0.511831,0.269007,0.526571,99.0,,0.215236,0.511831,0.275728,0.526571,99.0
6,18,:,0.269007,0.511831,0.275728,0.526571,99.0,,,,,,
6,19,(,0.278865,0.531517,0.286061,0.543832,97.0,,0.278865,0.531517,0.799448,0.543832,97.0
6,19,1,0.286061,0.531517,0.293256,0.543832,97.0,,,,,,
6,19,),0.293256,0.531517,0.300452,0.543832,97.0,,,,,,
6,19,to,0.300452,0.531517,0.320281,0.543832,97.0,,,,,,
6,19,promote,0.320281,0.531517,0.373996,0.543832,97.0,,,,,,
6,19,and,0.373996,0.531517,0.401732,0.543832,97.0,,,,,,
6,19,expand,0.401732,0.531517,0.449172,0.543832,97.0,,,,,,
6,19,the,0.449172,0.531517,0.471762,0.543832,97.0,,,,,,
6,19,effective,0.471762,0.531517,0.529869,0.543832,97.0,,,,,,
6,19,and,0.529869,0.531517,0.555723,0.543832,97.0,,,,,,
6,19,mutually,0.555723,0.531517,0.611948,0.543832,97.0,,,,,,
6,19,beneficial,0.611948,0.531517,0.673193,0.543832,97.0,,,,,,
6,19,cooperation,0.673193,0.531517,0.750753,0.543832,97.0,,,,,,
6,19,betseen,0.750753,0.531517,0.799448,0.543832,97.0,,,,,,
6,20,people,0.414031,0.541408,0.454568,0.555081,98.0,,0.414031,0.541408,0.549197,0.555081,98.0
6,20,San,0.473645,0.541408,0.494854,0.552851,98.0,,,,,,
6,20,Pablo,0.500126,0.544996,0.53238,0.552657,98.0,,,,,,
6,20,de,0.536521,0.544899,0.549197,0.552366,98.0,,,,,,
6,21,the,0.220256,0.545966,0.237199,0.553239,98.0,,0.220256,0.545093,0.623619,0.554888,98.0
6,21,people,0.241591,0.545481,0.278112,0.554597,98.0,,,,,,
6,21,of,0.28238,0.545093,0.294428,0.554597,98.0,,,,,,
6,21,Long,0.29744,0.545675,0.327058,0.554888,98.0,,,,,,
6,21,Beach,0.332078,0.545287,0.365462,0.553142,98.0,,,,,,
6,21,and,0.369603,0.545287,0.392194,0.552366,98.0,,,,,,
6,21,the,0.396712,0.545287,0.413906,0.552851,98.0,,,,,,
6,21,of,0.458333,0.545093,0.471009,0.554888,98.0,,,,,,
6,21,Manta,0.555597,0.54519,0.589169,0.553142,98.0,,,,,,
6,21,;,0.589169,0.54519,0.595884,0.553142,98.0,,,,,,
6,21,and,0.600904,0.545287,0.623619,0.552269,98.0,,,,,,
6,22,(,0.28125,0.56604,0.286772,0.573894,95.0,,0.28125,0.564973,0.800703,0.574961,95.0
6,22,2,0.286772,0.56604,0.292294,0.573894,95.0,,,,,,
6,22,),0.292294,0.56604,0.297816,0.573894,95.0,,,,,,
6,22,to,0.30999,0.567203,0.320156,0.573313,95.0,,,,,,
6,22,promote,0.331702,0.567494,0.379518,0.574961,95.0,,,,,,
6,22,international,0.391441,0.565361,0.468624,0.573216,95.0,,,,,,
6,22,goodwill,0.479418,0.565264,0.52761,0.574961,95.0,,,,,,
6,22,",",0.52761,0.565264,0.533635,0.574961,95.0,,,,,,
6,22,understanding,0.54631,0.565458,0.629751,0.574961,95.0,,,,,,
6,22,",",0.629751,0.565458,0.63617,0.574961,95.0,,,,,,
6,22,and,0.648594,0.565361,0.671185,0.572925,95.0,,,,,,
6,22,expanded,0.681978,0.564973,0.738705,0.574961,95.0,,,,,,
6,22,business,0.749749,0.564973,0.800703,0.572537,95.0,,,,,,
6,23,relations,0.216365,0.571664,0.27259,0.585628,96.0,,0.216365,0.571664,0.800577,0.585628,96.0
6,23,betroeen,0.27259,0.571664,0.329192,0.585628,96.0,,,,,,
6,23,the,0.329192,0.571664,0.351155,0.585628,96.0,,,,,,
6,23,fro,0.351155,0.571664,0.382656,0.585628,96.0,,,,,,
6,23,cities,0.382656,0.571664,0.410392,0.585628,96.0,,,,,,
6,23,and,0.410392,0.571664,0.435115,0.585628,96.0,,,,,,
6,23,their,0.435115,0.571664,0.467997,0.585628,96.0,,,,,,
6,23,respective,0.467997,0.571664,0.533886,0.585628,96.0,,,,,,
6,23,natioms,0.533886,0.571664,0.595633,0.585628,96.0,,,,,,
6,23,by,0.595633,0.571664,0.599523,0.585628,96.0,,,,,,
6,23,the,0.599523,0.571664,0.62136,0.585628,96.0,,,,,,
6,23,exchange,0.62136,0.571664,0.68135,0.585628,96.0,,,,,,
6,23,of,0.68135,0.571664,0.699046,0.585628,96.0,,,,,,
6,23,people,0.699046,0.571664,0.736482,0.585628,96.0,,,,,,
6,23,",",0.736482,0.571664,0.742721,0.585628,96.0,,,,,,
6,23,ideas,0.742721,0.571664,0.773364,0.585628,96.0,,,,,,
6,23,",",0.773364,0.571664,0.779493,0.585628,96.0,,,,,,
6,23,and,0.779493,0.571664,0.800577,0.585628,96.0,,,,,,
6,24,information,0.216365,0.582331,0.303589,0.596296,95.0,,0.216365,0.582331,0.800577,0.596296,95.0
6,24,in,0.303589,0.582331,0.323042,0.596296,95.0,,,,,,
6,24,a,0.323042,0.582331,0.338102,0.596296,95.0,,,,,,
6,24,wide,0.338102,0.582331,0.370607,0.596296,95.0,,,,,,
6,24,sariety,0.370607,0.582331,0.424448,0.596296,95.0,,,,,,
6,24,of,0.424448,0.582331,0.446787,0.596296,95.0,,,,,,
6,24,economic,0.446787,0.582331,0.510263,0.596296,95.0,,,,,,
6,24,",",0.510263,0.582331,0.518198,0.596296,95.0,,,,,,
6,24,social,0.518198,0.582331,0.560582,0.596296,95.0,,,,,,
6,24,",",0.560582,0.582331,0.567646,0.596296,95.0,,,,,,
6,24,cultural,0.567646,0.582331,0.621528,0.596296,95.0,,,,,,
6,24,.,0.621528,0.582331,0.628263,0.596296,95.0,,,,,,
6,24,municipal,0.628263,0.582331,0.693436,0.596296,95.0,,,,,,
6,24,",",0.693436,0.582331,0.700678,0.596296,95.0,,,,,,
6,24,environmental,0.700678,0.582331,0.793442,0.596296,95.0,,,,,,
6,24,",",0.793442,0.582331,0.800577,0.596296,95.0,,,,,,
6,25,professional,0.216365,0.592998,0.292478,0.606963,98.0,,0.216365,0.592998,0.552585,0.606963,98.0
6,25,",",0.292478,0.592998,0.29882,0.606963,98.0,,,,,,
6,25,technical,0.29882,0.592998,0.35123,0.606963,98.0,,,,,,
6,25,",",0.35123,0.592998,0.357053,0.606963,98.0,,,,,,
6,25,youth,0.357053,0.592998,0.390834,0.606963,98.0,,,,,,
