image,page,label,color,xmin,ymin,xmax,ymax,id,text
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,1,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,8185fb982b1f,SisterCities
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,1,CUSTOM,"(0, 0, 0)",0.115039,0.184576,0.207314,0.204212,26960671454c,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,1,CUSTOM,"(0, 0, 0)",0.131902,0.208515,0.219078,0.227848,3a78b722f1b0,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,1,CUSTOM,"(0, 0, 0)",0.411118,0.256697,0.494765,0.276030,6449eea72534,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,122c72368849,SisterCities
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.172686,0.146091,0.253588,0.165121,437dbb041f52,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.419745,0.170030,0.501039,0.189061,589894312787,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.704451,0.186091,0.783863,0.205121,9c9413032f98,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.135824,0.234879,0.217118,0.253909,2414d30d4e05,Sister City
/home/user/app/input/c504b019/74bedff5a5284893b8e0adb4f024638b_Partnership-Agreement-Toolkit_0_0.pdf_2.png,2,CUSTOM,"(0, 0, 0)",0.348373,0.419121,0.429667,0.438152,de7cf471807a,Sister City
