image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,8185fb982b1f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115039,0.184576,0.207314,0.204212,Sister City,26960671454c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.131902,0.208515,0.219078,0.227848,Sister City,3a78b722f1b0
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.411118,0.256697,0.494765,0.27603,Sister City,6449eea72534
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,122c72368849
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.172686,0.146091,0.253588,0.165121,Sister City,437dbb041f52
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.419745,0.17003,0.501039,0.189061,Sister City,589894312787
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.704451,0.186091,0.783863,0.205121,Sister City,9c9413032f98
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.135824,0.234879,0.217118,0.253909,Sister City,2414d30d4e05
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.348373,0.419121,0.429667,0.438152,Sister City,de7cf471807a
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.261314,0.435485,0.342608,0.454515,Sister City,17de2583f57c
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.483275,0.715182,0.564569,0.734212,Sister City,9efa1dac0b50
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,b82d15ecd72a
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.219745,0.221545,0.301039,0.240576,Sister City,7a8b322ca680
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.225235,0.237606,0.306137,0.256636,Sister City,736b314e793b
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.534255,0.299727,0.618294,0.318758,Sister City,bbba986e7ec7
