image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,8a413464b927
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115039,0.184576,0.207314,0.204212,Sister City,d60990a8003a
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.131902,0.208515,0.219078,0.227848,Sister City,36af46ab39d0
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.411118,0.256697,0.494765,0.27603,Sister City,773af896edef
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115431,0.297303,0.215941,0.313606,Sister Cities,ef10923fefc8
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.268765,0.329424,0.369275,0.34603,Sister Cities,c00454083e62
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.310333,0.409121,0.41202,0.428455,Sister City,24be1a5fee8d
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.600922,0.425485,0.701431,0.442091,Sister Cities,023974ab3791
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.172294,0.465485,0.272804,0.482091,Sister Cities,71887c2a64fe
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.166804,0.489121,0.267314,0.505424,Sister Cities,41732d6da753
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.538569,0.489424,0.633196,0.505727,Sister Cities,3e06660f9b9e
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.715039,0.537909,0.814765,0.554515,Sister Cities,f7f42705dfd3
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.549549,0.57003,0.650059,0.586636,Sister Cities,58f855b21ecb
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.452294,0.691545,0.547314,0.707848,Sister Cities,0b821264d257
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.244059,0.723364,0.344569,0.73997,Sister Cities,77e9b031e503
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.174647,0.828515,0.266866,0.846636,Sister Cities,3568c91ac623
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.536608,0.844273,0.636725,0.860879,Sister Cities,74f95ffc79ee
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.631902,0.860636,0.732412,0.876939,Sister Cities,0ab9cf07b428
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,4a5733c68d17
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.172686,0.146091,0.253588,0.165121,Sister City,e928ca4d61a0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.419745,0.17003,0.501039,0.189061,Sister City,5dfb5292f574
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.704451,0.186091,0.783863,0.205121,Sister City,bd44e26cc111
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.150725,0.218212,0.251235,0.234818,Sister Cities,e31527424ebe
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.135824,0.234879,0.217118,0.253909,Sister City,2896325fae66
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.672686,0.321848,0.772804,0.338152,Sister Cities,71654dc54112
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.348373,0.419121,0.429667,0.438152,Sister City,6c184bd1b405
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.261314,0.435485,0.342608,0.454515,Sister City,67c8927ac969
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.454647,0.458818,0.54849,0.478152,Sister City,4edb1e42afc4
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.483275,0.715182,0.564569,0.734212,Sister City,5ede4eb76dda
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,3590317d71b6
