image,page,label,color,xmin,ymin,xmax,ymax,text,id
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.283333,0.015464,0.720833,0.065722,SURPRISE AND QUICK ACTION .,TX2xKYwM5ODA
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.064433,0.720833,0.115979,"Three prongs , attaking at four lights .",KTI4AflRX0vu
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.048611,0.072165,0.216667,0.114691,FIELD LATER :,oihS5kvlvqoz
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.273611,0.109536,0.790278,0.161082,First prong BEIDGENHEAD AT REINE,VzMtpQnrFg1Z
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.149485,0.934722,0.201031,"ASSAULT men and camps , use of land and army",t0buRPV7Xbtv
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.190722,0.8875,0.242268,personnel with main portion of island .,BtYMQncHaxZS
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.235825,0.947222,0.287371,"DESTROY ALL COMMUNICATIONS , telephone wire etc",MN9PAU08c6Ss
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.278351,0.865278,0.328608,and occupy POST OFFICE,xxnqoXubow1J
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.318299,0.865278,0.367268,spread out with bridghead and occupy town,5IJRcNoCUadQ
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.258333,0.367268,0.976389,0.421392,SECOND PRONG Air Seaman to cut line of communication at,r6s9l5rvEFQ8
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.338889,0.405928,0.759722,0.457474,town ANDO to main land .,q0JS1U6xBv8l
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.863889,0.405928,0.976389,0.439433,EMU POINT,Rl3ddWgGFZCm
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.258333,0.449742,0.968056,0.507732,THIRD PRONG to take wireless station and light house,26zWkf6dUSeB
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.258333,0.492268,0.940278,0.552835,initial stages Cut off and destroy power station then,sbDRIYbHuXZq
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.530928,0.884722,0.606959,"PANDAR - ANDO - REINE this please ,",DwM3p9gDqi7i
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.587629,0.726389,0.64433,and further use of our engineers etc .,yQEjR8U8xxci
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.631443,0.968056,0.689433,AT WIRELESS STATION LIGHTHOUSE complete surprise,74QCu9hQvdE1
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.041667,0.64433,0.204167,0.684278,RESISTANCE :,idQp6HZCHkwD
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.676546,0.941667,0.73067,GERMANS AT REINE NOT QUITE LIGHT BOOIS LIE,Q9YwK7ET5kjz
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.273611,0.706186,0.744444,0.780928,out Seaman 4 YES OF ENEMY,Xm01HANbh6on
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.741667,0.728093,0.829167,0.784794,16 to 4-5 .,jMupY61nMYwQ
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.269444,0.734536,0.369444,0.800258,QUICKING,e9aGo0fjWGgt
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.361111,0.744845,0.525,0.818299,"FRIGHTENED ,",r3Gmx9Bikmvg
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.518056,0.761598,0.7,0.837629,ONE ESCAPED CAPTURED,KsQvs4CgCbpK
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.805412,0.790278,0.859536,CHEST HIGH IN FREEZING WATER,p0qDaVu5sONS
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.845361,0.956944,0.900773,POPULATION Took in for Germans the Americans,JXXsnd1jYu42
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.268056,0.885309,0.838889,0.939433,outfits as BRITISH IRISH local .,RyAJIVIv015b
/tmp/gradio/39a287c59088820657616752fabb44cbee3c1de1759640e7046c1f080640a30c/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.270833,0.929124,0.655556,0.978093,Description of Norwegian,6WPjQnUFhmSu
